Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2015,907,City of Ashland - (OR),OR,10,2,2,2,A,2, , , , , , , ,2,A
2015,944,City of Athens - (AL),AL,8,0.123,0,0,A,0,0,0,0,0,0.123,0,0,0.123,A
2015,947,Athens Utility Board,TN,33,0.555,0,0,A,0,0,0,0,0,0.555,0,0,0.555,A
2015,963,Atlantic City Electric Co,NJ,10536,151.9,0,0,A,0.8, , , ,0.3,150.8, , ,151.9,A
2015,1009,City of Austin - (MN),MN,15,0.142,0,0,A, , , , ,0.06,0.082, , ,0.142,A
2015,1015,Austin Energy,TX,2,1.15,0,1.15,A,0,0.85, , , ,0.3, , ,1.15,E
2015,1050,City of Azusa,CA,5,0.405, , ,, , , , , ,0.405, , ,0.405,
2015,1062,BARC Electric Coop Inc,VA,1,0.05, , ,, , , ,0.05, , , , ,0.05,
2015,1525,City of Beloit - (KS),KS,1,0.8, ,0.8,A,0.8, , , , , , , ,0.8,A
2015,1529,"Beltrami Electric Coop, Inc",MN,16,0.171,0,0,A,0,0,0,0,0,0.171,0,0,0.171,A
2015,1578,Benton County,TN,2,0.007,0,0,A,0,0,0,0,0,0.007,0,0,0.007,A
2015,1776,City of Black River Falls,WI,3,0.013,0, ,A,0,0,0,0,0,0.013,0, ,0.013,A
2015,1884,BENCO Electric Cooperative,MN,8,1.2, , ,E,1.2, , , , , , ,0,1.2,E
2015,1889,Blue Ridge Elec Member Corp - (NC),NC,1,0.2,0,0,A, , , ,0.2, , , , ,0.2,E
2015,1891,Blue Ridge Mountain EMC - (GA),GA,60,1.695,0,0,A,0,0,0,0,0.01,1.685,0,0,1.695,A
2015,1891,Blue Ridge Mountain EMC - (GA),NC,73,13.116,0,0,A,0,0,0,0,0,13.116,0,0,13.116,A
2015,1936,Bolivar Energy Authority,TN,3,0.042,0,0,A,0,0,0,0,0,0.042,0,0,0.042,A
2015,2049,"Bowie-Cass Electric Coop, Inc",TX,16,0.25, ,0.06,A, , , , , ,0.25, , ,0.25,A
2015,2056,City of Bowling Green - (KY),KY,4,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2015,2220,Brigham City Corporation,UT,3,2, , ,A, , , ,2, , , , ,2,A
2015,2247,City of Bristol - (TN),TN,23,0.507,0,0,A,0,0,0,0,0,0.507,0,0,0.507,A
2015,2248,Bristol Virginia Utilities,VA,12,0.18,0,0,A,0,0,0,0,0,0.18,0,0,0.18,A
2015,2273,Brodhead Water & Lighting Comm,WI,1,0.006,0,0.006,A,0,0,0,0,0,0.006,0, ,0.006,A
2015,2409,Brownsville Public Utilities Board,TX,2,1,1, ,A,1, , , , , , , ,1,A
2015,2507,City of Burbank Water and Power,CA,2,0.5, ,0.5,A, , , ,0.3, ,0.2, , ,0.5,A
2015,2548,City of Burlington Electric - (VT),VT,9,0.675, ,0.5,, , , , , ,0.675, , ,0.675,
2015,2849,Central Electric Power Assn - (MS),MS,9,0.124,0,0,A,0,0,0,0,0,0.124,0,0,0.124,A
2015,2960,"Caney Fork Electric Coop, Inc",TN,54,2.415,0,0,A,0,0,0,0.006,0.02,2.389,0,0,2.415,A
2015,3046,Duke Energy Progress - (NC),NC,309,25.78, , ,E,3.5, , , , ,22.28, , ,25.78,E
2015,3046,Duke Energy Progress - (NC),SC,5,0.03, , ,E, , , , , ,0.03, , ,0.03,E
2015,3075,Carroll County - (TN),TN,13,0.218,0,0,A,0,0,0,0,0,0.218,0,0,0.218,A
2015,3203,Cedar Falls Utilities,IA,1,0.007,0,0,A, , , , , ,0.007, , ,0.007,A
2015,3222,Central Alabama Electric Coop,AL,8,1.07,1.07, ,A,1.07, , , , , , , ,1.07,A
2015,3226,"Central Rural Electric Cooperative, Inc",OK,11,0.063, , ,A, , , , ,0.019,0.044, , ,0.063,A
2015,3278,AEP Texas Central Company,TX,353,6.819,0,0.022,A, , , , ,0.665,6.154, , ,6.819,A
2015,3291,Central Virginia Electric Coop,VA,1,0.292,0,0.292,A,0,0,0,0.292,0,0,0,0,0.292,A
2015,3314,"Chariton Valley Elec Coop, Inc",IA,3,0.031, , ,A,0,0,0,0,0,0.031,0,0,0.031,A
2015,3329,Borough of Chambersburg,PA,3,1.426,1.35,0.35,E,1.35, , , , ,0.076, , ,1.426,E
2015,3400,City of Chaska - (MN),MN,1,0.2, , ,A, , , , ,0.2, , , ,0.2,A
2015,3408,City of Chattanooga - (TN),GA,2,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2015,3408,City of Chattanooga - (TN),TN,135,3.913,0,0,A,0,0,0,0,0,3.913,0,0,3.913,A
2015,3413,PUD No 1 of Chelan County,WA,29,0.12,0,0,A, , , , ,0.04,0.08,0, ,0.12,A
2015,3436,Cherryland Electric Coop Inc,MI,50,0.323,0,0.323,A, , , , ,0.039,0.284, , ,0.323,A
2015,3502,"Choctawhatche Elec Coop, Inc",FL,3,0.44, ,0.44,A, , , , , , , ,0.44,0.44,
2015,3503,"Choptank Electric Coop, Inc",MD,2,1, , ,A, , , , ,0.3,0.7, , ,1,A
2015,3522,Chugach Electric Assn Inc,AK,7,0.73,0.07,0,A, ,0.69, , , ,0.04, , ,0.73,A
2015,3542,Duke Energy Ohio Inc,OH,16,4.8,0.4, ,E,4.5, ,0.3, , , , , ,4.8,E
2015,3597,Citizens Electric Co - (PA),PA,26,0.7, , ,A, , , , , ,0.7, , ,0.7,A
2015,3704,City of Clarksville - (TN),TN,11,0.133,0,0,A,0,0,0,0,0.002,0.131,0,0,0.133,A
2015,3757,"Clay Electric Cooperative, Inc",FL,291,24.6, , ,A,22.9, , , , ,1.7, , ,24.6,A
2015,3758,City of Cleveland - (TN),TN,8,0.442,0,0,A,0,0,0,0,0,0.442,0,0,0.442,A
2015,3812,City of Clinton - (TN),TN,12,0.086,0,0,A,0,0,0,0,0,0.086,0,0,0.086,A
2015,3841,Coast Electric Power Assn,MS,10,0.156, , ,A, , , , , ,0.156, , ,0.156,A
2015,3855,Columbia Power System,TN,8,0.16,0,0,A,0,0,0,0,0,0.16,0,0,0.16,A
2015,3989,City of Colorado Springs - (CO),CO,4,1.9,0,0,A,0,0,0,0,0,1.9,0,0,1.9,A
2015,4003,City of Colton - (CA),CA,1,0.98, , ,E, , , , , ,0.98, , ,0.98,E
2015,4005,"Columbia Basin Elec Cooperative, Inc",OR,1,0.1,0,0,E, , , , , ,0.1, , ,0.1,E
2015,4063,Co-Mo Electric Coop Inc,MO,3,0.8,0.8,0.8,A,0.8, , , , , , , ,0.8,A
2015,4073,City of Columbus - (WI),WI,1,0.001,0, ,A,0,0,0,0,0,0.001,0, ,0.001,A
2015,4110,Commonwealth Edison Co,IL,603,11.8,0.2,0,E,1.3,0,0,0,1,8.9,0.6,0,11.8,E
2015,4176,Connecticut Light & Power Co,CT,84,18.1,5.3,0,A,11.4,1.6,0.1,4.4,0,0.6, , ,18.1,A
2015,4226,Consolidated Edison Co-NY Inc,NY,209,31.55, , ,A,21.391,8.547,0.55,0.185, , ,0.877, ,31.55,A
2015,4254,Consumers Energy Co,MI,12,7.7,5.8,2,E, ,1.9,5.4,0.3, , , ,0.1,7.7,E
2015,4294,City of Cookeville - (TN),TN,7,0.148,0,0,A,0,0,0,0,0,0.148,0,0,0.148,A
2015,4617,Cullman Power Board,AL,1,0.007,0,0,A,0,0,0,0,0,0.007,0,0,0.007,A
2015,4618,"Cullman Electric Coop, Inc",AL,15,0.456,0,0,A,0,0,0,0,0,0.456,0,0,0.456,A
2015,4624,Cumberland Elec Member Corp,TN,64,2.071,0,0,A,0,0,0,0,0,1.072,0,0.999,2.071,A
2015,4683,City of Cuyahoga Falls - (OH),OH,3,0.2, , ,A, , , , ,0.1,0.1, , ,0.2,A
2015,4720,Dakota Energy Coop Inc,SD,4,0.2, , ,E, , , , ,0.1,0.1, , ,0.2,E
2015,4744,Dalton Utilities,GA,3,0.9, , ,A, , , , , ,0.9, , ,0.9,A
2015,4920,City of Dayton - (TN),TN,1,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2015,4958,Decatur Utilities,AL,2,0.201,0,0,A,0,0,0,0,0,0.201,0,0,0.201,A
2015,5027,Delmarva Power,DE,2776,30,0,0,A, , , , ,0.1,29.4,0.5, ,30,A
2015,5027,Delmarva Power,MD,1318,20.9,0,0,A, , , , ,0.1,20.8, , ,20.9,
2015,5063,City of Denton - (TX),TX,64,0.376, , ,E, , , , , ,0.376, , ,0.376,E
2015,5070,Delaware Electric Cooperative,DE,1,0.4,0,0.4,A,0.4, , , , , , , ,0.4,A
2015,5086,Delta Montrose Electric Assn,CO,2,0.1, , ,, , , , , ,0.1, , ,0.1,A
2015,5109,DTE Electric Company,MI,1406,22.8, ,8.6,,3,0.6, , ,0.5,17.2,1,0.5,22.8,
2015,5148,City of Dickson,TN,25,0.657,0,0,A,0,0,0,0,0,0.657,0,0,0.657,A
2015,5175,Dixie Electric Power Assn,MS,10,0.053, , ,E, , , , , ,0.053, , ,0.053,E
2015,5202,Dixie Electric Membership Corp,LA,617,3.871,0,0,A, , , , , ,3.871, , ,3.871,A
2015,5399,Duck River Elec Member Corp,TN,36,0.631,0,0,A,0,0,0,0,0,0.631,0,0,0.631,A
2015,5416,"Duke Energy Carolinas, LLC",NC,209,15.733,0,0,A, , , ,5.831,0.004,8.142, ,1.756,15.733,A
2015,5416,"Duke Energy Carolinas, LLC",SC,14,1.743,0,0,A, , , ,1.6, ,0.143, , ,1.743,A
2015,5487,Duquesne Light Co,PA,343,4.186,4.186,0,E, , , , ,0.092,4.029,0.065, ,4.186,
2015,5574,East Central Energy,MN,50,0.502,0,0,A, , , , ,0.228,0.274, , ,0.502,A
2015,5574,East Central Energy,WI,8,0.055,0,0,A, , , , ,0.023,0.032, , ,0.055,A
2015,5575,City of East Grand Forks - (MN),MN,2,1.5,1.5,1.5,A,1.5, , , , , , , ,1.5,
2015,5578,East Mississippi Elec Pwr Assn,MS,1,0.014,0,0,A,0,0,0,0,0,0.014,0,0,0.014,A
2015,5609,Eastern Maine Electric Coop,ME,15,0.07, , ,A, , , , ,0.053,0.017, , ,0.07,A
2015,5763,City of Elizabethton - (TN),TN,14,0.161,0,0,A,0,0,0,0,0,0.161,0,0,0.161,A
2015,5862,"Empire Electric Assn, Inc",CO,4,0.532,0,0.1,E, , , ,0.432, ,0.1, , ,0.532,E
2015,5961,Town of Erwin - (TN),TN,3,0.013,0,0,A,0,0,0,0,0,0.013,0,0,0.013,A
2015,6008,City of Etowah,TN,2,0.008,0,0,A,0,0,0,0,0,0.008,0,0,0.008,A
2015,6022,City of Eugene - (OR),OR,37,2.9, , ,E,0.812, , , , ,2.088, , ,2.9,E
2015,6043,City of Evansville,WI,3,0.109,0,0.1,A,0,0,0,0,0.1,0.009,0, ,0.109,A
2015,6112,"Farmers Electric Coop, Inc - (IA)",IA,3,0.1, , ,A, , , , ,0.1, , , ,0.1,A
2015,6168,Farmers Electric Coop - (IA),IA,35,7.2, ,6,A,6, , , , ,1.2, , ,7.2,A
2015,6182,"Farmers Electric Coop, Inc - (TX)",TX,95,0.542, ,0.058,A, , , , ,0.172,0.37, , ,0.542,A
2015,6234,City of Fayetteville,TN,44,5.624,0,0,A,0,0,0,0,0,5.624,0,0,5.624,A
2015,6374,Fitchburg Gas & Elec Light Co,MA,2,0.2, , ,A,0.1, , , , ,0.1, , ,0.2,A
2015,6422,City of Florence - (AL),AL,6,0.089,0,0,A,0,0,0,0,0,0.089,0,0,0.089,A
2015,6452,Florida Power & Light Co,FL,371,188,188,0,E,188, , , , , , , ,188,E
2015,6455,"Duke Energy Florida, Inc",FL,3152,88.4,88.4,0.007,E,66, , , ,0,22.4, , ,88.4,E
2015,6604,City of Fort Collins - (CO),CO,17,5.8,1.5,0,A,1.5,0,0,0,0,4.3,0,0,5.8,A
2015,6608,Fort Loudoun Electric Coop,TN,30,1.414,0,0,A,0,0,0,0,0,0.415,0,0.999,1.414,A
2015,6612,Fort Payne Improvement Authority,AL,1,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2015,6641,4-County Electric Power Assn,MS,16,1.161,0,0,A,0,0,0,0,0,0.162,0,0.999,1.161,A
2015,6782,Freeborn-Mower Coop Services,MN,20,5.97,5.97,0,A,5.97, , , , , , , ,5.97,A
2015,6784,French Broad Elec Member Corp,NC,43,0.5, , ,A, , , , , ,0.5, , ,0.5,A
2015,6840,City of Fulton - (KY),KY,3,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2015,6894,City of Gaffney - (SC),SC,6,5.2,0, ,A,5.2, , , , , , , ,5.2,
2015,6909,Gainesville Regional Utilities,FL,13,4.1,4.1,2.9,A,4.1, , , , , , , ,4.1,A
2015,6923,City of Gallatin - (TN),TN,1,0.021,0,0,A,0,0,0,0,0,0.021,0,0,0.021,A
2015,6965,City of Garnett - (KS),KS,7,1.2, , ,A,1.2, , , , , , , ,1.2,A
2015,7027,City of Gastonia - (NC),NC,17,3.3,2.3,0.9,A,2.3, , , , ,1, , ,3.3,A
2015,7140,Georgia Power Co,GA,1104,189,80, ,E,96, , ,4, ,89, , ,189,E
2015,7174,Gibson Electric Members Corp,TN,21,0.482,0,0,A,0,0,0,0,0,0.482,0,0,0.482,A
2015,7257,City of Girard - (KS),KS,3,0.142, , ,A, , , , , ,0.016, ,0.126,0.142,
2015,7264,"Glades Electric Coop, Inc",FL,45,0.2,0.1,0.2,E,0.1, , , , ,0.1, , ,0.2,E
2015,7270,City of Glasgow - (KY),KY,16,0.611,0,0,A,0,0,0,0,0,0.611,0,0,0.611,A
2015,7294,City of Glendale - (CA),CA,6,1.689, ,0.4,A, , , ,0.3, ,0.4, ,0.989,1.689,A
2015,7374,City of Goodland - (KS),KS,1,0.7, , ,A,0.7, , , , , , , ,0.7,A
2015,7563,Grand Valley Power,CO,118,0.121,0,0.121,A, , , , , ,0.121, , ,0.121,A
2015,7601,Green Mountain Power Corp,VT,40,9.1, ,5.22,A,0.6, , ,8.5, , , , ,9.1,A
2015,7625,City of Greeneville - (TN),TN,26,0.452,0,0,A,0,0,0,0,0,0.452,0,0,0.452,A
2015,7801,Gulf Power Co,FL,444,1.014,0,0,E,0,0,0,0,0,1.014,0,0,1.014,E
2015,7827,Guntersville Electric Board,AL,3,0.15,0,0,A,0,0,0,0,0,0.15,0,0,0.15,A
2015,7864,Grundy County Rural Elec Coop,IA,9,2.14,2, ,A,2, , , ,0.05,0.09, , ,2.14,A
2015,7887,Habersham Electric Membership Corp,GA,2,1,1,1,A,1, , , , , , , ,1,A
2015,7978,Halifax Electric Member Corp,NC,1,0.1,0,0.1,A,0,0,0,0,0,0.1,0,0,0.1,A
2015,8104,Town of Hardwick,VT,1,0.8, ,0.8,A, , , ,0.8, , , , ,0.8,A
2015,8147,City of Harriman - (TN),TN,8,0.042,0,0,A,0,0,0,0,0.006,0.036,0,0,0.042,A
2015,8287,Hawaii Electric Light Co Inc,HI,70,13.267, ,0.059,A,2.345, , ,0.62,0.042,10.059,0.201, ,13.267,A
2015,8298,Hawkeye Tri-County El Coop Inc,IA,3,0.73, , ,A, , , , ,0.13, , ,0.6,0.73,A
2015,8319,Heartland Power Coop,IA,11,10.012,2.2,0,A,7, , , ,2.07,0.942, , ,10.012,A
2015,8333,Haywood Electric Member Corp,NC,3,0.163,0,0,E,0,0.163, , , ,0, , ,0.163,E
2015,8366,Heber Light & Power Company,UT,1,0.8, ,0.8,A, , , ,0.8, , , , ,0.8,
2015,8449,Henderson City Utility Comm,KY,1,0.008,0,0,E,0,0,0,0,0,0.008,0,0,0.008,A
2015,8548,City of Hickman,KY,3,0.047,0,0,A,0,0,0,0,0,0.047,0,0,0.047,A
2015,8571,Town of High Point,NC,6,2.5,2.4,1.3,A,2.4, , , , ,0.1, , ,2.5,A
2015,8764,"Holston Electric Coop, Inc",TN,27,2.218,0,0,A,0,0,0,0,0,1.219,0,0.999,2.218,A
2015,8773,"Holy Cross Electric Assn, Inc",CO,10,1.6,0,0,A, , , ,0.7, ,0.9, , ,1.6,A
2015,8774,City of Holyoke - (MA),MA,9,3.1, ,0.3,A,0.3, , ,0.6, ,2.2, , ,3.1,A
2015,8846,City of Hopkinsville,KY,2,0.026,0,0,A,0,0,0,0,0,0.026,0,0,0.026,A
2015,8973,Town of Hudson - (MA),MA,117,1.003, , ,A, , , , , ,1.003, , ,1.003,A
2015,9011,City of Hugoton - (KS),KS,1,0.8,0.8,0.8,A,0.8, , , , , , , ,0.8,A
2015,9023,City of Humboldt,TN,7,0.258,0,0,A,0,0,0,0,0,0.258,0,0,0.258,A
2015,9094,City of Huntsville - (AL),AL,38,0.794,0,0,A,0,0,0,0,0,0.794,0,0,0.794,A
2015,9163,Hyrum City Corporation,UT,1,0.4, ,0.4,A, , , ,0.4, , , , ,0.4,A
2015,9191,Idaho Power Co,ID,35,13.158, , ,A,0.46, , ,12.698, , , , ,13.158,A
2015,9191,Idaho Power Co,OR,2,1.04, , ,A, , , ,1.04, , , , ,1.04,A
2015,9216,Imperial Irrigation District,CA,147,23.225, , ,A, , , , , ,21.095, ,2.13,23.225,A
2015,9273,Indianapolis Power & Light Co,IN,54,3.215,0,0,A,0,0,0,0,0.014,3.201,0,0,3.215,A
2015,9324,Indiana Michigan Power Co,IN,4,0.875,0,0,A,0,0,0,0,0.86,0.015,0,0,0.875,A
2015,9336,Intermountain Rural Elec Assn,CO,7,0.484,0,0,A, , , , , ,0.484, , ,0.484,A
2015,9417,Interstate Power and Light Co,IA,256,4.7, , ,A, , , ,1.5,1.5,0.7, ,1,4.7,A
2015,9601,Jackson Electric Member Corp - (GA),GA,71,0.7,0,0,A,0,0,0,0,0,0.7,0,0,0.7,A
2015,9612,City of Jackson - (TN),TN,13,1.313,0,0,A,0,0,0,0,0,1.313,0,0,1.313,A
2015,9689,Jefferson Electric Member Corp,GA,5,0.022,0,0,A,0,0,0,0,0,0,0,0.022,0.022,A
2015,9690,Jefferson Utilities,WI,1,0.021,0,0.021,A,0,0,0,0,0,0.021,0, ,0.021,A
2015,9697,City of Jellico,KY,5,0.019,0,0,A,0,0,0,0,0,0.019,0,0,0.019,A
2015,9697,City of Jellico,TN,3,0.15,0,0,A,0,0,0,0,0,0.15,0,0,0.15,A
2015,9739,Joe Wheeler Elec Member Corp,AL,8,1.75,0,0,A,0,0,0,0,0,0.039,0,1.711,1.75,A
2015,9750,Jo-Carroll Energy Coop Inc,IL,1,0.4, , ,A, , , , , ,0.4, , ,0.4,A
2015,9777,Johnson City - (TN),TN,73,1.821,0,0,A,0,0,0,0,0.001,0.895,0,0.925,1.821,A
2015,9778,Johnson County Rural E M C,IN,1,0.8,0.8,0,A,0.8, , , , , , , ,0.8,A
2015,9991,Kandiyohi Power Coop,MN,20,0.1,0,0,A, , , , ,0.08,0.02, , ,0.1,A
2015,10000,Kansas City Power & Light Co,KS,2,0.016,0, ,E, , , , ,0.006,0.01, , ,0.016,E
2015,10000,Kansas City Power & Light Co,MO,10,0.5,0,0.2,E, , , , ,0,0.2, ,0.3,0.5,E
2015,10056,City of Kaukauna,WI,17,0.121,0,0.016,A,0,0,0,0,0.04,0.081,0, ,0.121,A
2015,10071,Kauai Island Utility Cooperative,HI,18,6, , ,A, ,2.1, , , ,3.9, , ,6,A
2015,10331,Kingsport Power Co,TN,1,0.03,0,0,A,0,0,0,0,0,0.03,0,0,0.03,A
2015,10421,Knoxville Utilities Board,TN,95,2.53,0,0,A,0,0,0,0,0,2.53,0,0,2.53,A
2015,10558,"LaCreek Electric Assn, Inc",SD,22,0.1, , ,E, , , , ,0.1, , , ,0.1,E
2015,10579,City of LaFollette,TN,13,0.562,0,0,A,0,0,0,0,0,0.562,0,0,0.562,A
2015,10605,Lake Mills Light & Water,WI,4,0.022,0,0.01,A,0,0,0,0,0,0.022,0, ,0.022,A
2015,10624,Southern Rivers Energy,GA,6,0.031, , ,E, , , , , ,0.031, , ,0.031,E
2015,10799,City of Lawrenceburg,TN,13,0.132,0,0,A,0,0,0,0,0,0.132,0,0,0.132,A
2015,10906,City of Lenoir - (TN),TN,55,1.333,0,0,A,0,0,0,0,0,1.333,0,0,1.333,A
2015,10966,City of Lexington - (NC),NC,7,1.9,1.9,0,A,1.9, , , , ,0, , ,1.9,A
2015,10968,City of Lexington - (TN),TN,11,0.051,0,0,A,0,0,0,0,0,0.051,0,0,0.051,A
2015,11018,Lincoln Electric System,NE,1,0.5,0,0,A,0.5, , , , , , , ,0.5,A
2015,11118,Lockhart Power Co,SC,3,1.65, ,1.65,A, , , ,1.65, , , , ,1.65,A
2015,11125,City of Lodi - (WV),WI,1,0.005,0,0.005,A,0,0,0,0,0,0.005,0, ,0.005,A
2015,11135,City of Logan - (UT),UT,3,1.685, ,1.685,E, , , ,1.625, ,0.06, , ,1.685,
2015,11148,City of Lompoc - (CA),CA,6,0.455,0.455,0.455,A,0.455, , , , , , , ,0.455,A
2015,11171,Long Island Power Authority,NY,102,18.2, , ,,6.3,0.7, , , ,11.2, , ,18.2,A
2015,11187,City of Longmont,CO,2,0.5,0,0.5,A, , , ,0.5, , , , ,0.5,A
2015,11222,Loudon Utilities Board,TN,8,0.368,0,0,A,0,0,0,0,0,0.368,0,0,0.368,A
2015,11247,Louisville Electric System,MS,1,0.058,0,0,A,0,0,0,0,0,0.058,0,0,0.058,A
2015,11291,Lumbee River Elec Member Corp,NC,15,0.62,0,0.1,A, , , , , ,0.62, , ,0.62,A
2015,11345,Lyon-Lincoln Electric Coop Inc,MN,6,0.2, , ,A, , , , ,0.2, , , ,0.2,A
2015,11359,Village of Lyndonville - (VT),VT,4,2.45, , ,E, , , ,2.45, , , , ,2.45,E
2015,11479,Madison Gas & Electric Co,WI,247,39.8,38.2,38.2,A,38.2,0,0.5,0,0,1.1,0,0,39.8,
2015,11566,City of Mangum - (OK),OK,6,5.9, , ,A,5.9, , , , , , , ,5.9,A
2015,11571,Manitowoc Public Utilities,WI,2,0.354,0, ,A, , , , ,0.063,0.291, , ,0.354,A
2015,11714,Marshall-De Kalb Electric Coop,AL,1,0.05,0,0,A,0,0,0,0,0,0.05,0,0,0.05,A
2015,11788,Consumers Energy,IA,1,0.001,0,0,A, , , , ,0.001, , , ,0.001,A
2015,11789,Maryville Utilities,TN,11,0.126,0,0,A,0,0,0,0,0,0.126,0,0,0.126,A
2015,11804,Massachusetts Electric Co,MA,112,25.7, , ,A,10.1,0.7,0.4,1.2,0.8,12, ,0.5,25.7,A
2015,11871,City of Mayfield Plant Board,KY,1,0.025,0,0,A,0,0,0,0,0,0.025,0,0,0.025,A
2015,12298,City of Menasha - (WI),WI,4,0.018,0, ,A,0,0,0,0,0,0.018,0, ,0.018,A
2015,12330,Meriwether Lewis Electric Coop,TN,25,0.343,0,0,A,0,0,0,0,0,0.343,0,0,0.343,A
2015,12341,MidAmerican Energy Co,IA,30,13.2,7.8,0.1,E,11.6, ,0.3,0.9,0.2,0.2, , ,13.2,E
2015,12341,MidAmerican Energy Co,IL,22,13.3, ,3.6,E,4.3, , ,9, , , , ,13.3,E
2015,12450,Midland Power Coop,IA,28,5.1, , ,A,4.5, , , ,0.2,0.4, , ,5.1,A
2015,12470,Middle Tennessee E M C,TN,139,4.7,0,0,A,0,0,0,0,0.007,4.693,0,0,4.7,A
2015,12473,Town of Middleborough - (MA),MA,5,1.1, ,0.1,A, , , , , ,1.1, , ,1.1,A
2015,12532,City of Milan,TN,9,0.166,0,0,A,0,0,0,0,0,0.166,0,0,0.166,A
2015,12642,Maquoketa Valley Rrl Elec Coop,IA,64,0.814, , ,A, , , , ,0.008,0.806, , ,0.814,A
2015,12686,Mississippi Power Co,MS,40,16,14,0,A,14, , , , ,2, , ,16,A
2015,12745,Modesto Irrigation District,CA,1,0.2,0,0.2,A, , , ,0.2, , , , ,0.2,A
2015,12801,City of Monroe - (NC),NC,3,1.1,1.1,0,A,1.1, , , , , , , ,1.1,A
2015,12825,NorthWestern Energy LLC - (MT),MT,16,6.3,0,0.1,A,0,0,0,2.3,3.9,0,0.1,0,6.3,A
2015,12894,City of Moorhead - (MN),MN,2,1.5, ,1.5,A, , , , ,1.5, , , ,1.5,A
2015,12944,City of Morganton - (NC),NC,4,1.6,0.8,0,A,0.8, , , , ,0.8, , ,1.6,A
2015,12988,City of Morristown - (TN),TN,6,0.096,0,0,A,0,0,0,0,0,0.096,0,0,0.096,A
2015,12989,Village of Morrisville - (VT),VT,6,5, , ,A, , , ,5, , , , ,5,A
2015,13027,"Mountain Electric Coop, Inc",NC,29,1.925,0,0,A,0,0,0,0.003,0.027,1.895,0,0,1.925,A
2015,13027,"Mountain Electric Coop, Inc",TN,8,0.041,0,0,A,0,0,0,0,0.004,0.037,0,0,0.041,A
2015,13036,Village of Mt. Horeb - (WI),WI,4,0.018,0, ,A,0,0,0,0,0,0.018,0, ,0.018,A
2015,13039,City of Mt Pleasant - (TN),TN,1,0.006,0,0,A,0,0,0,0,0,0.006,0,0,0.006,A
2015,13119,City of Murfreesboro,TN,11,0.276,0,0,A,0,0,0,0,0,0.276,0,0,0.276,A
2015,13138,City of Murray - (KY),KY,5,0.121,0,0,A,0,0,0,0,0,0.121,0,0,0.121,A
2015,13144,City of Muscle Shoals,AL,1,0.006,0,0,A,0,0,0,0,0,0.006,0,0,0.006,A
2015,13214,The Narragansett Electric Co,RI,57,8.015, , ,A,1.285,0.36, ,0.37, ,6, , ,8.015,A
