Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Photovoltaic,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Wind,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Other,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Total,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63
2015,636,City of Anderson - (IN),IN,0.005, , , ,0.005,1, , , ,1,0.126, , , ,0.126, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.005,0,0,0,0.005,1,0,0,0,1,0.126,0,0,0,0.126
2015,689,Connexus Energy,MN,0.167, , , ,0.167,26, , , ,26, , , , ,0,0.088, , , ,0.088,7, , , ,7, , , , ,0, , ,0.16, ,0.16, , ,1, ,1, , , , ,0,0.255,0,0.16,0,0.415,33,0,1,0,34,0,0,0,0,0
2015,691,City of Anoka,MN,0.008, , , ,0.008,2, , , ,2,12.8, , , ,12.8, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.008,0,0,0,0.008,2,0,0,0,2,12.8,0,0,0,12.8
2015,694,Anza Electric Coop Inc,CA,0.194,0.695, , ,0.889,41,1, , ,42, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.194,0.695,0,0,0.889,41,1,0,0,42,0,0,0,0,0
2015,719,Town of Apex- (NC),NC,0.097, , , ,0.097,17, , , ,17, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.097,0,0,0,0.097,17,0,0,0,17,0,0,0,0,0
2015,733,Appalachian Power Co,VA,2.511,2.357,0.083, ,4.951,488,48,1, ,537,1329.816,158.615,0, ,1488.431,0.075,0.037, , ,0.112,20,5, , ,25,16.454,12.989, , ,29.443, ,1.128, , ,1.128, ,1, , ,1, ,2.4, , ,2.4,2.586,3.522,0.083,0,6.191,508,54,1,0,563,1346.27,174.004,0,0,1520.274
2015,733,Appalachian Power Co,WV,0.326,0.3,0.005, ,0.631,68,22,1, ,91,153.95,71.459,2.805, ,228.214,0.025,0.01, , ,0.035,6,2, , ,8,0.509,0, , ,0.509, , , , ,0, , , , ,0, , , , ,0,0.351,0.31,0.005,0,0.666,74,24,1,0,99,154.459,71.459,2.805,0,228.723
2015,803,Arizona Public Service Co,AZ,237.6,203.87, , ,441.47,39127,1183, , ,40310, , , , ,0,0.05,0.11, , ,0.16,25,11, , ,36, , , , ,0, , , , ,0, , , , ,0, , , , ,0,237.65,203.98,0,0,441.63,39152,1194,0,0,40346,0,0,0,0,0
2015,814,Entergy Arkansas Inc,AR,0.7,0.23, , ,0.93,130,18, , ,148, , , , ,0,0.002,0.057, , ,0.059,1,4, , ,5, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.702,0.287,0,0,0.989,131,22,0,0,153,0,0,0,0,0
2015,817,Arkansas Valley Elec Coop Corp,AR,0.118,0.017, , ,0.135,24,1, , ,25,7.456, , , ,7.456,0.006, , , ,0.006,1, , , ,1, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.124,0.017,0,0,0.141,25,1,0,0,26,7.456,0,0,0,7.456
2015,887,"Arrowhead Electric Coop, Inc",MN,0.001,0.001, , ,0.002,23,2, , ,25, , , , ,0,0.001,0, , ,0.001,1,0, , ,1, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.002,0.001,0,0,0.003,24,2,0,0,26,0,0,0,0,0
2015,942,Atchison-Holt Electric Coop,IA,0.023, , , ,0.023,1, , , ,1,8.669, , , ,8.669, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.023,0,0,0,0.023,1,0,0,0,1,8.669,0,0,0,8.669
2015,942,Atchison-Holt Electric Coop,MO,0.008, , , ,0.008,2, , , ,2,0.032, , , ,0.032,0.01, , , ,0.01,1, , , ,1, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.018,0,0,0,0.018,3,0,0,0,3,0.032,0,0,0,0.032
2015,963,Atlantic City Electric Co,NJ,68.261,76.028,20.074, ,164.363,8069,719,36, ,8824,5014.704,9643.284, , ,14657.988,0.262,0.076, , ,0.338,25,5, , ,30,0,0, , ,0, , , , ,0, , , , ,0, , , , ,0,68.523,76.104,20.074,0,164.701,8094,724,36,0,8854,5014.704,9643.284,0,0,14657.988
2015,1009,City of Austin - (MN),MN,0.01,0.07, , ,0.08,5,8, , ,13,3.924,15.903, , ,19.827, ,0.06, , ,0.06, ,2, , ,2, ,63.984, , ,63.984, , , , ,0, , , , ,0, , , , ,0,0.01,0.13,0,0,0.14,5,10,0,0,15,3.924,79.887,0,0,83.811
2015,1015,Austin Energy,TX,19.716,11.696, , ,31.412,4497,369, , ,4866, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,19.716,11.696,0,0,31.412,4497,369,0,0,4866,0,0,0,0,0
2015,1050,City of Azusa,CA,0.544,0.014,0.405, ,0.963,144,1,5, ,150, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.544,0.014,0.405,0,0.963,144,1,5,0,150,0,0,0,0,0
2015,1062,BARC Electric Coop Inc,VA,0.101, , , ,0.101,15, , , ,15,3, , , ,3,0.005, , , ,0.005,2, , , ,2, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.106,0,0,0,0.106,17,0,0,0,17,3,0,0,0,3
2015,1148,City of Baldwin City- (KS),KS,0.039,0.013, , ,0.052,6,2, , ,8, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.039,0.013,0,0,0.052,6,2,0,0,8,0,0,0,0,0
2015,1167,Baltimore Gas & Electric Co,MD,71.88,59.64, , ,131.52,11299,380, , ,11679, , , , ,0,0.055,0.01, , ,0.065,18,3, , ,21, , , , ,0, , , , ,0, , , , ,0, , , , ,0,71.935,59.65,0,0,131.585,11317,383,0,0,11700,0,0,0,0,0
2015,1175,"Bandera Electric Coop, Inc",TX,0.73, , , ,0.73,85, , , ,85, , , , ,0,0.03, , , ,0.03,10, , , ,10, , , , ,0,0.008, , , ,0.008,1, , , ,1, , , , ,0,0.768,0,0,0,0.768,96,0,0,0,96,0,0,0,0,0
2015,1179,Emera Maine,ME,1.348,1.173,0.026, ,2.547,283,86,1, ,370, , , , ,0,0.359,0.164,0.6, ,1.123,97,16,1, ,114, , , , ,0, ,0.28, , ,0.28, ,4, , ,4, , , , ,0,1.707,1.617,0.626,0,3.95,380,106,2,0,488,0,0,0,0,0
2015,1181,Village of Bangor - (WI),WI,0.015,0.016, , ,0.031,3,1, , ,4, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.015,0.016,0,0,0.031,3,1,0,0,4,0,0,0,0,0
2015,1192,City of Banning - (CA),CA,0.922,0.251, , ,1.173,185,7, , ,192, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.922,0.251,0,0,1.173,185,7,0,0,192,0,0,0,0,0
2015,1196,Village of Baraga - (MI),MI, ,0.002,0,0,0.002, ,1,0,0,1,0,0,0,0,0, , ,0,0,0, , ,0,0,0,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0.002,0,0,0.002,0,1,0,0,1,0,0,0,0,0
2015,1251,Barron Electric Coop,WI,0.185, , , ,0.185,16, , , ,16,2.414, , , ,2.414,0.008, , , ,0.008,2, , , ,2,0.061, , , ,0.061, , , , ,0, , , , ,0, , , , ,0,0.193,0,0,0,0.193,18,0,0,0,18,2.475,0,0,0,2.475
2015,1273,"Bartlett Electric Coop, Inc",TX,0.236, , , ,0.236,24, , , ,24,0, , , ,0,0.017, , , ,0.017,6, , , ,6,0, , , ,0, , , , ,0, , , , ,0, , , , ,0,0.253,0,0,0,0.253,30,0,0,0,30,0,0,0,0,0
2015,1283,Bartholomew County Rural E M C,IN,0.047, , , ,0.047,6, , , ,6,0.013, , , ,0.013,0.003, , , ,0.003,3, , , ,3,0, , , ,0, , , , ,0, , , , ,0, , , , ,0,0.05,0,0,0,0.05,9,0,0,0,9,0.013,0,0,0,0.013
2015,1300,City of Bartow - (FL),FL,0.055,0.033,0.034, ,0.122,9,3,1, ,13, , , , ,0,0.002, , , ,0.002,1, , , ,1, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.057,0.033,0.034,0,0.124,10,3,1,0,14,0,0,0,0,0
2015,1301,"Barton County Elec Coop, Inc",MO,0.08, , , ,0.08,10, , , ,10, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.08,0,0,0,0.08,10,0,0,0,10,0,0,0,0,0
2015,1367,"Bayfield Electric Coop, Inc",WI,0.09, , , ,0.09,20, , , ,20,0, , , ,0,0.008, , , ,0.008,3, , , ,3,0, , , ,0,0, , , ,0,0, , , ,0,0, , , ,0,0.098,0,0,0,0.098,23,0,0,0,23,0,0,0,0,0
2015,1417,"Beartooth Electric Coop, Inc",MT,0.133, , , ,0.133,25, , , ,25, , , , ,0,0.022, , , ,0.022,6, , , ,6, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.155,0,0,0,0.155,31,0,0,0,31,0,0,0,0,0
2015,1417,"Beartooth Electric Coop, Inc",WY,0.19, , , ,0.19,4, , , ,4, , , , ,0,0.024, , , ,0.024,1, , , ,1, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.214,0,0,0,0.214,5,0,0,0,5,0,0,0,0,0
2015,1458,"Beauregard Electric Coop, Inc",LA,1.281, , , ,1.281,199, , , ,199, , , , ,0,0.009, , , ,0.009,2, , , ,2, , , , ,0, , , , ,0, , , , ,0, , , , ,0,1.29,0,0,0,1.29,201,0,0,0,201,0,0,0,0,0
2015,1529,"Beltrami Electric Coop, Inc",MN,0.124,0,0,0,0.124,12,0,0,0,12,41.14,0,0,0,41.14,0.048,0,0,0,0.048,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0.172,16,0,0,0,16,41.14,0,0,0,41.14
2015,1579,PUD No 1 of Benton County,WA,0.565,0.051, , ,0.616,90,6, , ,96,227.085,3.656, , ,230.741,0.005,0.002, , ,0.007,2,1, , ,3,0.139,1.064, , ,1.203, , , , ,0, , , , ,0, , , , ,0,0.57,0.053,0,0,0.623,92,7,0,0,99,227.224,4.72,0,0,231.944
2015,1586,City of Bentonville - (AR),AR,0.07,0.18, , ,0.25,3,1, , ,4, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.07,0.18,0,0,0.25,3,1,0,0,4,0,0,0,0,0
2015,1591,"Big Country Electric Coop, Inc",TX, , , , ,0, , , , ,0, , , , ,0,0.025, , , ,0.025,4, , , ,4, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.025,0,0,0,0.025,4,0,0,0,4,0,0,0,0,0
2015,1613,Berkeley Electric Coop Inc,SC,0.232, , , ,0.232,40, , , ,40, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.232,0,0,0,0.232,40,0,0,0,40,0,0,0,0,0
2015,1625,Benton Rural Electric Assn,WA,0.32, , , ,0.32,56, , , ,56,322.55, , , ,322.55,0.007, , , ,0.007,2, , , ,2,1, , , ,1, , , , ,0, , , , ,0, , , , ,0,0.327,0,0,0,0.327,58,0,0,0,58,323.55,0,0,0,323.55
2015,1675,Big Horn Rural Electric Co,WY, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.036, , , ,0.036,3, , , ,3,39.41, , , ,39.41,0.036,0,0,0,0.036,3,0,0,0,3,39.41,0,0,0,39.41
2015,1723,"Big Bend Electric Coop, Inc",WA,0.041,0.007,0.008,0,0.056,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.007,0.008,0,0.056,4,1,1,0,6,0,0,0,0,0
2015,1736,Blachly-Lane County Coop El Assn,OR,0.016, , , ,0.016,4, , , ,4,9.49, , , ,9.49, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.016,0,0,0,0.016,4,0,0,0,4,9.49,0,0,0,9.49
2015,1763,"Black River Electric Coop, Inc - (SC)",SC,0.064, , , ,0.064,14, , , ,14,12.593, , , ,12.593, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.064,0,0,0,0.064,14,0,0,0,14,12.593,0,0,0,12.593
2015,1769,"Black Hills Electric Coop, Inc",SD,0.025,0,0,0,0.025,5,0,0,0,5,16.782,0,0,0,16.782,0.005,0,0,0,0.005,1,0,0,0,1,0.855,0,0,0,0.855, , , , ,0, , , , ,0, , , , ,0,0.03,0,0,0,0.03,6,0,0,0,6,17.637,0,0,0,17.637
2015,1775,Black River Electric Coop - (MO),MO,0.01, , , ,0.01,1, , , ,1, , , , ,0,0.027, , , ,0.027,6, , , ,6,2.83, , , ,2.83, , , , ,0, , , , ,0, , , , ,0,0.037,0,0,0,0.037,7,0,0,0,7,2.83,0,0,0,2.83
2015,1776,City of Black River Falls,WI, ,0.011,0,0,0.011, ,2,0,0,2,0,0,0,0,0, , ,0,0,0, , ,0,0,0,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0.011,0,0,0.011,0,2,0,0,2,0,0,0,0,0
2015,1857,Block Island Power Co,RI,0.05, , , ,0.05,20, , , ,20, , , , ,0,0.04, , , ,0.04,4, , , ,4, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.09,0,0,0,0.09,24,0,0,0,24,0,0,0,0,0
2015,1884,BENCO Electric Cooperative,MN,0.086, , , ,0.086,15, , , ,15,105.987, , , ,105.987,0.173,0.208, , ,0.381,6,5, , ,11,225.7,112.1, , ,337.8, ,0.45, , ,0.45, ,1, , ,1, ,0, , ,0,0.259,0.658,0,0,0.917,21,6,0,0,27,331.687,112.1,0,0,443.787
2015,1889,Blue Ridge Elec Member Corp - (NC),NC,0.47,0.02,0,0,0.49,89,2,0,0,91,0,0,0,0,0,0.01,0,0,0,0.01,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.02,0,0,0.5,91,2,0,0,93,0,0,0,0,0
2015,1890,Blue Ridge Electric Coop Inc - (SC),SC,0.333,0.004, , ,0.337,78,1, , ,79,17.24,0, , ,17.24, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.333,0.004,0,0,0.337,78,1,0,0,79,17.24,0,0,0,17.24
2015,1892,"Bluebonnet Electric Coop, Inc",TX,0.984,0.052, , ,1.036,152,8, , ,160,91.24,6.679, , ,97.919,0.068,0.016, , ,0.084,16,3, , ,19,2.417,0.039, , ,2.456, , , , ,0, , , , ,0, , , , ,0,1.052,0.068,0,0,1.12,168,11,0,0,179,93.657,6.718,0,0,100.375
2015,1997,City of Boscobel - (WI),WI, ,0.012,0,0,0.012, ,1,0,0,1,0,0,0,0,0, , ,0,0,0, , ,0,0,0,0,0,0,0,0, ,0,0,0,0, ,0,0,0,0,0,0,0, ,0,0,0.012,0,0,0.012,0,1,0,0,1,0,0,0,0,0
2015,2001,Boone Electric Coop,MO,0.14, , , ,0.14,26, , , ,26,107.779, , , ,107.779,0.005, , , ,0.005,3, , , ,3,0.377, , , ,0.377, , , , ,0, , , , ,0, , , , ,0,0.145,0,0,0,0.145,29,0,0,0,29,108.156,0,0,0,108.156
2015,2008,City of Boulder City - (NV),NV,0.02,0.331,0,0,0.351,6,3, , ,9, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.02,0.331,0,0,0.351,6,3,0,0,9,0,0,0,0,0
2015,2010,City of Bountiful,UT,0.361,0.034,0,0,0.395,59,2,0,0,61,0,0,0,0,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.361,0.034,0,0,0.395,59,2,0,0,61,0,0,0,0,0
2015,2049,"Bowie-Cass Electric Coop, Inc",TX,0.2,0.49, , ,0.69,12,4, , ,16,13.1,49.5, , ,62.6, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.2,0.49,0,0,0.69,12,4,0,0,16,13.1,49.5,0,0,62.6
2015,2144,Town of Braintree - (MA),MA,0.03,0.45, , ,0.48,7,4, , ,11, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.005, , , ,0.005,3, , , ,3, , , , ,0,0.035,0.45,0,0,0.485,10,4,0,0,14,0,0,0,0,0
2015,2194,City of Brenham - (TX),TX,0.005, , , ,0.005,2, , , ,2, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.005,0,0,0,0.005,2,0,0,0,2,0,0,0,0,0
2015,2212,"Broad River Electric Coop, Inc",SC,0.101, , , ,0.101,18, , , ,18,19.01, , , ,19.01, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.101,0,0,0,0.101,18,0,0,0,18,19.01,0,0,0,19.01
2015,2215,"Bridger Valley Elec Assn, Inc",WY,0.025,0.05, , ,0.075,1,2, , ,3, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.025,0.05,0,0,0.075,1,2,0,0,3,0,0,0,0,0
2015,2220,Brigham City Corporation,UT,0.046,0.06, , ,0.106,7,1, , ,8, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.046,0.06,0,0,0.106,7,1,0,0,8,0,0,0,0,0
2015,2316,Brown County Rural Elec Assn,MN,0.07, , , ,0.07,6, , , ,6, , , , ,0,0.085,0.02, , ,0.105,5,1, , ,6, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.155,0.02,0,0,0.175,11,1,0,0,12,0,0,0,0,0
2015,2409,Brownsville Public Utilities Board,TX,0.028,0.182, , ,0.21,4,8, , ,12, , , , ,0, ,0.007, , ,0.007, ,1, , ,1, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.028,0.189,0,0,0.217,4,9,0,0,13,0,0,0,0,0
2015,2442,City of Bryan - (TX),TX,0.308,0.059, , ,0.367,64,7, , ,71, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.308,0.059,0,0,0.367,64,7,0,0,71,0,0,0,0,0
2015,2502,"Buckeye Rural Elec Coop, Inc",OH,0.14, , , ,0.14,18, , , ,18, , , , ,0,0.02, , , ,0.02,2, , , ,2, , , , ,0, , , , ,0, , , , ,0, , , , ,0,0.16,0,0,0,0.16,20,0,0,0,20,0,0,0,0,0
