Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2015,4,04/06/2015,8:12 AM,04/06/2015 12:08 PM,,"3 Hours, 56 Minutes",,Pacific Gas & Electric Co,WECC,"Butte County, California",Operations,Unknown,80000,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident -,,,
2015,4,04/07/2015 12:30 PM,,04/07/2015,5:34 PM,"5 Hours,",4 Minutes,Potomac Electric Power Co,RFC,Unknown,System Operations,Unknown,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,4,04/07/2015,3:34 PM,04/07/2015,3:46 PM,"0 Hours, 12 Minutes",,WAPA Sierra Nevada Region,WECC,California,Operations,0,0,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,4,04/17/2015,9:16 AM,04/17/2015 11:00 AM,,"1 Hours, 44 Minutes",,Peak Reliability,WECC,Canada,Operations,9300,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,4,04/17/2015,9:30 PM,04/19/2015 11:50 PM,,"50 Hours, 20 Minutes",,CenterPoint Energy,TRE,"Houston, Texas",hour or more - Severe Weather,Unknown,280982,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,4,04/18/2015,9:00 PM,04/21/2015,4:00 AM,"55 Hours,",0 Minutes,Oncor Electric Delivery Company LLC,TRE,"Dallas, Fort Worth, Texas",hour or more - Severe Weather,Unknown,89000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,4,04/24/2015,7:10 PM,04/26/2015,4:00 PM,"44 Hours, 50 Minutes",,Oncor Electric Delivery Company LLC,TRE,"Dallas, Fort Worth, Texas",hour or more - Severe Weather,Unknown,57000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,4,04/27/2015 10:30 AM,,04/28/2015,6:45 PM,"32 Hours, 15 Minutes",,"Entergy Services, Inc.",SERC,Louisiana and Texas,hour or more - Severe Weather,Unknown,199000,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
2015,5,05/18/2015,3:28 PM,05/18/2015,3:47 PM,"0 Hours, 19 Minutes",,Peak Reliability for BCHA,WECC,Washington,operational - Severe Weather,275,0,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,5,05/25/2015,6:00 PM,05/29/2015,7:15 AM,"85 Hours, 15 Minutes",,Oncor Electric Delivery Company LLC,TRE,North Texas,hour or more - Severe Weather,Unknown,454000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,5,05/25/2015,8:30 PM,,.,.,". Hours,",. Minutes,"Southwest Power Pool, Inc.",SPP,"Texas, Louisiana, Arkansas",hour or more - Severe Weather,Unknown,57351
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,5,05/25/2015,8:30 PM,05/26/2015,6:30 PM,"22 Hours,",0 Minutes,American Electric Power - (SPP Reliability Region),SPP,Texas,hour or more - Severe Weather,Unknown,57531,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Fort Bend County, & Harris","than 50,000 customers for 1",,,
2015,5,05/25/2015 10:45 PM,,05/28/2015,1:25 AM,"50 Hours, 40 Minutes",,CenterPoint Energy,TRE,"County ,Texas",hour or more - Severe Weather,Unknown,61000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Texas, Louisiana, Arkansas,","than 50,000 customers for 1",,,
2015,5,05/26/2015,5:30 AM,05/27/2015,7:00 PM,"37 Hours, 30 Minutes",,"Entergy Services, Inc.",SERC,Mississippi,hour or more - Severe Weather,Unknown,78515,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,6,06/01/2015,7:19 PM,06/02/2015,8:36 AM,"13 Hours, 17 Minutes",,Pacific Gas & Electric Co,WECC,California,Operations,5,484,
"Table B.2 Major Disturbances and Unusual Occurrences, 2015",,,,,,,,,,,,,,
,,,,,,,,,,,,,Number of,
,,,,Restoration Date and,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,,,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,6,06/02/2015,6:58 PM,06/02/2015,7:24 PM,"0 Hours, 26 Minutes",,Pacific Gas & Electric Co,WECC,California,Operations,5,727,
,,,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,,,of electricity - System,,,
2015,6,06/03/2015,3:00 PM,06/05/2015,5:00 PM,"50 Hours,",0 Minutes,ERCOT,TRE,Texas,Operations,Unknown,Unknown,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident -,,,
2015,6,06/07/2015,1:52 PM,06/07/2015,2:13 PM,"0 Hours, 21 Minutes",,Tennessee Valley Authority,SERC,Tennessee,System Operations,Unknown,Unknown,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident,,,
,,,,,,,,,,,and System-wide voltage,,,
,,,,,,,,,,,reductions of 3 percent or more -,,,
2015,6,06/07/2015,1:54 PM,06/07/2015,2:13 PM,"0 Hours, 19 Minutes",,Memphis Light Gas and Water Division,SERC,"Shelby County, Tennessee",System Operations,926,Unknown,
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,,system adequacy or reliability -,,,
2015,6,06/08/2015 12:00 AM,,,.,.,". Hours,",. Minutes,California Department of Water Resources,WECC,"Merced County, California",System Operations,176,Unknown
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,6,06/23/2015,5:06 PM,06/26/2015,4:00 PM,"70 Hours, 54 Minutes",,Delmarva Power & Light Company,RFC,"New Castle County, Delaware",hour or more - Severe Weather,Unknown,65000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Delaware County, PA; Chester","than 50,000 customers for 1",,,
2015,6,06/23/2015,5:30 PM,06/23/2015,7:00 PM,"1 Hours, 30 Minutes",,Exelon Corporation / PECO,RFC,"County, PA",hour or more - Severe Weather,Unknown,200000,
,,,,,,,,,,"Gloucester County, Burlington",Loss of electric service to more,,,
,,,,,,,,,,"County, Atlantic County, Cape","than 50,000 customers for 1",,,
2015,6,06/23/2015,6:00 PM,06/30/2015,6:00 PM,"168 Hours,",0 Minutes,Atlantic City Electric Co,RFC,"May County, New Jersey",hour or more - Severe Weather,Unknown,263000,
,,,,,,,,,,,Load shedding of 100,,,
,,,,,,,,,,,Megawatts or more,,,
,,,,,,,,,,,implemented under emergency,,,
,,,,,,,,,,,operational policy and Loss of,,,
,,,,,,,,,,,electric service to more than,,,
,,,,,,,,,,,"50,000 customers for 1 hour or",,,
2015,6,06/23/2015,6:18 PM,06/23/2015,8:30 PM,"2 Hours, 12 Minutes",,PJM Interconnection,RFC,New Jersey,more - System Operations,198,156338,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,6,06/23/2015,6:26 PM,,.,.,". Hours,",. Minutes,Public Service Electric & Gas,NPCC,New Jersey,hour or more - Severe Weather,90,73000
,,,,,,,,,,"Connecticut, Maine,",,,,
,,,,,,,,,,"Massachusetts, New",Loss of electric service to more,,,
,,,,,,,,,,"Hampshire, Rhode Island,","than 50,000 customers for 1",,,
2015,6,06/23/2015,6:30 PM,06/24/2015,5:00 AM,"10 Hours, 30 Minutes",,ISO New England,NPCC,Vermont,hour or more - Severe Weather,Unknown,62442,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,6,06/26/2015,2:00 AM,,.,.,". Hours,",. Minutes,Kansas City Power & Light Co,SPP,Kansas,hour or more - Severe Weather,Unknown,110000
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,6,06/27/2015,5:00 PM,06/30/2015,5:18 PM,"72 Hours, 18 Minutes",,Detroit Edison Co,RFC,"Wayne County, Michigan",hour or more - Severe Weather,Unknown,68000,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
2015,6,06/29/2015,7:21 PM,06/29/2015,7:42 PM,"0 Hours, 21 Minutes",,Peak Reliability,WECC,Washington,operational - Severe Weather,0,0,
,,,,,,,,,,,Public appeal to reduce the use,,,
2015,6,06/30/2015 10:50 AM,,07/01/2015,9:00 PM,"34 Hours, 10 Minutes",,Pacific Gas & Electric Co,WECC,California,of electricity - Severe Weather,Unknown,Unknown,
,,,,,,,,,,,Public appeal to reduce the use,,,
2015,6,06/30/2015,2:00 PM,06/30/2015,9:00 PM,"7 Hours,",0 Minutes,California ISO,WECC,California,of electricity - Severe Weather,Unknown,Unknown,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident -,,,
2015,7,07/03/2015,5:17 PM,07/03/2015 11:30 PM,,"6 Hours, 13 Minutes",,ERCOT,TRE,Texas,System Operations,350,30000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,7,07/13/2015,2:14 PM,07/16/2015,6:00 AM,"63 Hours, 46 Minutes",,Duke Energy Ohio Inc,RFC,"Ohio, Kentucky",hour or more - Severe Weather,480,68339,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,7,07/13/2015,7:40 PM,07/15/2015 12:15 PM,,"40 Hours, 35 Minutes",,American Electric Power - (RFC Reliability Region),RFC,Virginia,hour or more - Severe Weather,Unknown,52739,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident -,,,
2015,7,07/14/2015,3:29 PM,07/15/2015 11:55 AM,,"20 Hours, 26 Minutes",,"Entergy Services, Inc.",SPP,Arkansas,Severe Weather,Unknown,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,7,07/14/2015,8:00 PM,07/15/2015,9:23 AM,"13 Hours, 23 Minutes",,Southern Company,SERC,Alabama,hour or more - Severe Weather,366,111644,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident -,,,
2015,7,07/15/2015,2:00 AM,07/15/2015,2:55 AM,"0 Hours, 55 Minutes",,California Department of Water Resources,WECC,California,System Operations,360,0,
,,,,,,,,,,,Load shedding of 100,,,
,,,,,,,,,,,Megawatts or more,,,
,,,,,,,,,,,implemented under emergency,,,
,,,,,,,,,,,operational policy - System,,,
2015,7,07/16/2015,4:45 PM,07/16/2015,5:48 PM,"1 Hours,",3 Minutes,American Electric Power - (SPP Reliability Region),SPP,Texas,Operations,117,17311,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,"Henepin and Ramsey County,","than 50,000 customers for 1",,,
2015,7,07/18/2015,2:00 AM,07/19/2015,7:00 AM,"29 Hours,",0 Minutes,Northern States Power Co,MRO,Minnesota,hour or more - Severe Weather,250,250000,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,7,07/18/2015,6:26 PM,07/18/2015,9:03 PM,"2 Hours, 37 Minutes",,Pacific Gas & Electric Co,WECC,California,Operations,30,70,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,7,07/18/2015,7:59 PM,07/18/2015 10:45 PM,,"2 Hours, 46 Minutes",,Pacific Gas & Electric Co,WECC,California,hour or more - Severe Weather,160,78164,
,,,,,,,,,,,Load shedding of 100,,,
,,,,,,,,,,,Megawatts or more,,,
,,,,,,,,,,,implemented under emergency,,,
,,,,,,,,,,,operational policy - System,,,
2015,7,07/21/2015 12:47 PM,,07/21/2015,1:12 PM,"0 Hours, 25 Minutes",,Peak Reliability,WECC,Washington,Operations,200,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,7,07/27/2015,3:52 AM,07/27/2015,4:36 AM,"0 Hours, 44 Minutes",,Pacific Gas & Electric Co,WECC,California,Operations,Unknown,484,
"Table B.2 Major Disturbances and Unusual Occurrences, 2015",,,,,,,,,,,,,,
,,,,,,,,,,,,,Number of,
,,,,Restoration Date and,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,,,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected,
,,,,,,,,,,,System-wide voltage reductions,,,
,,,,,,,,,,,of 3 percent or more - System,,,
2015,7,07/28/2015 12:05 PM,,07/28/2015 12:26 PM,,"0 Hours, 21 Minutes",,Puerto Rico Electric Power Authority,N/A,Puerto Rico,Operations,150,Unknown,
,,,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,,,could impact electric power,,,
,,,,,,,,,,,system adequacy or reliability -,,,
2015,7,07/29/2015,4:45 PM,07/29/2015,9:00 PM,"4 Hours, 15 Minutes",,Long Island Power Authority,NPCC,New York,System Operations,500,0,
,,,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,,,of electricity - System,,,
2015,7,07/30/2015,9:50 AM,07/30/2015,7:00 PM,"9 Hours, 10 Minutes",,ERCOT,TRE,Texas,Operations,Unknown,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,,,operational - System,,,
2015,7,07/31/2015 10:55 AM,,,.,.,". Hours,",. Minutes,Peak Reliability,WECC,Washington,Operations,9,0
,,,,,,,,,,"Emmet County, Grand Traverse",,,,
,,,,,,,,,,"County, Leelanau County,",,,,
,,,,,,,,,,"Kalkaska County, Benzie",,,,
,,,,,,,,,,"County, Manistee County,",,,,
,,,,,,,,,,"Wexford County, Missaukee",Loss of electric service to more,,,
,,,,,,,,,,"County, Mecosta County,","than 50,000 customers for 1",,,
2015,8,08/02/2015,5:45 PM,08/04/2015,3:00 AM,"33 Hours, 15 Minutes",,Consumers Energy Co,RFC,Michigan,hour or more - Severe Weather,Unknown,162000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,8,08/03/2015 12:30 AM,,08/03/2015,2:00 AM,"1 Hours, 30 Minutes",,Exelon Corporation / ComEd,RFC,Illinois,hour or more - Severe Weather,Unknown,115000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,8,08/03/2015,1:00 AM,08/05/2015 12:00 AM,,"47 Hours,",0 Minutes,Detroit Edison Co,RFC,Michigan,hour or more - Severe Weather,Unknown,72520,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,Massachusetts and Rhode,"than 50,000 customers for 1",,,
2015,8,08/04/2015,7:17 AM,08/05/2015 12:52 PM,,"29 Hours, 35 Minutes",,ISO New England,NPCC,Island,hour or more - Severe Weather,Unknown,132000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,8,08/11/2015,7:30 PM,08/13/2015,4:05 AM,"32 Hours, 35 Minutes",,CenterPoint Energy,TRE,"Houston, Texas",hour or more - Severe Weather,Unknown,100000,
,,,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,,,of electricity for purposes of,,,
,,,,,,,,,,,maintaining the continuity of the,,,
2015,8,08/13/2015,3:15 PM,08/13/2015,7:00 PM,"3 Hours, 45 Minutes",,ERCOT,TRE,"Williamson County, Texas",electric power system - Other,Unknown,Unknown,
,,,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,,,system loads for more than 15,,,
,,,,,,,,,,,minutes from a single incident /,,,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
,,,,,,,,,,,hour or more - System,,,
2015,8,08/27/2015,9:51 PM,08/28/2015,6:00 PM,"20 Hours,",9 Minutes,Puerto Rico Electric Power Authority,WECC,Puerto Rico,Operations,360,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,8,08/29/2015 10:00 AM,,,.,.,". Hours,",. Minutes,Peak Reliability,WECC,Washington,hour or more - Severe Weather,Unknown,500000
,,,,,,,,,,"King County, Skagit County,",,,,
,,,,,,,,,,"Whatcom County, Kitsap",,,,
,,,,,,,,,,"County, Pierce County,",Loss of electric service to more,,,
,,,,,,,,,,"Thurston County, Island","than 50,000 customers for 1",,,
2015,8,08/29/2015 11:00 AM,,09/04/2015,3:00 PM,"148 Hours,",0 Minutes,Puget Sound Energy,WECC,"County, Washington",hour or more - Severe Weather,250,250000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,8,08/29/2015,1:00 PM,08/31/2015,7:00 AM,"42 Hours,",0 Minutes,Seattle City Light,WECC,"King County, Washington",hour or more - Severe Weather,1200,64000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,9,09/03/2015,2:33 AM,09/03/2015,6:25 AM,"3 Hours, 52 Minutes",,Lansing Board of Water & Light,RFC,Michigan,hour or more - Severe Weather,Unknown,50114,
,,,,,,,,,,,Load shedding of 100,,,
,,,,,,,,,,,Megawatts or more,,,
,,,,,,,,,,,implemented under emergency,,,
,,,,,,,,,,,operational policy - System,,,
2015,9,09/20/2015,1:12 PM,09/20/2015,1:44 PM,"0 Hours, 32 Minutes",,California ISO,WECC,California,Operations,150,Unknown,
,,,,,,,,,,,Public appeal to reduce the use,,,
2015,10,10/13/2015 10:25 AM,,10/13/2015,6:00 PM,"7 Hours, 35 Minutes",,ERCOT,TRE,Texas,of electricity - Other,Unknown,Unknown,
,,,,,,,,,,,Public appeal to reduce the use,,,
2015,10,10/13/2015,4:32 PM,10/13/2015,8:39 PM,"4 Hours,",7 Minutes,California ISO,WECC,California,of electricity - Other,41788,Unknown,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,10,10/18/2015,7:00 AM,10/18/2015 11:29 PM,,"16 Hours, 29 Minutes",,Pacific Gas & Electric Co,WECC,"Central Coast area, California",hour or more - Severe Weather,88,55677,
,,,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,,,operational / Load shedding of,,,
,,,,,,,,,,,100 Megawatts or more,,,
,,,,,,,,,,,implemented under emergency,,,
,,,,,,,,,,,operational policy / System-wide,,,
,,,,,,,,,,,voltage reductions of 3 percent,,,
,,,,,,,,,,,of more / Loss of electric,,,
,,,,,,,,,,,"service to more than 50,000",,,
,,,,,,,,,,,customers for 1 hour or more -,,,
2015,10,10/23/2015,9:42 AM,10/23/2015,1:26 PM,"3 Hours, 44 Minutes",,Puerto Rico Electric Power Authority,N/A,Puerto Rico,System Operations,500,300000,
,,,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,,,"than 50,000 customers for 1",,,
2015,10,10/31/2015 12:45 AM,,11/01/2015,4:05 PM,"39 Hours, 20 Minutes",,CenterPoint Energy,TRE,"Harris County, Texas",hour or more - Severe Weather,Unknown,130252,
