,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership Type|,|Utility Characteristics..NERC Region|,|Demand.(Megawatts).Summer Peak Demand|,|Demand.(Megawatts).Winter Peak Demand|,|Energy Sources (Megawatthours).(Megawatts).Net Generation|,|Energy Sources (Megawatthours).(Megawatts).Wholesale Power Purchases|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Received|,|Energy Sources (Megawatthours).Power Exchanged.Exchange Energy Delivered|,|Energy Sources (Megawatthours).Power Exchanged.Net Power Exchanged|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Received|,|Energy Sources (Megawatthours).Wheeled Power.Wheeled Power Delivered|,|Energy Sources (Megawatthours).Wheeled Power.Net Wheeled Power|,|Energy Sources (Megawatthours).Wheeled Power.Transmission by Other Losses|,|Energy Sources (Megawatthours).Wheeled Power.Total Sources|,|Disposition.(Megawatthours).Sales to Ultimate Customers|,|Disposition.(Megawatthours).Sales for Resale|,|Disposition.(Megawatthours).Furnished without Charge|,|Disposition.(Megawatthours).Consumed by Respondent without Charge|,|Disposition.(Megawatthours).Total Energy Losses|,|Disposition.(Megawatthours).Total Disposition|,|Electric Revenues.(Thousands Dollars).From Retail Sales|,|Electric Revenues.(Thousands Dollars).From Delivery Customers|,|Electric Revenues.(Thousands Dollars).From Sales for Resale|,|Electric Revenues.(Thousands Dollars).From Credits or Adjustments|,|Electric Revenues.(Thousands Dollars).From Transmission|,|Electric Revenues.(Thousands Dollars).From Other|,|Electric Revenues.(Thousands Dollars).Total|,"|..""Data Type O = Observed I = Imputed""|"
10,2021,12395,Menard Electric Coop,IL,Cooperative,SERC,62.0,38.9,.,"208,946",0,0,0,.,.,0,.,"208,946","192,972",.,.,230,"15,744","208,946","29,096.8",.,.,.,.,149.8,"29,246.6",O
11,2021,13032,Mt Carmel Public Utility Co,IL,Investor Owned,SERC,22.5,16.7,.,"95,245",0,0,0,.,.,0,.,"95,245","85,344","3,471",297,360,"5,773","95,245","12,442.0",.,255.0,.,.,43.0,"12,740.0",O
12,2021,13208,City of Naperville - (IL),IL,Municipal,RFC,340.7,200.2,.,"1,330,676",0,0,0,.,.,0,.,"1,330,676","1,280,784",.,"3,890",.,"46,002","1,330,676","149,820.9",.,.,.,.,438.8,"150,259.7",O
13,2021,13292,Norris Electric Coop,IL,Cooperative,RFC,81.4,72.2,.,"380,688",0,0,0,.,.,0,.,"380,688","355,861",.,.,508,"24,319","380,688","41,973.0",.,.,.,.,.,"41,973.0",O
14,2021,14840,City of Peru - (IL),IL,Municipal,RFC,49.0,39.0,"78,040","185,508",0,0,0,.,.,0,.,"263,548","250,651",.,.,.,"12,897","263,548","27,549.0",.,.,.,.,222.0,"27,771.0",O
15,2021,16179,Rochelle Municipal Utilities,IL,Municipal,RFC,59.3,59.2,"223,639","165,082",0,0,0,.,.,0,.,"388,721","388,721",.,.,.,0,"388,721","34,721.0",.,.,.,.,259.0,"34,980.0",O
16,2021,17040,"Shelby Electric Coop, Inc",IL,Cooperative,RFC,48.7,43.3,.,"263,206",0,0,0,.,.,0,.,"263,206","246,934",.,.,289,"15,983","263,206","33,618.5",.,.,.,.,182.4,"33,800.9",O
17,2021,17585,"Southeastern IL Elec Coop, Inc",IL,Cooperative,RFC,175.8,215.9,.,"793,823",0,0,0,.,.,0,.,"793,823","771,766",.,863,.,"21,194","793,823","82,424.0",.,.,590.0,.,.,"83,014.0",O
18,2021,17632,Southern Illinois Power Coop,IL,Cooperative,SERC,423.4,488.3,"1,656,907","661,806",0,0,0,.,.,0,.,"2,318,713",.,"2,290,431",.,369,"27,913","2,318,713",.,.,"166,104.6",.,.,689.1,"166,793.7",O
19,2021,17697,Southwestern Electric Coop Inc - (IL),IL,Cooperative,SERC,108.5,88.3,"1,695","454,664",0,0,0,.,.,0,.,"456,359","440,629","1,695",.,.,"14,035","456,359","59,340.5",0.0,65.5,0.0,0.0,314.0,"59,720.0",O
20,2021,17828,City of Springfield - (IL),IL,Municipal,SERC,366.0,292.0,"830,322","972,878",.,.,0,.,.,0,.,"1,803,200","1,521,167","210,078","15,954","4,291","51,710","1,803,200","182,804.6",0.0,"5,931.4",.,.,"3,305.9","192,041.9",O
21,2021,17860,City of St Charles - (IL),IL,Municipal,RFC,115.2,73.9,.,"516,421",0,0,0,.,.,0,.,"516,421","498,561",0,0,0,"17,860","516,421","59,811.2",.,.,.,.,.,"59,811.2",O
22,2021,18955,"Tri-County Electric Coop, Inc (IL)",IL,Cooperative,RFC,83.5,79.6,411,"396,484",0,0,0,.,.,0,.,"396,895","379,785",.,.,129,"16,981","396,895","46,904.9",.,.,.,150.2,501.0,"47,556.1",O
23,2021,20222,Wayne-White Counties Elec Coop,IL,Cooperative,RFC,78.4,68.6,0,"398,028",0,0,0,.,.,0,.,"398,028","383,976",.,.,.,"14,052","398,028","41,633.5",.,.,.,.,201.4,"41,834.9",O
24,2021,40307,"Prairie Power, Inc",IL,Cooperative,SERC,316.9,312.2,"1,105,107","483,445",0,0,0,"19,150","18,960",190,.,"1,588,742",.,"1,565,642",.,.,"23,100","1,588,742",.,.,"112,245.4","3,833.8","26,468.8","13,087.8","155,635.8",O
25,2021,55722,AEP Energy,IL,Retail Power Marketer,RFC,"4,814.8","4,258.5",.,"25,274,975",0,0,0,.,.,0,.,"25,274,975","25,274,975",.,.,.,.,"25,274,975","1,428,759.7",.,.,.,.,.,"1,428,759.7",O
26,2021,56379,"MC Squared Energy Services, LLC",IL,Retail Power Marketer,,.,.,.,"1,899,614",0,0,0,.,.,0,.,"1,899,614","1,804,149",.,.,.,"95,465","1,899,614","126,388.0",.,.,.,.,.,"126,388.0",O
27,2021,57459,"Wolverine Alternative Investments, LLC",IL,Retail Power Marketer,,12.3,9.2,.,"39,691",0,0,0,.,.,0,.,"39,691","39,691",.,.,.,.,"39,691","2,154.8",.,.,.,.,.,"2,154.8",O
28,2021,59054,"Eligo Energy, LLC",IL,Retail Power Marketer,,.,.,0,"1,759,551",0,0,0,.,.,0,.,"1,759,551","1,759,551",.,.,.,0,"1,759,551","149,188.9",0.0,0.0,0.0,0.0,0.0,"149,188.9",O
29,2021,59088,"Nordic Energy Services, LLC",IL,Retail Power Marketer,,187.9,114.8,.,"603,531",0,0,0,.,.,0,.,"603,531","603,531",.,.,.,.,"603,531","51,540.0",.,.,.,.,.,"51,540.0",O
30,2021,59848,"ResCom Energy, LLC",IL,Retail Power Marketer,,2.3,1.8,.,"5,954",0,0,0,.,.,0,.,"5,954","5,187",.,.,.,767,"5,954",451.0,.,.,.,.,.,451.0,O
31,2021,64326,"Phoenix Energy Group, LLC",IL,Retail Power Marketer,,.,.,.,"9,285",0,0,0,.,.,0,.,"9,285","9,285",.,.,.,.,"9,285","1,145.2",.,.,.,.,.,"1,145.2",O
