Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
February,02/15/2023,14:25:00,02/15/2023,14:30:00,Florida: Clay County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/18/2023,00:00:00,02/18/2023,00:05:00,Oklahoma: Kay County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/19/2023,08:18:00,02/19/2023,12:15:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
February,02/21/2023,09:45:00,Unknown,Unknown,Texas: Cameron County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0
February,02/21/2023,05:27:00,02/21/2023,06:41:00,Florida: Hillsborough County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
February,02/21/2023,13:14:00,02/21/2023,14:36:00,Florida: Orange County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,Unknown,2547
February,02/22/2023,18:41:00,02/25/2023,16:12:00,"Michigan: Van Buren County, Kalamazoo County, St. Joseph County, Calhoun County, Branch County, Hillsdale County, Jackson County, Washtenaw County, Monroe County, Lenawee County, Ingham County, Barry County, Allegan County, Ottawa County, Eaton County, Ingham County, Shiawassee County, Clinton County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,261043
February,02/22/2023,18:30:00,Unknown,Unknown,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,6200,623358
February,02/22/2023,16:00:00,02/22/2023,16:01:00,South Dakota:,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/23/2023,04:30:00,02/23/2023,13:00:00,"Wisconsin: Kenosha County, Racine County, Milwaukee County, Walworth County, Jefferson County, Waukesha County; Michigan:",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,143,57000
February,02/23/2023,08:50:00,02/23/2023,12:38:00,Colorado: Larimer County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,System Operations,0,0
February,02/24/2023,12:29:00,02/24/2023,12:45:00,Florida: Pasco County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
February,02/25/2023,00:08:00,02/26/2023,18:08:00,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,153555
February,02/26/2023,14:08:00,02/26/2023,15:13:00,North Carolina:,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,Unknown,Unknown
February,02/27/2023,13:25:00,02/27/2023,23:59:00,"Michigan: Newaygo County, Oceana County, Ionia County, Montcalm County, Jackson County, Van Buren County, Washtenaw County, Hillsdale County, Lenawee County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,76000
February,02/28/2023,08:00:00,02/28/2023,08:30:00,Wisconsin: Outagamie County;,MRO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,14,0
March,03/01/2023,00:00:00,03/01/2023,00:41:00,Indiana: Hamilton County;,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/02/2023,19:00:00,03/04/2023,23:00:00,"Texas: Montague County, Cooke County, Grayson County, Fannin County, Lamar County, Young County, Jack County, Wise County, Denton County, Collin County, Hunt County, Delta County, Hopkins County, Stephens County, Palo Pinto County, Parker County, Tarrant County, Dallas County, Rockwall County, Kaufman County, Van Zandt County, Rains County, Eastland County, Erath County, Hood County, Somervell County, Johnson County, Ellis County, Henderson County, Comanche County, Mills County, Hamilton County, Bosque County, Hill County, Navarro County, Freestone County, Anderson County, Lampasas County, Coryell County, Bell County, McLennan County, Falls County, Limestone County, Leon County, Milam County, Robertson County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,470000
March,03/03/2023,13:45:00,03/03/2023,13:50:00,Illinois: Cook County;,SERC/RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/03/2023,09:45:00,03/03/2023,09:50:00,Mississippi:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,38,12014
March,03/03/2023,08:00:00,03/03/2023,08:01:00,Texas: Tarrant County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
March,03/03/2023,15:40:00,Unknown,Unknown,"Kentucky: Oldham County, Jefferson County, Fayette County, Franklin County, Hardin County, Hart County, Hopkins County, Jessamine County, Muhlenberg County, Nelson County, Scott County, Shelby County, Spencer County, Washington County, Woodford County, Bullitt County, Meade County, Lyon County, LaRue County, Henry County, Grayson County, Boyle County, Christian County, Anderson County; Virginia: Wise County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,346000
March,03/03/2023,19:28:00,03/03/2023,20:54:00,Ohio: Kentucky:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57186
March,03/03/2023,14:00:00,03/04/2023,04:00:00,Tennessee: Davidson County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,115000
March,03/03/2023,17:50:00,03/05/2023,12:01:00,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,200000
March,03/03/2023,12:45:00,03/03/2023,22:42:00,Alabama: Georgia: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,346,48384
March,03/03/2023,15:40:00,Unknown,Unknown,"Kentucky: Oldham County, Jefferson County, Fayette County, Franklin County, Hardin County, Hart County, Hopkins County, Jessamine County, Muhlenberg County, Nelson County, Scott County, Shelby County, Spencer County, Washington County, Woodford County, Bullitt County, Meade County, Lyon County, LaRue County, Henry County, Grayson County, Boyle County, Christian County, Anderson County; Virginia: Williamsburg, City of[23], Wise County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,Unknown
March,03/04/2023,07:05:00,03/04/2023,07:06:00,Louisiana:,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Transmission Interruption,965,33
March,03/04/2023,07:05:00,03/04/2023,07:06:00,Louisiana:,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Transmission Interruption,800,Unknown
March,03/05/2023,20:03:00,03/06/2023,15:38:00,Georgia: Fulton County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/05/2023,11:53:00,03/06/2023,07:51:00,"West Virginia: Randolph County, Barbour County;",RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/06/2023,16:18:00,03/06/2023,17:30:00,Virginia: Orange County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,1,0
March,03/07/2023,11:00:00,03/07/2023,15:45:00,Texas: Lubbock County; New Mexico:,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
March,03/07/2023,10:26:00,03/07/2023,14:42:00,Texas: Lubbock County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
March,03/08/2023,00:02:00,Unknown,Unknown,Texas: Bee County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/08/2023,01:00:00,03/08/2023,02:00:00,Indiana: Hendricks County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/09/2023,18:00:00,03/10/2023,18:00:00,"Wisconsin: Walworth County, Waukesha County, Milwaukee County, Racine County, Ozaukee County, Kenosha County;",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,250,100000
March,03/10/2023,04:48:00,03/10/2023,13:07:00,"Texas: Webb County, Hidalgo County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
March,03/10/2023,08:00:00,03/10/2023,08:56:00,Idaho: Ada County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/14/2023,08:00:00,03/16/2023,08:20:00,Connecticut: Massachusetts: Vermont: Rhode Island: New Hampshire: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,83000
March,03/14/2023,09:25:00,03/15/2023,15:00:00,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,Unknown
March,03/16/2023,10:34:00,03/16/2023,14:26:00,Texas: Lubbock County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/22/2023,05:45:00,03/22/2023,05:46:00,Pennsylvania: Greene County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,621,0
March,03/23/2023,17:19:00,03/23/2023,18:06:00,Washington: King County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Cyber Event,0,0
March,03/23/2023,11:37:00,03/23/2023,11:38:00,Texas: Tarrant County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/23/2023,00:39:00,03/23/2023,00:40:00,Nevada: Clark County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,24,11479
March,03/25/2023,16:13:00,03/27/2023,18:30:00,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,5800,67893
March,03/25/2023,16:12:00,Unknown,Unknown,Ohio: West Virginia: Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,160801
March,03/26/2023,12:52:00,03/26/2023,13:54:00,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC ,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,34,Unknown
March,2023-03-28 00:00:00,18:03:00,03/28/2023,20:08:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
March,03/28/2023,05:22:00,03/28/2023,06:57:00,Texas: Montgomery County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
March,03/28/2023,10:05:00,Unknown,Unknown,Texas: Hartley County;,TRE,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
March,03/29/2023,05:26:00,03/29/2023,07:23:00,Nebraska: Kearney County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
March,03/29/2023,17:37:00,03/29/2023,19:15:00,Wisconsin: Michigan:,MRO / RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
March,03/30/2023,09:13:00,03/30/2023,09:15:00,Washington: Kitsap County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/30/2023,18:28:00,03/30/2023,22:13:00,Colorado: Larimer County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,18,Unknown
March,03/30/2023,09:40:00,03/30/2023,10:00:00,Kentucky:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
March,03/30/2023,19:21:00,Unknown,Unknown,Colorado: Larimer County;,WECC,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,Unknown,Unknown
March,03/30/2023,05:00:00,03/30/2023,14:20:00,Pennsylvania: Indiana County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,1711,0
March,03/31/2023,18:00:00,03/31/2023,20:45:00,Arkansas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,58368
March,03/31/2023,23:00:00,04/01/2023,16:15:00,"Minnesota: Ramsey County, Hennepin County, Dakota County, Washington County;",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,80000
March,03/31/2023,20:49:00,Unknown,Unknown,Illinois:,SERC / RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,65000
April,04/01/2023,14:00:00,04/03/2023,10:47:00,Ohio: West Virginia: Virginia:,RF/SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,118000
April,04/03/2023,12:06:00,04/03/2023,12:54:00,Alabama: Walker County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Actual Physical Attack/Vandalism,0,0
April,04/03/2023,18:50:00,04/03/2023,19:26:00,Colorado: Wyoming: Nebraska: Arizona: New Mexico: Utah: California:,WECC/MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Transmission Interruption,Unknown,0
April,04/08/2023,04:30:00,04/08/2023,05:05:00,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
April,04/11/2023,08:11:00,Unknown,Unknown,Ohio: Kentucky:,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
April,04/14/2023,05:30:00,Unknown,Unknown,Florida: Orange County;,SERC, Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0
April,04/15/2023,16:30:00,04/15/2023,17:18:00,Texas: Kentucky: New Mexico: Washington: Oregon: Arizona: California: Nebraska: Pennsylvania: Ohio:,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
April,04/16/2023,07:17:00,04/16/2023,14:00:00,Texas: Louisiana: Arkansas: Mississippi:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,Unknown,3900
April,04/17/2023,05:30:00,04/17/2023,14:00:00,Florida: Alachua County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
April,04/17/2023,12:17:00,04/17/2023,17:12:00,South Carolina: Aiken County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,39,8
April,04/18/2023,08:00:00,04/18/2023,08:01:00,Texas: Travis County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0
April,04/18/2023,03:41:00,04/18/2023,04:00:00,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
April,04/18/2023,10:36:00,04/19/2023,11:08:00,South Dakota: Stanley County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,4,1
April,04/19/2023,15:15:00,04/19/2023,15:59:00,Washington: Snohomish County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
April,04/19/2023,23:13:00,04/20/2023,17:24:00,Texas: Calhoun County;,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,Unknown,Unknown
April,04/21/2023,06:02:00,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,System Operations,0,0
April,04/23/2023,09:22:00,04/24/2023,17:49:00,Washington: Mason County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,System Operations,25,Unknown
April,04/25/2023,10:33:00,04/25/2023,15:43:00,Arizona: Maricopa County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,System Operations,0,0
