,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Alert Criteria
22,August,08/10/2020,14:30:00,Unknown,Unknown,"Illinois: Cook County, Will County, DuPage County, Lake County, Kane County, Grundy County, LaSalle County, DeKalb County, McHenry County, Lee County;",SERC,Severe Weather,Unknown,856000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
23,August,08/10/2020,10:00:00,Unknown,Unknown,"Iowa: Dallas County, Polk County, Warren County, Madison County, Johnson County, Scott County; Illinois: Rock Island County, Henry County, Mercer County;",MRO,Severe Weather,950,300000,"Loss of electric service to more than 50,000 customers for 1 hour or more."
24,October,10/20/2020,18:48:00,10/20/2020,18:49:00,Illinois: Massac County;,SERC,Transmission Interruption,0,0,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
25,December,12/14/2020,01:30:00,Unknown,Unknown,New Jersey: Pennsylvania: Maryland: Illinois: Delaware: District of Columbia:,RF,Cyber Event,0,0,Cyber event that could potentially impact electric power system adequacy or reliability.
26,February,02/11/2021,08:30:00,02/22/2021,09:00:00,Illinois: Scott County;,SERC,Fuel Supply Deficiency,Unknown,Unknown,Fuel supply emergencies that could impact electric power system adequacy or reliability.
27,February,02/16/2021,05:30:00,02/16/2021,14:00:00,Louisiana: Texas: Illinois:,SERC,Severe Weather,1420,Unknown,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
28,February,02/16/2021,07:00:00,Unknown,Unknown,New Jersey: Pennsylvania: Texas: California: Illinois: Colorado:,RF,Cyber Event,Unknown,0,Cyber event that could potentially impact electric power system adequacy or reliability.
29,July,07/18/2021,04:00:00,07/18/2021,09:46:00,Illinois: Cook County;,RF,Transmission Interruption,0,0,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
30,August,08/10/2021,20:30:00,08/11/2021,19:00:00,Illinois:,RF/SERC,Severe Weather,Unknown,318761,"Loss of electric service to more than 50,000 customers for 1 hour or more"
31,August,08/12/2021,18:57:00,08/13/2021,06:00:00,Illinois: Missouri:,RF/SERC,Severe Weather,Unknown,101000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
32,October,10/12/2021,20:08:00,10/12/2021,20:09:00,Illinois: Cook County;,RF,Suspicious Activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
33,March,03/05/2022,22:58:00,03/06/2022,19:38:00,Illinois: DuPage County;,SERC/RF,System Operations,0,0,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
34,April,04/16/2022,11:08:00,Unknown,Unknown,Iowa: Polk County; Illinois:,SERC/MRO,System Operations,0,0,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
35,April,04/23/2022,19:42:00,04/24/2022,16:17:00,"Iowa: Polk County, Warren County; Illinois:",SERC/MRO,Severe Weather,43,22400,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
36,June,06/17/2022,06:02:00,Unknown,Unknown,Illinois: Missouri:,SERC/RF,Severe Weather,Unknown,80000,Cyber event that could potentially impact electric power system adequacy or reliability
37,July,07/05/2022,20:46:00,07/05/2022,21:40:00,Iowa: Illinois:,RF/SERC,System Operations,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
38,November,11/23/2022,09:30:00,Unknown,Unknown,Maryland: Delaware: New Jersey: Pennsylvania: Illinois: District of Columbia:,RF,Cyber Event,Unknown,Unknown,Cyber event that could potentially impact electric power system adequacy or reliability
39,December,12/07/2022,13:35:00,12/07/2022,13:40:00,Illinois: Cook County;,SERC/RF,Suspicious Activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
40,January,01/28/2023,04:00:00,01/28/2023,05:00:00,Illinois: Franklin County;,SERC/RF,Suspicious Activity,0,0,Damage or destruction of its Facility that results from actual or suspected intentional human action.
41,February,02/07/2023,06:15:00,02/07/2023,06:20:00,Illinois: DuPage County;,SERC,Suspicious Activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
42,March,03/03/2023,13:45:00,03/03/2023,13:50:00,Illinois: Cook County;,SERC/RF,Suspicious Activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
43,March,03/31/2023,20:49:00,Unknown,Unknown,Illinois:,SERC / RF,Severe Weather,Unknown,65000,"Loss of electric service to more than 50,000 customers for 1 hour or more"
44,July,2023-07-01 00:00:00,14:58:00,2023-07-01 00:00:00,17:07:00,Illinois:,SERC/RF,- Other,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
45,July,2023-07-28 00:00:00,21:00:00,2023-07-30 00:00:00,10:00:00,"Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;",MRO/RF,- Weather or natural disaster,Unknown,122921,"Loss of electric service to more than 50,000 customers for 1 hour or more."
46,August,,14:58:00,2023-07-01 00:00:00,17:07:00,Illinois:,SERC/RF,- Other,0,0,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
47,August,,21:00:00,2023-07-30 00:00:00,10:00:00,"Illinois: Winnebago County, Cook County, Will County, DeKalb County, Kendall County;",MRO/RF,- Weather or natural disaster,Unknown,122921,"Loss of electric service to more than 50,000 customers for 1 hour or more."
48,September,09/15/2023,16:30:00,09/15/2023,17:00:00,Illinois: Grundy County;,SERC,- Suspicious activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
49,October,10/26/2023,10:05:00,10/26/2023,10:20:00,Illinois: Cook County;,RE,- Suspicious activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
50,October,10/26/2023,10:05:00,10/26/2023,10:20:00,Illinois: Cook County;,WECC,- Suspicious activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
51,November,11/19/2023,14:00:00,11/19/2023,14:10:00,Illinois: Grundy County;,SERC,- Suspicious activity,0,0,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
