,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Alert Criteria
45,February,2014-02-05,00:00:00,2014-02-09,18:00:00,"Maryland, West Virginia",RFC,Severe Weather - Snow/Ice,Unknown,101580,
46,February,2014-02-05,01:00:00,2014-02-09,20:40:00,Pennsylvania,RFC,Severe Weather - Snow/Ice,Unknown,144000,
47,February,2014-02-05,05:00:00,2014-02-05,05:01:00,Pennsylvania,RFC,Severe Weather - Snow/Ice,Unknown,715000,
48,February,2014-02-05,07:00:00,2014-02-23,07:00:00,New York,NPCC,Fuel Supply Emergency - Coal,300,Unknown,
49,February,2014-02-05,07:35:00,2014-02-07,04:03:00,"Lancaster Region, Pennsylvania",RFC,Severe Weather - Snow/Ice,Unknown,62159,
50,February,2014-02-05,08:05:00,2014-02-05,08:06:00,"Baltimore, Maryland",RFC,Severe Weather - Ice,800,181000,
51,February,2014-02-06,13:00:00,2014-02-06,22:00:00,California,WECC,Fuel Supply Emergency - Natural Gas,4000,Unknown,
52,February,2014-02-06,13:05:00,2014-02-06,19:15:00,Northern California,WECC,Fuel Supply Emergency - Natural Gas,160,Unknown,
53,February,2014-02-06,13:58:00,2014-02-06,20:40:00,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,
54,February,2014-02-06,14:15:00,2014-02-06,19:39:00,California,WECC,Fuel Supply Emergency - Natural Gas,611,Unknown,
55,February,2014-02-06,15:35:00,2014-02-07,11:30:00,ERCOT Region Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,
56,February,2014-02-07,07:00:00,2014-03-21,08:00:00,Niagara County New York,NPCC,Fuel Supply Emergency - Coal,675,Unknown,
57,February,2014-02-07,16:30:00,2014-02-08,09:00:00,ERCOT Region Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,
58,February,2014-02-07,16:50:00,2014-02-07,20:30:00,Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,Unknown,
59,February,2014-02-12,07:48:00,2014-02-15,04:30:00,Northern/Northeastern Georgia,SERC,Severe Weather - Snow/Ice,1246,373835,
60,February,2014-02-12,11:03:00,2014-02-15,08:40:00,South Carolina,SERC,Severe Weather - Snow/Ice,700,120124,
61,February,2014-02-12,12:10:00,2014-02-15,15:20:00,North Carolina,SERC,Severe Weather - Snow/Ice,Unknown,200000,
62,February,2014-02-12,14:15:00,2014-02-12,14:16:00,Vermont,NPCC,Physical Attack - Vandalism,Unknown,Unknown,
63,February,2014-02-14,13:00:00,2014-02-14,15:00:00,"Portland, Oregon",WECC,Physical Attack - Vandalism,Unknown,Unknown,
64,February,2014-02-18,18:43:00,2014-02-18,18:44:00,"Bend, Oregon",WECC,Physical Attack - Vandalism,,,
65,February,2014-02-20,16:40:00,2014-02-21,23:59:00,"Missouri, Illinois",SERC,Severe Weather - Snow/Ice,Unknown,66000,
66,February,2014-02-21,02:53:00,2014-02-21,21:00:00,Northern/Northeastern Georgia,SERC,Severe Weather - Thunderstorms/High Winds,221,66445,
67,March,2014-03-02,19:00:00,2014-03-04,09:00:00,ERCOT Region Texas,TRE,Public Appeal due to Severe Weather - Cold,,,
68,March,2014-03-03,17:25:00,2014-03-03,17:25:00,New York,NPCC,Suspected Physical Attack,Unknown,Unknown,
69,March,2014-03-03,06:40:00,2014-03-03,15:28:00,Tennessee,SERC,Severe Weather - Winter Storm,Unknown,65904,
70,March,2014-03-03,01:48:00,2014-03-03,01:49:00,"Mid-Columbia River Generation, Washington",WECC,Fuel Supply Emergency - Hydro,630,Unknown,
71,March,2014-03-04,09:06:00,2014-03-17,09:06:00,"Weston, Wisconsin",MRO,Fuel Supply Emergency - Coal,Unknown,Unknown,
72,March,2014-03-05,17:06:00,2014-03-05,17:07:00,"Salt Lake City, Utah",WECC,Physical Attack,Unknown,Unknown,
73,March,2014-03-07,03:30:00,2014-03-07,21:00:00,"Triad, North Carolina",SERC,Severe Weather - Winter Storm,1500,370900,
74,March,2014-03-11,00:00:00,2014-03-13,00:00:00,"Boone County, Iowa",MRO,Suspected Physical Attack,Unknown,Unknown,
75,March,2014-03-12,19:35:00,2014-03-13,12:00:00,North Carolina,SERC,Severe Weather - High Winds,250,61377,
76,March,2014-03-14,12:34:00,2014-03-14,16:45:00,"Boone County, Iowa",MRO,Physical Attack - Vandalism,Unknown,Unknown,
77,March,2014-03-17,17:25:00,2014-03-18,00:56:00,"Glendale, Arizona",WECC,Physical Attack - Sabatoge,,,
78,March,2014-03-20,00:00:00,2014-03-20,00:01:00,New York,NPCC,Suspected Cyber Attack,Unknown,Unknown,
79,March,2014-03-24,11:07:00,2014-03-24,11:08:00,"Salt Lake City, Utah",WECC,Physical Attack - Vandalism,,,
80,March,2014-03-26,16:00:00,2014-04-10,12:00:00,Iowa,MRO,Physical Attack,,,
81,March,2014-03-26,13:37:00,2014-03-26,14:33:00,Montana,WECC,Electrical System Separation (Islanding),Unknown,Unknown,
82,March,2014-03-31,15:41:00,2014-03-31,20:08:00,Puerto Rico,,System Wide Voltage Reduction,Unknown,Unknown,
83,April,2014-04-03,00:00:00,Unknown,Unknown,Texas,TRE,Fuel Supply Emergency - Coal,Unknown,Unknown,
84,April,2014-04-03,14:45:00,2014-04-09,11:53:00,Wisconsin,MRO,Fuel Supply Emergency - Coal,Unknown,Unknown,
85,April,2014-04-04,03:30:00,2014-04-04,08:15:00,Central Arkansas,SERC,Severe Weather - Wind,Unknown,57200,
86,April,2014-04-08,13:00:00,2014-04-08,13:01:00,"Davis, California",WECC,Physical Attack - Vandalism,Unknown,Unknown,
87,April,2014-04-08,11:09:00,2014-04-08,11:20:00,Puerto Rico,,Voltage Reduction,Unknown,Unknown,
88,April,2014-04-12,18:15:00,2014-04-14,09:00:00,Western and Central Michigan,RFC,Severe Weather - Thunderstorms,Unknown,50000,
89,April,2014-04-12,20:00:00,2014-04-15,19:30:00,Michigan,RFC,Severe Weather,Unknown,164000,
90,April,2014-04-23,19:45:00,2014-04-23,20:37:00,"Baton Rouge, Louisiana",SERC,Load shedding of 100 Megawatts,163,28000,
91,April,2014-04-24,15:02:00,2014-04-24,17:13:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown,
92,April,2014-04-25,07:00:00,2014-04-25,07:30:00,Delaware,RFC,Physical Attack - Vandalism,Unknown,Unknown,
93,April,2014-04-27,09:15:00,Unknown,Unknown,"Alberta, Canada",WECC,Electrical System Separation (Islanding),9750,4000000,
94,April,2014-04-27,12:07:00,2014-04-27,12:09:00,"Albany, Oregon",WECC,Physical Attack - Vandalism,Unknown,Unknown,
95,April,2014-04-29,23:30:00,2014-04-29,12:30:00,"Mississippi, Alabama",SERC,Severe Weather - Thunderstorms,355,106648,
96,April,2014-04-29,09:37:00,2014-05-01,09:00:00,"Northeastern Mississippi, Northern Alabama",SERC,Severe Weather - Thunderstorms,Unknown,57000,
97,April,2014-04-30,03:50:00,2014-04-30,14:00:00,"Alabama, Florida, Georgia",SERC,Severe Weather - Thunderstorms,296,89000,
98,May,2014-05-08,08:39:00,2014-05-08,08:40:00,"Imperial Valley, California",WECC,Physical Attack,Unknown,Unknown,
99,May,2014-05-08,01:00:00,2014-05-08,01:01:00,Mississippi,SERC,Physical Attack,Unknown,Unknown,
100,May,2014-05-09,18:00:00,2014-05-11,13:00:00,Indiana,RFC,Severe Weather - Heavy Winds,Unknown,56000,
101,May,2014-05-11,18:38:00,2014-05-11,18:39:00,"MISO North, Minnesota",MRO,Physical Attack - Vandalism,Unknown,Unknown,
102,May,2014-05-12,13:14:00,2014-05-12,13:15:00,"Layton, Utah",WECC,Physical Attack - Vandalism,Unknown,Unknown,
103,May,2014-05-14,15:34:00,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,Public Appeal to Reduce Electricity Usage - Wild Fires,,426,
104,May,2014-05-15,10:43:00,Unknown,Unknown,"San Diego & Orange Counties, California",WECC,Public Appeal to Reduce Electricity Usage - Wild Fires,3300,1400000,
105,May,2014-05-15,12:10:00,2014-05-15,12:13:00,"Whiting, Indiana",RFC,Suspected Physical Attack,,,
106,May,2014-05-16,10:43:00,2014-05-16,21:00:00,"San Diego & Orange Counties, California",WECC,Public Appeal to Reduce Electricity Usage - Wild Fires,3900,1400000,
107,May,2014-05-20,07:01:00,2014-05-20,07:02:00,"Duchesne County, Utah",WECC,Physical Attack - Vandalism,,,
108,May,2014-05-23,15:00:00,2014-05-25,19:00:00,North Carolina,SERC,Physical Attack - Vandalism,Unknown,Unknown,
109,May,2014-05-26,12:31:00,2014-05-26,13:18:00,"British Columbia & Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown,
110,May,2014-05-27,11:00:00,2014-05-27,16:53:00,"Phoenix, Arizona",WECC,Physical Attack - Vandalism,,,
111,June,2014-06-03,01:38:00,2014-06-03,01:43:00,Texas,ERCOT,Physical Attack - Vandalism,Unknown,Unknown,
112,June,2014-06-03,15:32:00,2014-06-03,15:59:00,"Alberta, Canada",WECC,Electrical System Islanding,338,,
113,June,2014-06-05,03:00:00,2014-06-07,23:45:00,"Shelby County, Tennessee",SERC,Severe Weather - Thunderstorms,494,38500,
114,June,2014-06-06,13:00:00,Unknown,Unknown,Texas,ERCOT,Fuel Supply Emergency - Coal,Unknown,Unknown,
115,June,2014-06-05,13:06:00,2014-06-05,13:07:00,West Tennessee,SERC,Severe Weather - Thunderstorms,Unknown,56475,
116,June,2014-06-07,23:00:00,2014-06-08,05:30:00,"North and Central , Alabama",SERC,Severe Weather - Thunderstorms,217,65000,
117,June,2014-06-09,11:07:00,2014-06-09,11:30:00,"Alberta, Canada",WECC,Electrical System Islanding,Unknown,Unknown,
118,June,2014-06-11,09:30:00,2014-06-11,09:31:00,"Nogales, Arizona",WECC,Suspected Physical Attack,,,
119,June,2014-06-10,21:50:00,2014-06-11,14:30:00,West Virginia,RFC,Severe Weather - Thunderstorms,Unknown,66383,
120,June,2014-06-11,16:00:00,2014-06-11,16:30:00,Southern Mississippi,SERC,Physical Attack - Vandalism,,,
121,June,2014-06-12,09:10:00,2014-06-12,09:11:00,"Somervell County, Texas",ERCOT,Suspected Physical Attack,Unknown,Unknown,
122,June,2014-06-15,00:00:00,2014-06-15,01:00:00,Central Minnesota,MRO,Severe Weather - Thunderstorms,Unknown,55951,
123,June,2014-06-18,09:52:00,2014-06-18,19:00:00,Washington,WECC,Physical Attack - Vandalism,Unknown,Unknown,
124,June,2014-06-18,17:00:00,2014-06-20,15:00:00,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,138802,
125,June,2014-06-19,08:47:00,2014-06-19,08:48:00,"Nashville, Tennessee",SERC,Physical Attack - Vandalism,Unknown,Unknown,
126,June,2014-06-24,14:54:00,2014-06-24,14:55:00,"Nashville, Tennessee",SERC,Physical Attack - Vandalism,Unknown,Unknown,
127,June,2014-06-27,13:21:00,Unknown,Unknown,Wisconsin,MRO,Fuel Supply Emergency - Coal,Unknown,Unknown,
128,June,2014-06-30,17:55:00,2014-07-01,02:53:00,Southeast  Wisconsin,MRO,Severe Weather - Thunderstorms,424,120000,
129,June,2014-06-30,20:00:00,2014-07-02,18:30:00,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,420000,
130,June,2014-06-30,23:20:00,2014-07-01,17:00:00,North Central Indiana,RFC,Severe Weather - Thunderstorms,Unknown,127000,
131,July,2014-07-01,05:00:00,2014-07-02,02:00:00,"Indiana, Michigan",RFC,Severe Weather - Thunderstorms,Unknown,57237,
132,July,2014-07-02,08:39:00,2014-07-28,15:13:00,Wisconsin,MRO,Fuel Supply Emergency - Coal,Unknown,Unknown,
133,July,2014-07-01,03:30:00,Unknown,Unknown,Southwest Michigan,RFC,Severe Weather - Thunderstorms,Unknown,51000,
134,July,2014-07-01,04:00:00,2014-07-03,23:30:00,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,140000,
135,July,2014-07-03,18:00:00,2014-07-06,12:00:00,Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,298165,
136,July,2014-07-03,22:55:00,2014-07-04,01:50:00,"Vermont, New Hampshire, Maine, Rhode Island, Massachusetts, Connecticut",NPCC,Severe Weather - Thunderstorms,Unknown,64000,
137,July,2014-07-08,20:30:00,2014-07-11,23:00:00,Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,260000,
138,July,2014-07-08,21:31:00,Unknown,Unknown,Maryland,RFC,Severe Weather - Thunderstorms,Unknown,56600,
139,July,2014-07-08,18:00:00,2014-07-11,17:53:00,Eastern Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,69000,
140,July,2014-07-08,17:30:00,2014-07-12,23:20:00,"Maryland, West Virginia",RFC,Severe Weather - Thunderstorms,Unknown,96000,
141,July,2014-07-08,17:30:00,2014-07-12,23:30:00,West Virginia,RFC,Severe Weather - Thunderstorms,Unknown,71000,
142,July,2014-07-08,19:21:00,2014-07-11,07:00:00,Upstate New York,NPCC,Severe Weather - Thunderstorms,Unknown,65000,
143,July,2014-07-08,17:30:00,2014-07-10,15:00:00,Central and Northeastern Pennsylvania,RFC,Severe Weather - Thunderstorms,Unknown,66000,
144,July,2014-07-14,16:00:00,2014-07-14,16:15:00,Washington,WECC,Suspected Physical Attack,Unknown,Unknown,
145,July,2014-07-23,19:14:00,2014-07-24,00:23:00,"Arkansas, Louisiana",SERC,Severe Weather - Thunderstorms,Unknown,57299,
146,July,2014-07-24,16:29:00,2014-07-24,23:32:00,California,WECC,Load shedding of 100 Megawatts,126,26856,
147,July,2014-07-27,17:00:00,2014-07-28,23:00:00,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,156611,
148,July,2014-07-27,23:00:00,2014-07-28,04:00:00,Central California,WECC,Uncontrolled Loss of 300 Megawatts,480,1,
149,August,2014-08-01,15:03:00,2014-08-01,15:04:00,Utah,WECC,Physical Attack,Unknown,Unknown,
150,August,2014-08-13,06:08:00,2014-08-13,06:34:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),370,Unknown,
151,August,2014-08-20,01:21:00,2014-08-20,01:41:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown,
152,August,2014-08-23,16:39:00,2014-08-24,01:46:00,"City of Highland, Illinois",RFC,Operational Failure of Electrical System,31,6549,
153,August,2014-08-24,03:20:00,2014-08-25,07:05:00,"North of San Francisco, California",WECC,Earthquake,95,70000,
154,August,2014-08-26,15:30:00,Unknown,Unknown,Southeast Michigan,RFC,Severe Weather - Thunderstorms,Unknown,Unknown,
155,August,2014-08-27,12:49:00,2014-08-27,13:30:00,Delaware,RFC,Suspected Physical Attack,Unknown,Unknown,
156,August,2014-08-30,15:30:00,2014-09-01,14:30:00,"Luzerne County, Pennsylvania",RFC,Suspected Physical Attack,Unknown,Unknown,
157,September,2014-09-05,20:00:00,Unknown,Unknown,Michigan,RFC,Severe Weather - Thunderstorms,Unknown,324000,
158,September,2014-09-05,16:30:00,2014-09-06,14:00:00,Illinois,RFC,Severe Weather - Thunderstorms,Unknown,180400,
159,September,2014-09-05,19:14:00,2014-09-06,13:00:00,Lower Peninsula of Michigan,RFC,Severe Weather - Thunderstorms,50,60000,
160,September,2014-09-09,08:18:00,2014-09-09,23:59:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown,
161,September,2014-09-11,04:56:00,2014-09-11,05:37:00,"Alberta, Canada",WECC,Electrical System Separation (Islanding),Unknown,Unknown,
162,September,2014-09-14,21:50:00,2014-09-17,15:08:00,Oregon,WECC,Electrical System Separation (Islanding),1,123,
163,September,2014-09-16,11:56:00,2014-09-16,11:57:00,California,WECC,Physical Attack - Vandalism,Unknown,Unknown,
164,September,2014-09-17,13:30:00,2014-09-17,14:00:00,Michigan,RFC,Suspected Physical Attack - Suspcious Activity,Unknown,Unknown,
165,September,2014-09-19,14:20:00,2014-09-23,13:10:00,"Estacada, Oregon",WECC,Electrical System Separation (Islanding),1,123,
166,September,2014-09-22,11:00:00,2014-09-22,11:01:00,Northeast Minnesota,MRO,Fuel Supply Emergency - Coal,1000,140000,
167,September,2014-09-23,01:13:00,2014-09-23,03:00:00,New York,NPCC,Physical Attack - Suspcious Activity,,,
168,September,2014-09-21,13:30:00,Unknown,Unknown,New York,NPCC,Physical Attack - Suspcious Activity,Unknown,Unknown,
169,September,2014-09-24,11:30:00,2014-09-24,15:43:00,Washington,WECC,Physical Attack - Vandalism,Unknown,Unknown,
170,October,2014-10-02,15:00:00,2014-10-02,15:01:00,"Cave Junction, Oregon",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
171,October,2014-10-02,22:15:00,Unknown,Unknown,Arkansas,SERC,Severe Weather - Thunderstorms,Unknown,67300,
172,October,2014-10-02,16:00:00,2014-10-07,10:00:00,Texas,TRE,Severe Weather - Thunderstorms,Unknown,500000,
173,October,2014-10-06,10:52:00,2014-10-07,00:52:00,"Houston, Texas",TRE,Severe Weather - Thunderstorms,292,129237,
174,October,2014-10-07,12:00:00,2014-10-07,12:01:00,Maryland,RFC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
175,October,2014-10-08,16:47:00,2014-10-08,18:29:00,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,Unknown,Unknown,
176,October,2014-10-08,16:49:00,2014-10-08,18:23:00,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage; Load Shed of 100 MW,585,120000,
177,October,2014-10-09,09:27:00,Unknown,Unknown,Rio Grande Valley Texas,TRE,Public Appeal to Reduce Electricity Usage,Unknown,2800,
178,October,2014-10-13,12:45:00,2014-10-13,16:15:00,Louisiana,SERC,Severe Weather - Thunderstorms,Unknown,68600,
179,October,2014-10-14,07:33:00,2014-10-14,07:34:00,Oregon,WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
180,October,2014-10-14,18:20:00,2014-10-14,18:28:00,Puerto Rico,,Voltage Reduction,Unknown,Unknown,
181,October,2014-10-14,05:44:00,2014-10-14,17:50:00,"Alabama, Florida, Georgia",SERC,Severe Weather - Thunderstorms,191,57475,
182,October,2014-10-15,07:46:00,2014-10-15,07:47:00,Oregon,WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
183,October,2014-10-16,09:12:00,2014-10-17,15:00:00,"Garden City, Kansas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown,
184,October,2014-10-16,13:25:00,2014-10-16,17:26:00,Manitoba,MRO,Suspected Physical Attack,129,Unknown,
185,October,2014-10-20,00:00:00,Unknown,Unknown,"Howard County, Texas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown,
186,October,2014-10-21,08:25:00,2014-10-21,10:08:00,"Carmel, Indiana",MRO,Suspected Cyber Attack,Unknown,Unknown,
187,October,2014-10-22,22:46:00,2014-10-22,22:47:00,"New Hampshire, Maine, Massachusetts, Rhode Island, Connecticut, Vermont",NPCC,Severe Weather,Unknown,66650,
188,October,2014-10-24,18:16:00,2014-10-25,13:51:00,"Enfield, Connecticut ",NPCC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
189,October,2014-10-24,16:00:00,2014-10-24,17:50:00,"Howard County, Texas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown,
190,October,2014-10-25,16:00:00,2014-10-25,22:00:00,"Greater Portland and Salem, Oregon",WECC,Severe Weather - Wind,216,78000,
191,October,2014-10-25,18:00:00,Unknown,Unknown,"King County, Thurston County and Kitsap County,  Washington",WECC,Severe Weather - Wind,154,96000,
192,November,2014-11-01,01:00:00,2014-11-01,01:01:00,"Portland, Oregon",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
193,November,2014-11-02,13:46:00,Unknown,Unknown,"Massachusetts, Maine, Vermont, New Hampshire, Rhode Island, Connecticut",NPCC,Severe Weather - Winter Storm,Unknown,63719,
194,November,2014-11-11,18:00:00,2014-11-14,15:00:00,Washington,WECC,Severe Weather - Wind,132,68000,
195,November,2014-11-12,02:59:00,2014-11-12,03:00:00,Unknown,SERC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
196,November,2014-11-13,07:07:00,2014-11-13,07:08:00,"Howard County,Texas",MRO,Suspected Physical Attack - Vandalism,Unknown,Unknown,
197,November,2014-11-14,09:50:00,2014-11-14,13:18:00,"Estacada, Oregon",WECC,Electrical System Islanding,1,123,
198,November,2014-11-19,14:44:00,2014-11-19,14:45:00,"Victorville, California",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
199,November,2014-11-21,20:29:00,2014-11-23,00:16:00,"Twin Falls, Idaho",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
200,November,2014-11-21,11:26:00,2014-11-23,17:20:00,"Sand Springs - Fort Rock, Oregon",WECC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
201,November,2014-11-24,00:00:00,Unknown,Unknown,"Nebraska, Kansas, Texas, Arkansas, Louisiana, New Mexico",SPP,Fuel Supply Emergency - Coal,Unknown,Unknown,
202,November,2014-11-24,12:00:00,2014-11-27,13:00:00,Michigan,RFC,Severe Weather - Wind,Unknown,186154,
203,November,2014-11-26,17:50:00,2014-11-28,07:00:00,"New Hampshire, Massachusetts, Maine, Rhode Island, Connecticut, Vermont",NPCC,Severe Weather - Winter Storm,Unknown,79530,
204,December,2014-12-01,10:44:00,2014-12-01,10:45:00,"Fayetteville, North Carolina",SERC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
205,December,2014-12-03,12:15:00,2014-12-03,12:16:00,Maine,NPCC,Suspected Physical Attack - Vandalism,Unknown,Unknown,
