|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA_CODE|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|Water Heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2015,2600.0,City of Burt,Municipal,IA,MISO,408,3443,283, ,Y,N,N
2015,2809.0,City of Callender - (IA),Municipal,IA,MISO,266.7,1615,184, ,N,N,N
2015,3029.0,City of Carlisle- (IA),Municipal,IA,MISO,2544.5,17442,1551, ,N,N,N
2015,3111.0,Cass Electric Coop,Cooperative,IA,MISO,110.1,1168,88, ,N,N,N
2015,3137.0,Cascade Municipal Utilities,Municipal,IA,MISO,1872,17807,1116, ,N,Y,N
2015,3900.0,City of Coggon - (IA),Municipal,IA,MISO,597.1,3719,277, ,N,N,N
2015,4304.0,City of Corwith - (IA),Municipal,IA,MISO,397,2602,182, ,N,N,N
2015,4305.0,City of Coon Rapids,Municipal,IA,SWPP,1463,12946,795, ,N,N,N
2015,4375.0,City of Corning - (IA),Municipal,IA,MISO,1910.8,18073,1054, ,N,N,N
2015,4791.0,City of Danville - (IA),Municipal,IA,MISO,610.3,5586,436, ,N,N,N
2015,4919.0,City of Dayton - (IA),Municipal,IA,MISO,637.7,5007,468, ,N,Y,N
2015,5076.0,City of Denver - (IA),Municipal,IA,MISO,1228.9,12315,901, ,N,N,N
2015,5155.0,City of Dike,Municipal,IA,MISO,714,5059,484, ,N,N,N
2015,5518.0,City of Dysart - (IA),Municipal,IA,MISO,1143,8533,701, ,N,Y,N
2015,5529.0,City of Durant - (IA),Municipal,IA,MISO,1887,14333,959, ,N,Y,N
2015,5563.0,City of Earlville - (IA),Municipal,IA,MISO,430,4200,425, ,N,N,N
2015,5827.0,City of Ellsworth - (IA),Municipal,IA,MISO,523.4,5056,286, ,N,N,N
2015,6127.0,City of Fairbank - (IA),Municipal,IA,MISO,851,7281,555, ,N,Y,N
2015,6210.0,City of Farnhamville - (IA),Municipal,IA,MISO,516,4531,252, ,N,N,N
2015,6496.0,City of Fonda - (IA),Municipal,IA,MISO,464,4755,377, ,N,N,N
2015,6501.0,City of Fontanelle - (IA),Municipal,IA,MISO,701,5878,443, ,N,N,N
2015,6759.0,City of Fredericksburg - (IA),Municipal,IA,MISO,1728,18174,541, ,N,N,N
2015,7295.0,City of Glidden - (IA),Municipal,IA,MISO,832,7793,687, ,N,N,N
2015,7424.0,Gowrie Municipal Utilities,Municipal,IA,MISO,902,7157,602, ,N,N,N
2015,7442.0,Grafton Electric - (IA),Municipal,IA,MISO,213,1730,162, ,N,N,N
2015,7486.0,City of Grand Junction - (IA),Municipal,IA,MISO,609.1,5220,478, ,N,N,N
2015,7837.0,City of Guttenberg,Municipal,IA,MISO,2125,17400,1365, ,Y,N,N
2015,8214.0,City of Hartley - (IA),Municipal,IA,SWPP,1679,19132,925, ,N,N,N
2015,8847.0,City of Hopkinton - (IA),Municipal,IA,MISO,589,4464,374, ,N,N,N
2015,8966.0,Hudson Municipal Electric Utility,Municipal,IA,MISO,1570.9,12856,932, ,N,N,N
2015,10172.0,City of Marathon - (IA),Municipal,IA,MISO,327,2175,211, ,N,N,N
2015,10181.0,Keosauqua Municipal Light & Pwr,Municipal,IA,SWPP,1493.4,13339,735, ,N,Y,N
2015,10265.0,City of Kimballton - (IA),Municipal,IA,SWPP,209.7,2363,218, ,N,Y,N
2015,10542.0,La Porte City Utilities,Municipal,IA,MISO,1726,15451,1181, ,N,N,N
2015,10608.0,City of Lake Park - (IA),Municipal,IA,MISO,1384,12325,721, ,N,N,N
2015,10617.0,City of Lake View - (IA),Municipal,IA,MISO,1924.3,21030,1386, ,N,Y,N
2015,10706.0,City of Larchwood - (IA),Municipal,IA,MISO,794,8010,467, ,N,N,N
2015,10784.0,City of Lawler - (IA),Municipal,IA,MISO,306,2722,270, ,N,N,N
2015,10881.0,City of Lehigh - (IA),Municipal,IA,MISO,169,1972,261, ,N,N,N
2015,11093.0,City of Livermore- (IA),Municipal,IA,MISO,329.2,2557,224, ,N,Y,N
2015,11141.0,City of Long Grove - (IA),Municipal,IA,MISO,353,2703,226, ,N,N,N
2015,11609.0,City of Mapleton- (IA),Municipal,IA,MISO,1347,13367,777, ,N,N,N
2015,12114.0,City of McGregor- (IA),Municipal,IA,MISO,808,6930,635, ,N,Y,N
2015,13382.0,City of Neola - (IA),Municipal,IA,MISO,519.4,5018,439, ,N,N,N
2015,13468.0,New London Municipal Utilities,Municipal,IA,MISO,1735.7,13755,1197, ,N,Y,N
2015,13990.0,City of Ogden - (IA),Municipal,IA,MISO,1643,12697,1156, ,N,N,N
2015,14166.0,City of Orient - (IA),Municipal,IA,MISO,229,2588,217, ,N,N,N
2015,14433.0,City of Panora - (IA),Municipal,IA,MISO,1307.3,12674,716, ,N,N,N
2015,14473.0,City of Paton - (IA),Municipal,IA,MISO,158,2321,129, ,N,N,N
2015,14577.0,City of Paullina - (IA),Municipal,IA,MISO,1137,9851,666, ,N,N,N
2015,15180.0,City of Pocahontas - (IA),Municipal,IA,MISO,2095,20665,1158, ,N,N,N
2015,15377.0,City of Primghar - (IA),Municipal,IA,MISO,925.1,8598,565, ,N,N,N
2015,15751.0,City of Readlyn - (IA),Municipal,IA,MISO,628,5143,375, ,Y,Y,N
2015,15862.0,City of Renwick - (IA),Municipal,IA,MISO,516.9,4115,175, ,N,N,Y
2015,16211.0,City of Rockford- (IA),Municipal,IA,MISO,881.7,5894,510, ,N,N,N
2015,16528.0,City of Sabula - (IA),Municipal,IA,MISO,506,3251,440, ,N,N,N
2015,16992.0,City of Stanton - (IA),Municipal,IA,MISO,580,6864,348, ,N,Y,N
2015,17046.0,City of Shelby - (IA),Municipal,IA,SWPP,633,6209,293, ,N,N,N
2015,18014.0,City of State Center - (IA),Municipal,IA,MISO,2039.1,14718,962, ,N,Y,N
2015,18201.0,City of Stratford - (IA),Municipal,IA,MISO,603.3,4885,412, ,N,N,N
2015,18204.0,City of Strawberry Point,Municipal,IA,MISO,1099,8339,727, ,N,N,N
2015,18231.0,City of Stuart - (IA),Municipal,IA,MISO,1884,13384,884, ,N,N,N
2015,18301.0,City of Sumner - (IA),Municipal,IA,MISO,1893,16292,1194, ,N,Y,Y
2015,19062.0,City of Traer - (IA),Municipal,IA,MISO,1851,14134,1110, ,N,Y,N
2015,19843.0,City of Villisca - (IA),Municipal,IA,MISO,1157,11078,788, ,N,N,N
2015,20025.0,City of Wall Lake - (IA),Municipal,IA,MISO,876.9,9062,559, ,N,N,N
2015,20364.0,City of West Bend,Municipal,IA,MISO,1528,16534,612, ,N,N,N
2015,20379.0,Town of Westfield - (IA),Municipal,IA,SWPP,81.5,835,72, ,N,N,N
2015,20396.0,West Point Utility System,Municipal,IA,MISO,1579,14854,737, ,N,N,N
2015,20604.0,City of Whittemore - (IA),Municipal,IA,MISO,642,4564,321, ,N,N,N
2015,20846.0,City of Woolstock - (IA),Municipal,IA,MISO,202,1560,126, ,N,N,N
2015,20949.0,City of Woodbine - (IA),Municipal,IA,SWPP,1454,15392,909, ,N,Y,N
2015,27269.0,City of Stanhope - (IA),Municipal,IA,MISO,350,2386,271, ,N,N,N
2015,40390.0,City of Buffalo - (IA),Municipal,IA,MISO,541,5663,476, ,N,N,N
2015,244.0,City of Albion - (ID),Municipal,ID,BPAT,254,2652,207, ,N,N,N
2015,1956.0,City of Bonners Ferry,Municipal,ID,BPAT,4770,68605,2657, ,Y,N,N
2015,5584.0,East End Mutual Elec Co Ltd,Cooperative,ID,BPAT,1576,22675,733, ,N,N,N
2015,6155.0,"Farmers Electric Company, Ltd - (ID)",Cooperative,ID,BPAT,181,3689,117, ,N,N,N
2015,7084.0,City of Declo - (ID),Municipal,ID,BPAT,17,263,125, ,N,N,N
2015,8532.0,City of Heyburn - (ID),Municipal,ID,BPAT,2587,50233,1525, ,N,N,N
2015,9186.0,"Idaho County L&P Coop Assn, Inc",Cooperative,ID,AVA,5031.9,46706,3885, ,Y,Y,N
2015,11211.0,Lost River Electric Coop Inc,Cooperative,ID,PACE,5503,75135,2641, ,N,N,N
2015,12609.0,City of Minidoka - (ID),Municipal,ID,BPAT,15,636,45, ,N,N,N
2015,15297.0,City of Plummer - (ID),Municipal,ID,AVA,2006.5,31193,930, ,N,Y,Y
2015,17493.0,City of Soda Springs - (ID),Municipal,ID,PACE,1837.3,22393,1680, ,N,N,N
2015,17576.0,"South Side Electric, Inc",Cooperative,ID,BPAT,2702,55804,786, ,N,N,N
2015,20297.0,City of Weiser - (ID),Municipal,ID,BPAT,3075.4,49436,2726, ,N,N,N
2015,56536.0,Riverside Electric Cooperative,Cooperative,ID,IPCO,1238,19323,586, ,N,N,N
2015,229.0,City of Albany - (IL),Municipal,IL,MISO,543.9,4980,477, ,N,N,N
2015,366.0,City of Allendale- (IL),Municipal,IL,MISO,327,3034,251, ,N,N,N
2015,406.0,City of Altamont - (IL),Municipal,IL,MISO,1945,21696,1487, ,N,N,N
2015,1648.0,Village of Bethany - (IL),Municipal,IL,MISO,957,8346,692, ,N,N,N
2015,2188.0,City of Breese - (IL),Municipal,IL,MISO,5455.8,50724,2300, ,Y,N,N
2015,2634.0,City of Bushnell - (IL),Municipal,IL,MISO,3427,32649,1636, ,N,N,N
2015,2776.0,Cairo Public Utility Company,Municipal,IL,MISO,7177.4,73090,1300, ,N,N,N
2015,3037.0,City of Carlyle - (IL),Municipal,IL,MISO,4287,35293,1814, ,N,N,N
2015,3040.0,City of Carmi - (IL),Municipal,IL,MISO,6167.7,50252,3272, ,N,N,N
2015,3153.0,City of Casey - (IL),Municipal,IL,MISO,3090,27309,2006, ,N,N,N
2015,3405.0,Village of Chatham - (IL),Municipal,IL,MISO,8934,74916,5652, ,N,N,N
2015,3726.0,Clay Electric Coop Inc,Cooperative,IL,MISO,7152,51570,3237, ,N,N,N
2015,5531.0,Enerstar Power Corp,Cooperative,IL,MISO,12396,81441,5255, ,Y,N,N
2015,6141.0,City of Fairfield- (IL),Municipal,IL,MISO,8144,68027,3219, ,N,N,N
2015,6192.0,City of Farmer City - (IL),Municipal,IL,MISO,2591,24399,1201, ,N,N,N
2015,6764.0,Village of Freeburg - (IL),Municipal,IL,MISO,4819,38233,2184, ,N,N,N
2015,7095.0,City of Geneseo - (IL),Municipal,IL,MISO,6329,58817,4032, ,Y,N,N
2015,7633.0,Village of Greenup - (IL),Municipal,IL,MISO,1865,15949,935, ,N,N,N
2015,11736.0,City of Marshall - (IL),Municipal,IL,MISO,7487,62598,2699, ,N,N,N
2015,11790.0,City of Mascoutah - (IL),Municipal,IL,MISO,7411,53660,3612, ,N,N,N
2015,12070.0,McDonough Power Coop,Cooperative,IL,MISO,10223.6,71936,5161, ,Y,N,N
2015,12167.0,City of McLeansboro - (IL),Municipal,IL,MISO,3174,22477,1585, ,N,N,N
2015,12388.0,City of Metropolis - (IL),Municipal,IL,MISO,8251,78929,3902, ,N,N,N
2015,13560.0,City of Newton - (IL),Municipal,IL,MISO,2522,25817,1646, ,N,N,N
2015,13993.0,City of Oglesby - (IL),Municipal,IL,MISO,3116.1,32689,2025, ,N,N,N
2015,15772.0,City of Red Bud - (IL),Municipal,IL,MISO,5093,44961,2322, ,N,N,N
2015,16092.0,Village of Riverton - (IL),Municipal,IL,MISO,2869.1,19522,1717, ,N,N,N
2015,16198.0,City of Rock Falls - (IL),Municipal,IL,MISO,9430,71161,5373, ,N,N,N
2015,16269.0,City of Roodhouse - (IL),Municipal,IL,MISO,1417,10839,944, ,N,N,N
2015,17838.0,"Spoon River Electric Coop, Inc",Cooperative,IL,MISO,9738,66461,4921, ,N,N,N
2015,18277.0,City of Sullivan - (IL),Municipal,IL,MISO,7623,66916,3316, ,N,N,N
2015,20180.0,City of Waterloo - (IL),Municipal,IL,MISO,10470,82482,4640, ,N,N,N
2015,29296.0,Western Illinois Elec Coop,Cooperative,IL,MISO,8048,63451,3690, ,Y,N,N
2015,40367.0,Village of Ladd - (IL),Municipal,IL,MISO,1411,12003,629, ,N,N,N
2015,157.0,Town of Advance - (IN),Municipal,IN,MISO,522.2,4667,274, ,N,N,N
2015,789.0,Town of Argos,Municipal,IN,MISO,2467.8,21598,861, ,N,N,N
2015,1028.0,Town of Avilla - (IN),Municipal,IN,PJM,2923.6,29907,1049, ,N,N,N
