|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2015,733,Appalachian Power Co,WV,PJM,40534,20409,635,0,61578,0.2,0.4,0,0,0.6,449927,269404,8377,0,727708,0.2,0.4,0,0,0.6,2374,1142,35,0,3551,2569,1654,51,0,4274,2374,1142,35,0,3551,2569,1654,51,0,4274,11.1,13.2,13.2,.,
2015,803,Arizona Public Service Co,AZ,AZPS,216774,243545,0,0,460319,40.1,42.4,0,0,82.5,1810014,3254397,0,0,5064411,40.1,42.4,0,0,82.5,18630,19054,0,0,37684,15447,11212,0,0,26659,18630,19054,0,0,37684,15447,11212,0,0,26659,7.9,14.2,.,.,
2015,814,Entergy Arkansas Inc,AR,MISO,87239,71936,70093,.,229268,23.5,12.9,9.2,.,45.6,894281,853475,873507,.,2621263,23.5,12.9,9.2,.,45.6,13033,9787,12125,.,34945,7737,5185,5410,.,18332,13033,9787,12125,.,34945,7737,5185,5410,.,18332,10.251,11.864,12.462,.,"http://apscservices,info/eeannualreports.aspx"
2015,828,City of Arlington - (MN),MN,MISO,201,92,0,0,293,.,.,.,.,.,201,92,0,0,293,.,.,.,.,.,11,8,0,0,19,0,0,0,0,0,11,8,0,0,19,0,0,0,0,0,1,1,1,1,
2015,924,"Associated Electric Coop, Inc",MO,SWPP,.,7416,.,.,7416,.,2.6,.,.,2.6,.,92927,.,.,92927,.,24.6,.,.,24.6,.,3650,.,.,3650,.,.,.,.,.,.,30320,.,.,30320,.,.,.,.,.,.,18,.,.,
2015,963,Atlantic City Electric Co,NJ,PJM,824,.,.,.,824,0.1,.,.,.,0.1,6940,.,.,.,6940,0.1,.,.,.,0.1,1540,.,.,.,1540,298,.,.,.,298,1540,.,.,.,1540,298,.,.,.,298,8,.,.,.,NJ Office of Clean Energy - www.njcleanenergy.com
2015,965,Atlantic Municipal Utilities,IA,MISO,80,54,.,.,134,0.1,0,.,.,0.1,1119,562,.,.,1681,0.1,0,.,.,0.1,13,4,.,.,17,7,5,.,.,12,13,4,.,.,17,7,5,.,.,12,14,10,.,.,
2015,1009,City of Austin - (MN),MN,MISO,948,5228,705,.,6881,0.2,1,0,.,1.2,9480,52581,7048,.,69109,0.2,1,0,.,1.2,111,456,34,.,601,35,103,8,.,146,111,456,34,.,601,35,103,8,.,147,10,10,10,.,http://www.energyplatforms.com/MN.aspx
2015,1015,Austin Energy,TX,ERCO,43558,74000,24667,.,142225,22.2,18.1,7.1,.,47.4,821280,936791,312263,.,2070334,22.2,18.1,7.1,.,47.4,8475,5589,1863,.,15927,2814,2356,785,.,5955,8475,5589,1863,.,15927,2814,2356,785,.,5955,18.89,12.659,12.659,0,http://austinenergy.com/wps/portal/ae/residential/save-money-and-energy/   
2015,1050,City of Azusa,CA,CISO,405,3963,.,.,4368,0,2.5,.,.,2.5,2178,35572,.,.,37750,0,2.5,.,.,2.5,242,319,.,.,561,37,124,.,.,161,1302,2865,.,.,4167,199,1114,.,.,1313,5.38,8.98,.,.,
2015,1101,Bagley Public Utilities Comm,MN,MISO,6,20,37,.,63,0,0,0,.,0,82,239,444,.,765,0,0,0.8,.,0.8,1,1,9,.,11,1,1,1,.,3,1,1,9,.,11,1,1,1,.,3,14.32,11.92,12.03,.,
2015,1167,Baltimore Gas & Electric Co,MD,PJM,92904,160276,.,.,253180,13.4,28.4,.,.,41.8,1012839,1886363,.,.,2899202,13.4,28.4,.,.,41.8,32820,46170,.,.,78990,12544,12258,.,.,24802,32820,46170,.,.,78990,12544,12258,.,.,24802,10.902,11.77,.,.,http://webapp.psc.state.md.us/Intranet/home.cfm
2015,1176,City of Bandon - (OR),OR,BPAT,76,6,0,0,82,0,0,0,0,0,2012,69,0,0,2081,0,0,0,0,0,17,1,0,0,18,8,8,0,0,16,17,1,0,0,18,8,8,0,0,16,26.31,12,0,0,
2015,1233,City of Barnesville - (MN),MN,MISO,43,82,.,.,125,.,.,.,.,.,453,988,.,.,1441,.,.,.,.,.,5,3,.,.,8,4,3,.,.,7,5,3,.,.,8,4,3,.,.,7,10.4,12,.,.,
2015,1251,Barron Electric Coop,WI,MISO,652,2614,6676,.,9942,0.1,0.3,0.4,.,0.8,9778,31589,84684,.,126051,0.1,0.3,0.4,.,0.8,136,23,62,.,221,71,1,.,.,72,136,23,62,.,221,71,1,0,.,72,14.996,12.084,12.685,.,
2015,1366,City of Bay City - (MI),MI,MISO,1830,2075,.,.,3905,0.1,0.7,.,.,0.8,21471,25454,.,.,46925,0.38,0.19,.,.,0.57,222,129,.,.,351,114,113,.,.,227,222,129,.,.,351,114,113,.,.,227,11.74,12.27,.,.,www.baycitymi.org/electricdept
2015,1367,"Bayfield Electric Coop, Inc",WI,MISO,283,947,.,.,1230,0.4,0,.,.,0.4,967,3231,.,.,4198,0.4,0,.,.,0.4,26,57,.,.,83,0,0,.,.,0,130,285,.,.,415,30,0,.,.,30,2.17,3.32,.,.,
2015,1529,"Beltrami Electric Coop, Inc",MN,MISO,1667,901,0,0,2568,0.3,0.9,0,0,1.2,18074,901,0,0,18975,0.3,0.9,0,0,1.2,194,73,0,0,267,54,1,0,0,55,194,73,0,0,267,54,1,0,0,55,12.7,1,0,0,
2015,1573,City of Benson - (MN),MN,MISO,34,26,58,.,118,0,0,0,.,0,494,298,664,.,1456,0,0,0,.,0,4,2,4,.,10,4,2,4,.,10,4,2,4,.,10,4,2,4,.,9,14.7,11.4,11.4,.,
2015,1579,PUD No 1 of Benton County,WA,BPAT,1941,4217,641,.,6799,0,0,0,.,0,23292,50604,7692,.,81588,0,0,0,.,0,664,456,299,.,1419,0,0,0,.,0,664,456,299,.,1419,0,0,0,.,0,12,12,12,.,
2015,1613,Berkeley Electric Coop Inc,SC,SC,268,.,.,.,268,.,.,.,.,.,4176,.,.,.,4176,2,.,.,.,2,27,.,.,.,27,32,.,.,.,32,27,.,.,.,27,40,.,.,.,40,15.22,.,.,.,www.bec.coop
2015,1692,Big Rivers Electric Corp,KY,MISO,3040,7155,.,.,10195,1.3,1.9,.,.,3.2,33021,69889,.,.,102910,1.3,1.9,.,.,3.2,502,614,.,.,1116,17,20,.,.,37,502,614,.,.,1116,17,20,.,.,37,10.9,9.8,.,.,
2015,1736,Blachly-Lane County Coop El Assn,OR,BPAT,313,133,1265,.,1711,.,.,.,.,.,7727,1602,15177,.,24506,.,.,.,.,.,79,33,99,.,211,.,.,.,.,.,79,33,99,.,211,.,.,.,.,.,24,12,12,.,
2015,1869,City of Bloomfield - (IA),IA,AECI,5,54,0,0,59,0,0,0,0,0,85,1082,0,0,1167,0,0,0,0,0,2,0,0,0,2,0,19,0,0,19,2,0,0,0,2,0,19,0,0,19,19,20,0,0,
2015,1883,Blue Earth Light & Water,MN,MISO,26,492,.,.,518,16,492,.,.,508,260,4920,.,.,5180,16,492,.,.,508,22,40,.,.,62,.,.,.,.,.,220,400,.,.,620,.,.,.,.,.,10,10,.,.,
2015,2008,City of Boulder City - (NV),NV,WALC,379,.,.,.,379,0.2,.,.,.,0.2,4069,.,.,.,4069,0.2,.,.,.,0.2,36,.,.,.,36,17,.,.,.,17,36,.,.,.,36,17,.,.,.,17,15,.,.,.,
2015,2089,Bozrah Light & Power Company,CT,ISNE,23,71,.,.,94,0,0,.,.,0,241,924,.,.,1165,0,0,.,.,0,22,23,.,.,45,7,7,.,.,14,22,23,.,.,45,7,7,.,.,14,10.4,13,.,.,
2015,2172,Brazos Electric Power Coop Inc,TX,ERCO,11400,2478,.,.,13878,2,1,.,.,3,111864,26099,.,.,137963,2,1,.,.,3,1435,221,.,.,1656,52,.,.,.,52,1435,221,.,.,1656,52,.,.,.,52,9.81,14.96,.,.,
2015,2182,City of Breckenridge- (MN),MN,MISO,124,228,257,.,609,.,0.1,0.1,.,0.2,1508,1752,1976,.,5236,.,0.1,0.1,.,0.2,9,28,31,.,68,8,25,28,.,61,9,28,32,.,69,8,25,28,.,61,12,7,7,.,
2015,2285,City of Brookings - (SD),SD,WACM,134,523,1568,0,2225,0,0.1,0.4,0,0.5,1615,6276,18827,0,26718,0,0.1,0.4,0,0.5,16,52,155,0,223,14,46,138,0,198,16,52,155,0,223,14,46,138,0,198,12,12,12,0,
2015,2442,City of Bryan - (TX),TX,ERCO,263,4012,.,.,4275,0.1,1,.,.,1.1,2628,40121,.,.,42749,0.05,1.1,.,.,1.15,51,323,.,.,374,43,30,.,.,73,51,323,.,.,374,43,30,.,.,73,10,10,.,.,
2015,2507,City of Burbank Water and Power,CA,LDWP,5187,8813,.,.,14000,1,2,.,.,3,24071,105712,.,.,129783,1,2,.,.,3,1191,2036,.,.,3227,265,779,.,.,1044,1191,2036,.,.,3227,265,779,.,.,1044,4.6,12,.,.,
2015,2548,City of Burlington Electric - (VT),VT,ISNE,2334,3691,0,0,6025,0.246,0.382,0,0,0.628,29930,50912,0,0,80842,0.325,0.552,0,0,0.877,545,746,0,0,1291,311,589,0,0,900,545,746,0,0,1291,311,589,0,0,900,13,14,.,.,www.burlingtonelectric.com
2015,2599,Burt County Public Power Dist,NE,SWPP,28,7,0,.,35,0,0,0,.,0,573,34,0,.,607,0,0,0,.,0,4,0,.,.,4,4,2,.,.,6,4,0,.,.,4,4,2,.,.,6,20.74,5,0,.,www.nppd.com - Energy Wise
2015,2643,Butler Public Power District - (NE),NE,SWPP,65,20,6,.,91,0,0,0,.,0,1191,200,62,.,1453,0,0,0,.,0,11,2,1,.,14,5,3,3,.,11,11,2,1,.,14,5,3,3,.,11,18.37,9.8,11,.,
2015,2655,"Butte Electric Coop, Inc",SD,SWPP,1.3,.,.,.,1.3,0.2,.,.,.,0.2,8.6,.,.,.,8.6,0.2,.,.,.,0.2,3,.,.,.,3,8,.,.,.,8,3,.,.,.,3,8,.,.,.,8,10,.,.,.,
2015,2955,Canby Utility Board,OR,PGE,690,446,96,0,1232,0,0,0,0,0,7055,5354,963,0,13372,0.1,0,0,0,0.1,101,41,24,0,166,8,8,8,0,24,101,41,24,0,166,8,8,8,0,24,8.37,12,10,0,
2015,2985,"Capital Electric Coop, Inc",ND,SWPP,1637,0,.,.,1637,0,0.3,.,.,0.3,32740,.,.,.,32740,0,0.48,.,.,0.48,.,4,.,.,4,161,4,.,.,165,3,80,.,.,83,161,4,.,.,165,20,20,.,.,
2015,3046,Duke Energy Progress - (NC),NC,CPLE,244289,156409,.,.,400698,52.2,27.6,.,.,79.8,1301803,1045554,.,.,2347357,52.2,27.6,.,.,79.8,22705,11659,.,.,34364,15337,3260,.,.,18597,22705,11659,.,.,34364,15337,3260,.,.,18597,5.33,6.68,.,.,
2015,3046,Duke Energy Progress - (NC),SC,CPLE,42604,27277,.,.,69881,9.1,4.8,.,.,13.9,227032,182343,.,.,409375,9.1,4.8,.,.,13.9,3960,2033,.,.,5993,2675,569,.,.,3244,3960,2033,.,.,5993,2675,569,.,.,3244,5.33,6.68,.,.,
2015,3107,Carteret-Craven El Member Corp,NC,CPLE,116,165,.,.,281,.,.,.,.,.,1609,2471,.,.,4080,.,.,.,.,.,7,11,.,.,18,1,1,.,.,2,7,11,.,.,18,1,1,.,.,2,13.851,15,.,.,
2015,3203,Cedar Falls Utilities,IA,MISO,1313,1021,191,.,2525,0.4,0.2,0,.,0.6,16454,14701,1114,.,32269,0.3,0.1,0,.,0.4,388,205,12,.,605,128,87,4,.,219,388,205,12,.,605,128,87,4,.,219,12.53,14.4,5.85,.,www.cfu.net/save-energy
2015,3205,Cedar-Knox Public Power Dist,NE,SWPP,139,349,401,.,889,.,.,.,.,.,2588,3271,3716,.,9575,.,.,.,.,.,16,24,28,.,68,.,.,.,.,.,16,24,28,.,68,.,.,.,.,.,18,9,10,.,
2015,3222,Central Alabama Electric Coop,AL,AEC,5,.,.,.,5,0.5,.,.,.,0.5,72,.,.,.,72,0.8,.,.,.,0.8,2,.,.,.,2,0,.,.,.,0,4,.,.,.,4,.,.,.,.,.,16,.,.,.,
2015,3245,"Central Florida Elec Coop, Inc",FL,SEC,572,.,.,.,572,0.1,.,.,.,0.1,839,.,.,.,839,0.1,.,.,.,0.1,5,.,.,.,5,2,.,.,.,2,5,.,.,.,5,2,.,.,.,2,1.467,.,.,.,
2015,3248,Central Georgia El Member Corp,GA,SOCO,89,.,.,.,89,0.1,.,.,.,0.1,1045,.,.,.,1045,0.4,.,.,.,0.4,15,.,.,.,15,14,.,.,.,14,15,.,.,.,15,14,.,.,.,14,8.46,.,.,.,
2015,3249,Central Hudson Gas & Elec Corp,NY,NYIS,14033,24283,.,.,38316,1.6,2.7,.,.,4.3,14033,24283,.,.,38316,1.6,2.7,.,.,4.3,515,8533,.,.,9048,1445,300,.,.,1745,515,8533,.,.,9048,1445,300,.,.,1745,29.86,15,.,.,http://documents.dps.ny.gov/custom/EEPS/EEPSHome.aspx 
2015,3258,Central Iowa Power Cooperative,IA,MISO,8308,6810,1037,.,16155,1.8,0.6,0.2,.,2.6,86278,103877,13664,.,203819,1.8,0.6,0.2,.,2.6,2393,519,31,.,2943,709,154,9,.,872,2393,519,31,.,2943,709,154,9,.,872,10.385,15.255,13.178,.,
2015,3264,Central Lincoln People's Ut Dt,OR,BPAT,3053,1007,2400,.,6460,.,.,.,.,.,36636,12084,28800,.,77520,.,.,.,.,.,675,220,482,.,1377,.,.,.,.,.,675,220,482,.,1377,.,.,.,.,.,12,12,12,.,
2015,3278,AEP Texas Central Company,TX,ERCO,29391,39116,0,0,68507,8.3,35.5,0,0,43.8,464777,505816,0,0,970593,8.3,35.5,0,0,43.8,6548,5306,0,0,11854,1175,479,0,0,1654,6548,5306,0,0,11854,1175,479,0,0,1654,15.8,12.9,0,0,
2015,3287,"Central Valley Elec Coop, Inc",NM,SWPP,138,41,601,0,780,.,.,.,.,.,661,241,601,0,1503,.,.,.,.,.,72,71,55,0,198,.,.,.,.,.,115,72,55,0,242,.,.,.,.,.,15,20,15,0,www.cvecoop.org/content/about
2015,3295,City of Centralia - (WA),WA,BPAT,.,495,292,.,787,.,0.1,0,.,0.1,.,6511,3800,.,10311,.,0.7,0.4,.,1.1,.,42,6,.,48,.,13,13,.,26,.,42,6,.,48,.,13,13,.,25,.,13.14,13,.,
2015,3400,City of Chaska - (MN),MN,MISO,390,1597,2915,.,4902,0.2,0.3,0.6,.,1.1,3901,15967,29147,.,49015,0.2,0.3,0.6,.,1.1,89,91,205,.,385,13,35,66,.,114,89,91,205,.,385,13,35,66,.,114,10,10,10,.,
2015,3413,PUD No 1 of Chelan County,WA,CHPD,7350,5780,1246,.,14376,2.8,1.6,0.2,.,4.6,121377,104979,18690,.,245046,2.8,1.6,0.2,.,4.6,1226,1240,201,.,2667,825,184,22,.,1031,1226,1240,201,.,2667,825,184,22,.,1031,16.514,18.164,15,.,
2015,3420,City of Cheney - (WA),WA,AVA,249,38,.,.,287,.,.,.,.,.,5500,228,.,.,5728,.,.,.,.,.,53,5,.,.,58,.,.,.,.,.,53,5,.,.,58,.,.,.,.,.,22.3,6,.,.,
2015,3436,Cherryland Electric Coop Inc,MI,MISO,1836,1659,.,.,3495,.,.,.,.,.,18360,19908,.,.,38268,.,.,.,.,.,75,129,.,.,204,31,54,.,.,85,580,810,.,.,1390,84,232,.,.,316,10,12,.,.,
2015,3461,Cheyenne Light Fuel & Power d/b/a Black Hills Energy,WY,WACM,1315,2002,.,.,3317,0.8,0.5,.,.,1.3,19725,30030,.,.,49755,0.8,0.5,.,.,1.3,45,366,.,.,411,149,111,.,.,260,45,366,.,.,411,149,111,.,.,260,15,15,.,.,https://dms.wyo.gov/Search/Docket.aspx
2015,3477,City of Chicopee - (MA),MA,ISNE,121,308,379,.,808,0,0.1,0.1,.,0.2,1206,4614,5682,.,11502,0.3,1.1,1.4,.,2.8,62,86,53,.,201,24,48,30,.,102,62,86,53,.,201,24,48,30,.,102,10,15,15,.,
2015,3498,Chippewa Valley Electric Coop,WI,MISO,329,23,0,0,352,0.1,0,0,0,0.1,5332,327,0,0,5659,1.6,0,0,0,1.6,31,2,0,0,33,53,3,1,0,57,31,2,0,0,33,53,3,1,0,57,16.205,14.222,0,0,
2015,3503,"Choptank Electric Coop, Inc",MD,PJM,24,.,.,.,24,.,.,.,.,.,305,.,.,.,305,.,.,.,.,.,9,.,.,.,9,3,.,.,.,3,9,.,.,.,9,3,.,.,.,3,3.75,.,.,.,
2015,3542,Duke Energy Ohio Inc,OH,PJM,136912,92345,.,.,229257,32.7,13.6,.,.,46.3,496954,1083340,.,.,1580294,87.5,150.2,.,.,237.7,4474,10238,.,.,14712,11461,3514,.,.,14975,4474,10238,.,.,14712,11461,3514,.,.,14975,3.63,11.73,.,.,
2015,3644,PUD No 1 of Clallam County,WA,BPAT,6483,1093,446,.,8022,.,.,.,.,.,90385,13614,6113,.,110112,.,.,.,.,.,1225,205,2,.,1432,499,76,7,.,582,1225,205,2,.,1432,499,76,7,.,583,13.9,12.5,13.7,.,www.commerce.wa.gov/programs/energy/office/eia/pages/energyindependence.aspx
2015,3660,PUD No 1 of Clark County - (WA),WA,BPAT,40750,16967,10511,.,68228,5.1,2.1,1.3,.,8.5,446213,192915,112888,.,752016,5.1,2.1,1.3,.,8.5,3957,1804,1874,.,7635,421,149,5,.,575,3957,1804,1874,.,7635,421,149,5,.,575,10.95,11.37,10.74,.,http://www.commerce.wa.gov/Programs/Energy/Pages/default.aspx
2015,3701,Clark Electric Coop - (WI),WI,MISO,1333,572,.,.,1905,0.2,0.1,.,.,0.3,20314,8847,.,.,29161,0.2,0.1,.,.,0.3,80,31,.,.,111,22,.,.,.,22,80,31,.,.,111,22,.,.,.,22,15.239,29.703,.,.,
2015,3755,Cleveland Electric Illum Co,OH,PJM,73795,78347,26979,0,179121,18.6,14.9,3.6,0,37.1,798460,1653915,400912,0,2853287,18.6,14.9,3.6,0,37.1,2699,2087,1209,0,5995,498,462,652,0,1612,2699,2087,1209,0,5995,498,462,652,0,1612,10.82,21.11,14.86,.,"The website is not available until May, 2016."
2015,3757,"Clay Electric Cooperative, Inc",FL,SEC,2154,.,.,.,2154,0.2,.,.,.,0.2,30215,.,.,.,30215,0.2,.,.,.,0.2,193,.,.,.,193,152,.,.,.,152,193,.,.,.,193,152,.,.,.,152,14.028,.,.,.,
2015,3764,Clearwater-Polk Elec Coop Inc,MN,MISO,279,115,0,0,394,.,.,.,.,.,4214,1577,0,0,5791,.,.,.,.,.,28,7,0,0,35,11,3,.,.,14,28,7,0,0,35,11,3,.,.,14,15.08,13.76,0,0,
