|Utility Characteristics..Year|,|Utility Characteristics..State|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
2018,AL,4430,"Covington Electric Coop, Inc",AEC,AC,0.021,.,.,.,0.021,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10.086,.,.,.,10.086,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.021,0.000,0.000,0.000,0.021,4,0,0,0,4,10.086,0.000,0.000,0.000,10.086
2018,AL,6491,Foley Board of Utilities,SOCO,AC,0.010,0.100,.,.,0.110,6,3,.,.,9,0.000,0.000,.,.,0.000,0,0,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.100,0.000,0.000,0.110,6,3,0,0,9,0.000,0.000,0.000,0.000,0.000
2018,AL,17646,"Southern Pine Elec Coop, Inc",AEC,AC,0.001,.,.,.,0.001,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.002,0.000,0.000,0.000,0.002,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2018,AL,30517,"Pioneer Electric Coop, Inc - (AL)",AEC,AC,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.270,.,.,.,1.270,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.006,0.000,0.000,0.000,0.006,1,0,0,0,1,1.270,0.000,0.000,0.000,1.270
2018,AL,99999,Adjustment 2018,AEC,,-0.009,.,.,.,-0.009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.009,.,.,.,-0.009,.,.,.,.,.,.,.,.,.,.
2018,AR,814,Entergy Arkansas LLC,MISO,DC,2.300,2.310,.,.,4.610,315,55,.,.,370,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.007,0.010,.,.,0.017,1,3,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.307,2.320,0.000,0.000,4.627,316,58,0,0,374,0.000,0.000,0.000,0.000,0.000
2018,AR,817,Arkansas Valley Elec Coop Corp,SWPP,AC,0.538,0.017,.,.,0.555,75,1,.,.,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.542,.,.,.,23.542,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.544,0.017,0.000,0.000,0.561,76,1,0,0,77,23.542,0.000,0.000,0.000,23.542
2018,AR,1586,City of Bentonville - (AR),SWPP,AC,1.650,1.800,.,.,3.450,66,6,.,.,72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.650,1.800,0.000,0.000,3.450,66,6,0,0,72,0.000,0.000,0.000,0.000,0.000
2018,AR,2678,C & L Electric Coop Corp,MISO,DC,0.090,0.134,.,.,0.224,11,1,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.090,0.134,0.000,0.000,0.224,11,1,0,0,12,0.000,0.000,0.000,0.000,0.000
2018,AR,3093,Carroll Electric Coop Corp - (AR),SWPP,DC,2.290,.,.,.,2.290,334,.,.,.,334,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.016,.,.,.,0.016,4,.,.,.,4,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.306,0.000,0.000,0.000,2.306,338,0,0,0,338,0.000,0.000,0.000,0.000,0.000
2018,AR,3712,Clay County Electric Coop Corp,MISO,AC,0.011,.,.,.,0.011,2,.,.,.,2,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,0.000,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.011,0.000,0.000,0.000,0.011,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000
2018,AR,4280,Conway Corporation,MISO,DC,0.030,.,.,.,0.030,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.030,0.000,0.000,0.000,0.030,9,0,0,0,9,0.000,0.000,0.000,0.000,0.000
2018,AR,4509,Craighead Electric Coop Corp,MISO,AC,0.076,0.100,.,.,0.176,9,1,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.076,0.100,0.000,0.000,0.176,9,1,0,0,10,0.000,0.000,0.000,0.000,0.000
2018,AR,5860,Empire District Electric Co,SWPP,DC,0.089,.,.,.,0.089,11,.,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.967,.,.,.,1.967,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.089,0.000,0.000,0.000,0.089,11,0,0,0,11,1.967,0.000,0.000,0.000,1.967
2018,AR,6342,First Electric Coop Corp,MISO,AC,1.116,0.000,0.000,0.000,1.116,94,0,0,0,94,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,1,0,0,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.126,0.000,0.000,0.000,1.126,95,0,0,0,95,0.000,0.000,0.000,0.000,0.000
2018,AR,8840,City of Hope,MISO,AC,0.035,.,.,.,0.035,3,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.035,0.000,0.000,0.000,0.035,3,0,0,0,3,0.000,0.000,0.000,0.000,0.000
2018,AR,9879,City Water and Light Plant,MISO,AC,0.010,.,.,.,0.010,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.010,0.000,0.000,0.000,0.010,2,0,0,0,2,0.000,0.000,0.000,0.000,0.000
2018,AR,13676,"North Arkansas Elec Coop, Inc",MISO,DC,0.403,.,.,.,0.403,56,.,.,.,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.008,.,.,.,0.008,5,.,.,.,5,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.411,0.000,0.000,0.000,0.411,61,0,0,0,61,0.000,0.000,0.000,0.000,0.000
2018,AR,13718,City of North Little Rock - (AR),MISO,AC,0.050,1.200,0.000,0.000,1.250,3,5,0,0,8,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,.,.,.,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.050,1.200,0.000,0.000,1.250,3,5,0,0,8,0.000,0.000,0.000,0.000,0.000
2018,AR,14063,Oklahoma Gas & Electric Co,SWPP,AC,0.226,0.037,0.000,0.000,0.263,31,4,0,0,35,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.000,0.000,0.005,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.230,0.038,0.000,0.000,0.268,32,5,0,0,37,0.000,0.000,0.000,0.000,0.000
2018,AR,14289,Ozarks Electric Coop Corp - (AR),SWPP,DC,1.639,0.348,.,.,1.987,225,4,.,.,229,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.002,0.009,.,.,0.011,1,1,.,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.641,0.357,0.000,0.000,1.998,226,5,0,0,231,0.000,0.000,0.000,0.000,0.000
2018,AR,14864,Petit Jean Electric Coop Corp,MISO,AC,0.114,.,.,.,0.114,14,.,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,0.000,.,.,.,0.000,0,.,.,.,0,.,.,.,.,0.000,0.117,0.000,0.000,0.000,0.117,15,0,0,0,15,0.000,0.000,0.000,0.000,0.000
2018,AR,15811,"Rich Mountain Elec Coop, Inc",MISO,AC,0.085,.,.,.,0.085,10,.,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.085,0.000,0.000,0.000,0.085,10,0,0,0,10,0.000,0.000,0.000,0.000,0.000
2018,AR,17184,City of Siloam Springs - (AR),SWPP,DC,0.113,.,.,.,0.113,18,.,.,.,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.113,0.000,0.000,0.000,0.113,18,0,0,0,18,0.000,0.000,0.000,0.000,0.000
2018,AR,17671,Southwest Arkansas E C C,MISO,AC,0.088,0.000,0.000,0.000,0.088,13,0,0,0,13,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.088,0.000,0.000,0.000,0.088,13,0,0,0,13,0.000,0.000,0.000,0.000,0.000
2018,AR,17698,Southwestern Electric Power Co,SWPP,AC,0.529,0.580,0.700,0.000,1.809,95,20,1,0,116,0.427,0.000,0.000,0.000,0.427,4,0,0,0,4,0.036,0.223,0.000,0.000,0.259,3,4,0,0,7,270.713,257.875,0.000,0.000,528.588,0.000,0.005,0.000,0.000,0.005,0,2,0,0,2,0.000,0.446,0.000,0.000,0.446,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.565,0.808,0.700,0.000,2.073,98,26,1,0,125,270.713,258.321,0.000,0.000,529.034
2018,AR,20963,Woodruff Electric Coop Corp,MISO,AC,.,0.068,.,.,0.068,.,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.003,0.068,0.000,0.000,0.071,1,2,0,0,3,0.000,0.000,0.000,0.000,0.000
2018,AR,99999,Adjustment 2018,MISO,,-0.492,-0.426,.,.,-0.919,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.492,-0.426,.,.,-0.919,.,.,.,.,.,.,.,.,.,.
2018,AR,99999,Adjustment 2018,SWPP,,-0.720,-0.061,.,.,-0.781,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.720,-0.061,.,.,-0.781,.,.,.,.,.,.,.,.,.,.
2018,AZ,176,Ajo Improvement Co,AZPS,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
2018,AZ,803,Arizona Public Service Co,AZPS,DC,695.045,271.511,.,.,966.556,"88,394","1,462",.,.,"89,856",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.061,0.126,.,.,0.187,25,11,.,.,36,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,695.106,271.637,0.000,0.000,966.743,"88,419","1,473",0,0,"89,892",0.000,0.000,0.000,0.000,0.000
2018,AZ,4071,"Columbus Electric Coop, Inc",PNM,AC,0.035,.,.,.,0.035,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.041,0.000,0.000,0.000,0.041,10,0,0,0,10,0.000,0.000,0.000,0.000,0.000
2018,AZ,7456,Graham County Electric Coop Inc,WALC,DC,2.532,0.441,.,.,2.973,335,40,.,.,375,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,338.808",259.180,.,.,"2,597.988",0.034,0.000,.,.,0.034,6,0,.,.,6,.,.,.,.,0.000,0.000,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,2.566,0.441,0.000,0.000,3.007,341,40,0,0,381,"2,338.808",259.180,0.000,0.000,"2,597.988"
2018,AZ,12351,City of Mesa - (AZ),WALC,AC,0.087,0.707,0.000,0.000,0.794,22,23,0,0,45,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,57.369,338.518,0.000,0.000,395.887,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.087,0.707,0.000,0.000,0.794,22,23,0,0,45,57.369,338.518,0.000,0.000,395.887
2018,AZ,12919,Morenci Water and Electric,WALC,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.000,0.033,0.000,0.000,0.033,0,3,0,0,3,0.000,0.000,0.000,0.000,0.000
