,Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential.1,Commercial.1,Industrial.1,Transportation.1,Total.1,Residential.2,Commercial.2,Industrial.2,Transportation.2,Total.2,Residential.3,Commercial.3,Industrial.3,Transportation.3,Total.3,Residential.4,Commercial.4,Industrial.4,Transportation.4,Total.4,Residential.5,Commercial.5,Industrial.5,Transportation.5,Total.5,Residential.6,Commercial.6,Industrial.6,Transportation.6,Total.6,Residential.7,Commercial.7,Industrial.7,Transportation.7,Total.7
42,2015,17040.0,"Shelby Electric Coop, Inc",,IL,MISO,10240,149,13, ,10402, , , , , , , , , , , ,4,10, ,14,10240.0,153.0,23.0,0.0,10416.0, , , , , ,9635,152,15, ,9802,1226, , , ,1226
43,2015,17585.0,"Southeastern IL Elec Coop, Inc",,IL,MISO,21617,2137, , ,23754, , ,28, ,28, , , , , , , ,4, ,4,21617.0,2137.0,32.0,0.0,23786.0, , ,490521, ,490521, , , , , , ,1, , ,1
44,2015,17631.0,Southern Illinois Elec Coop,,IL,MISO, , , , , ,10786,478,2,0,11266, , , , , ,0,0,0,0,0,10786.0,478.0,2.0,0.0,11266.0,150880,22798,13035, ,186713,10786,478,2,0,11266, , , , , 
45,2015,17697.0,Southwestern Electric Coop Inc - (IL),,IL,MISO, , , , , ,22093,580,6,0,22679, , , , , , , , , , ,22093.0,580.0,6.0,0.0,22679.0,301812,103611,14898, ,420321,8319, , , ,8319, , , , , 
46,2015,17828.0,City of Springfield - (IL),,IL,MISO,57452,5756, , ,63208, , , , , , , , , , ,1963,5683, , ,7646,59415.0,11439.0,0.0,0.0,70854.0, , , , , , , , , , , , , , , 
47,2015,17838.0,"Spoon River Electric Coop, Inc",Y,IL,MISO,4635,250,11, ,4896, , , , , , , , , , , , , , , ,4635.0,250.0,11.0,0.0,4896.0, , , , , , , , , , , , , , , 
48,2015,17860.0,City of St Charles - (IL),,IL,PJM, , , , ,0, , , , ,0, , , , ,0,13266,2239,47, ,15552,13266.0,2239.0,47.0,0.0,15552.0, , , , ,0,0,0,0, ,0,0,0,0, ,0
49,2015,18277.0,City of Sullivan - (IL),Y,IL,MISO,2817,471,0, ,3288, , , , , , , , , , , , , , , ,2817.0,471.0,0.0,0.0,3288.0, , , , , , , , , , , , , , , 
50,2015,18955.0,"Tri-County Electric Coop, Inc",,IL,MISO, , , , , ,15682,332,32, ,16046, , , , , ,20,6,7, ,33,15702.0,338.0,39.0,0.0,16079.0,232119,38752,37640, ,308511,15682,332,32, ,16046, , , , , 
51,2015,20222.0,Wayne-White Counties Elec Coop,,IL,MISO, , , , , ,11955,1436,163, ,13554, , , , , , , , , , ,11955.0,1436.0,163.0,0.0,13554.0,148034,68275,179788, ,396097,11955,1436,163, ,13554, , , , , 
52,2015,20824.0,Village of Winnetka - (IL),,IL,PJM, , , , ,0, , , , ,0, , , , ,0,4481,570, , ,5051,4481.0,570.0,0.0,0.0,5051.0, , , , ,0, , , , ,0, , , , ,0
53,2015,29296.0,Western Illinois Elec Coop,Y,IL,MISO, , , , , ,3532,155,3, ,3690, , , , , , , , , , ,3532.0,155.0,3.0,0.0,3690.0,44443,15686,3322, ,63451, , , , , , , , , , 
54,2015,40367.0,Village of Ladd - (IL),Y,IL,MISO,577,51,1, ,629, , , , , , , , , , , , , , , ,577.0,51.0,1.0,0.0,629.0, , , , , , , , , , , , , , , 
55,2015,56697.0,Ameren Illinois Company,,IL,MISO,589166,74402,509,73,664150,211740,37584,224, ,249548, , , , , ,261242,47923,459, ,309624,1062148.0,159909.0,1192.0,73.0,1223322.0,1454549,1920465,2160162, ,5535176, , , , , , , , , , 
