,|Utility Characteristics..Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Photovoltaic.Capacity MW.Type|,|Photovoltaic.Capacity MW.Residential|,|Photovoltaic.Capacity MW.Commercial|,|Photovoltaic.Capacity MW.Industrial|,|Photovoltaic.Capacity MW.Transportation|,|Photovoltaic.Capacity MW.Total|,|Photovoltaic.Customers.Residential|,|Photovoltaic.Customers.Commercial|,|Photovoltaic.Customers.Industrial|,|Photovoltaic.Customers.Transportation|,|Photovoltaic.Customers.Total|,|Photovoltaic.Storage Capacity (MW).Residential|,|Photovoltaic.Storage Capacity (MW).Commercial|,|Photovoltaic.Storage Capacity (MW).Industrial|,|Photovoltaic.Storage Capacity (MW).Transportation|,|Photovoltaic.Storage Capacity (MW).Total|,|Photovoltaic.Storage Customers.Residential|,|Photovoltaic.Storage Customers.Commercial|,|Photovoltaic.Storage Customers.Industrial|,|Photovoltaic.Storage Customers.Transportation|,|Photovoltaic.Storage Customers.Total|,|Photovoltaic.Virtual Capacity (MW).Residential|,|Photovoltaic.Virtual Capacity (MW).Commercial|,|Photovoltaic.Virtual Capacity (MW).Industrial|,|Photovoltaic.Virtual Capacity (MW).Transportation|,|Photovoltaic.Virtual Capacity (MW).Total|,|Photovoltaic.Virtual Customers.Residential|,|Photovoltaic.Virtual Customers.Commercial|,|Photovoltaic.Virtual Customers.Industrial|,|Photovoltaic.Virtual Customers.Transportation|,|Photovoltaic.Virtual Customers.Total|,|Photovoltaic.Energy Sold Back MWh.Residential|,|Photovoltaic.Energy Sold Back MWh.Commercial|,|Photovoltaic.Energy Sold Back MWh.Industrial|,|Photovoltaic.Energy Sold Back MWh.Transportation|,|Photovoltaic.Energy Sold Back MWh.Total|,|Wind.Capacity MW.Residential|,|Wind.Capacity MW.Commercial|,|Wind.Capacity MW.Industrial|,|Wind.Capacity MW.Transportation|,|Wind.Capacity MW.Total|,|Wind.Customers.Residential|,|Wind.Customers.Commercial|,|Wind.Customers.Industrial|,|Wind.Customers.Transportation|,|Wind.Customers.Total|,|Wind.Energy Sold Back MWh.Residential|,|Wind.Energy Sold Back MWh.Commercial|,|Wind.Energy Sold Back MWh.Industrial|,|Wind.Energy Sold Back MWh.Transportation|,|Wind.Energy Sold Back MWh.Total|,|Other.Capacity MW.Residential|,|Other.Capacity MW.Commercial|,|Other.Capacity MW.Industrial|,|Other.Capacity MW.Transportation|,|Other.Capacity MW.Total|,|Other.Customers.Residential|,|Other.Customers.Commercial|,|Other.Customers.Industrial|,|Other.Customers.Transportation|,|Other.Customers.Total|,|Other.Energy Sold Back MWh.Residential|,|Other.Energy Sold Back MWh.Commercial|,|Other.Energy Sold Back MWh.Industrial|,|Other.Energy Sold Back MWh.Transportation|,|Other.Energy Sold Back MWh.Total|,|All Technologies.Capacity MW.Residential|,|All Technologies.Capacity MW.Commercial|,|All Technologies.Capacity MW.Industrial|,|All Technologies.Capacity MW.Transportation|,|All Technologies.Capacity MW.Total|,|All Technologies.Customers.Residential|,|All Technologies.Customers.Commercial|,|All Technologies.Customers.Industrial|,|All Technologies.Customers.Transportation|,|All Technologies.Customers.Total|,|All Technologies.Energy Sold Back MWh.Residential|,|All Technologies.Energy Sold Back MWh.Commercial|,|All Technologies.Energy Sold Back MWh.Industrial|,|All Technologies.Energy Sold Back MWh.Transportation|,|..Total|
10,2015,12803,"Monroe County Elec Coop, Inc",IL,0.083, , , ,0.083,9, , , ,9,23.7, , , ,23.7,0.001, , , ,0.001,1, , , ,1,0, , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.084,0.0,0.0,0,0.084,10,0,0,0,10,23.7,0.0,0.0,0,23.7,,,,,,,,,,,,,,,,,,,,,,
11,2015,13032,Mt Carmel Public Utility Co,IL,0.015,0.01,0,0,0.025,3,1,0,0,4,9.155,2.4,0,0,11.555, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.015,0.01,0.0,0,0.025,3,1,0,0,4,9.155,2.4,0.0,0,11.555,,,,,,,,,,,,,,,,,,,,,,
12,2015,13208,City of Naperville - (IL),IL,0.104,0.015, , ,0.119,15,4, , ,19, , , , ,0.0, ,0.001, , ,0.001, ,1, , ,1, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.104,0.016,0.0,0,0.12,15,5,0,0,20,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
13,2015,13292,Norris Electric Coop,IL,0.44,0.25, , ,0.69,26,4, , ,30,0,0, , ,0.0,0.02, , , ,0.02,2, , , ,2,0, , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.46,0.25,0.0,0,0.71,28,4,0,0,32,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
14,2015,16420,Rural Electric Conven Coop,IL,0.02,0.02, , ,0.04,5,1, , ,6, , , , ,0.0,0.01,0.02, , ,0.03,2,1, , ,3, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.03,0.04,0.0,0,0.07,7,2,0,0,9,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
15,2015,17040,"Shelby Electric Coop, Inc",IL,0.132, , , ,0.132,11, , , ,11,15.8, , , ,15.8,0.013, , , ,0.013,2, , , ,2,3, , , ,3.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.145,0.0,0.0,0,0.145,13,0,0,0,13,18.8,0.0,0.0,0,18.8,,,,,,,,,,,,,,,,,,,,,,
16,2015,17585,"Southeastern IL Elec Coop, Inc",IL,0.024, , , ,0.024,3, , , ,3,1, , , ,1.0, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.024,0.0,0.0,0,0.024,3,0,0,0,3,1.0,0.0,0.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,
17,2015,17631,Southern Illinois Elec Coop,IL,0.042, , , ,0.042,6, , , ,6, , , , ,0.0,0.002, , , ,0.002,1, , , ,1, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.044,0.0,0.0,0,0.044,7,0,0,0,7,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
18,2015,17697,Southwestern Electric Coop Inc - (IL),IL,0.132,0.422,0,0,0.554,16,6,0, ,22,61.627,139.48, , ,201.107,0.013,0,0,0,0.013,3,0,0,0,3,0.815,0,0,0,0.815, , , , ,0.0, , , , ,0, , , , ,0.0,0.145,0.422,0.0,0,0.567,19,6,0,0,25,62.442,139.48,0.0,0,201.922,,,,,,,,,,,,,,,,,,,,,,
19,2015,17828,City of Springfield - (IL),IL,0.297,0.248, , ,0.545,39,19, , ,58, , , , ,0.0, ,0.01, , ,0.01, ,1, , ,1, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.297,0.258,0.0,0,0.555,39,20,0,0,59,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
20,2015,17860,City of St Charles - (IL),IL, ,0.12, , ,0.12, ,1, , ,1, ,3.187, , ,3.187, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.0,0.12,0.0,0,0.12,0,1,0,0,1,0.0,3.187,0.0,0,3.187,,,,,,,,,,,,,,,,,,,,,,
21,2015,18955,"Tri-County Electric Coop, Inc",IL,0.028, , , ,0.028,5, , , ,5, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.028,0.0,0.0,0,0.028,5,0,0,0,5,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
22,2015,20222,Wayne-White Counties Elec Coop,IL,0.134, , , ,0.134,9, , , ,9,92.304, , , ,92.304, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.134,0.0,0.0,0,0.134,9,0,0,0,9,92.304,0.0,0.0,0,92.304,,,,,,,,,,,,,,,,,,,,,,
23,2015,20824,Village of Winnetka - (IL),IL,0.027, , , ,0.027,3, , , ,3,7.933, , , ,7.933, , , , ,0.0, , , , ,0, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,0.027,0.0,0.0,0,0.027,3,0,0,0,3,7.933,0.0,0.0,0,7.933,,,,,,,,,,,,,,,,,,,,,,
24,2015,56697,Ameren Illinois Company,IL,1.519,0.832, , ,2.351,282,78, , ,360, , , , ,0.0,0.351,0.113, , ,0.464,69,20, , ,89, , , , ,0.0, , , , ,0.0, , , , ,0, , , , ,0.0,1.87,0.945,0.0,0,2.815,351,98,0,0,449,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,
