CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE
469,CARROLL CO.,THOMSON,04/09/2015,1704,Tornado,,EF1
470,LEE CO.,DIXON MUNI ARPT,04/09/2015,1723,Hail,1.75 in.,nan
471,LEE CO.,FRANKLIN GROVE,04/09/2015,1732,Hail,1.75 in.,nan
472,JERSEY CO.,OTTERVILLE,04/09/2015,1735,Hail,2.25 in.,nan
473,WINNEBAGO CO.,CHERRY VLY,04/09/2015,1737,Tornado,,EF0
474,BOONE CO.,CHERRY VLY,04/09/2015,1738,Tornado,,EF0
475,LEE CO.,FRANKLIN GROVE,04/09/2015,1739,Tornado,,EF1
476,JERSEY CO.,JERSEYVILLE,04/09/2015,1741,Thunderstorm Wind,52.00 kts.,nan
477,OGLE CO.,CARTHAGE,04/09/2015,1743,Tornado,,EF4
478,STEPHENSON CO.,FREEPORT,04/09/2015,1745,Thunderstorm Wind,61.00 kts.,nan
479,OGLE CO.,MT MORRIS,04/09/2015,1745,Hail,1.75 in.,nan
480,COOK CO.,INVERNESS,04/09/2015,1745,Hail,1.00 in.,nan
481,MACOUPIN CO.,BRIGHTON,04/09/2015,1750,Hail,3.00 in.,nan
482,MCHENRY CO.,HUNTLEY,04/09/2015,1750,Hail,1.00 in.,nan
483,FULTON CO.,FARMINGTON,04/09/2015,1752,Hail,0.75 in.,nan
484,MACOUPIN CO.,BRIGHTON,04/09/2015,1755,Thunderstorm Wind,56.00 kts.,nan
485,MCHENRY CO.,LAKE IN THE HILLS,04/09/2015,1756,Hail,0.88 in.,nan
486,PEORIA CO.,ELMWOOD,04/09/2015,1757,Hail,1.00 in.,nan
487,MCHENRY CO.,CRYSTAL LAKE,04/09/2015,1758,Hail,0.88 in.,nan
488,MORGAN CO.,WAVERLY,04/09/2015,1800,Hail,1.50 in.,nan
489,BOONE CO.,CAPRON,04/09/2015,1804,Hail,0.75 in.,nan
490,OGLE CO.,LINDENWOOD,04/09/2015,1805,Tornado,,EF0
491,PEORIA CO.,PRINCEVILLE,04/09/2015,1808,Hail,0.75 in.,nan
492,MADISON CO.,GODFREY,04/09/2015,1810,Hail,0.88 in.,nan
493,SANGAMON CO.,AUBURN,04/09/2015,1810,Hail,1.00 in.,nan
494,DE KALB CO.,FAIRDALE,04/09/2015,1812,Tornado,,EF3
495,SANGAMON CO.,CHATHAM,04/09/2015,1813,Hail,1.00 in.,nan
496,DE KALB CO.,FAIRDALE,04/09/2015,1815,Tornado,,EF1
497,BOONE CO.,IRENE,04/09/2015,1817,Tornado,,EF1
498,SANGAMON CO.,DIVERNON,04/09/2015,1817,Hail,1.00 in.,nan
499,BOONE CO.,IRENE,04/09/2015,1819,Tornado,,EF0
500,SANGAMON CO.,DIVERNON,04/09/2015,1819,Hail,1.00 in.,nan
501,PEORIA CO.,PRINCEVILLE,04/09/2015,1820,Hail,0.75 in.,nan
502,PEORIA CO.,DUNLAP,04/09/2015,1820,Hail,0.75 in.,nan
503,BOONE CO.,BELVIDERE,04/09/2015,1824,Tornado,,EF0
504,BOONE CO.,HERBERT,04/09/2015,1825,Tornado,,EF1
505,MACOUPIN CO.,BUNKER HILL,04/09/2015,1825,Hail,1.00 in.,nan
506,WINNEBAGO CO.,CHERRY VLY,04/09/2015,1825,Hail,1.75 in.,nan
507,BUREAU CO.,MALDEN,04/09/2015,1829,Thunderstorm Wind,52.00 kts.,nan
508,MARSHALL CO.,SPARLAND,04/09/2015,1830,Hail,0.88 in.,nan
509,PEORIA CO.,PEORIA,04/09/2015,1840,Thunderstorm Wind,52.00 kts.,nan
510,CHRISTIAN CO.,TAYLORVILLE,04/09/2015,1842,Hail,0.75 in.,nan
511,CHRISTIAN CO.,JEISYVILLE,04/09/2015,1847,Tornado,,EF0
512,MCHENRY CO.,HARTLAND,04/09/2015,1850,Tornado,,EF1
513,PUTNAM CO.,MAGNOLIA,04/09/2015,1851,Hail,1.75 in.,nan
514,MARSHALL CO.,WILBERN,04/09/2015,1859,Hail,0.75 in.,nan
515,MARSHALL CO.,VARNA,04/09/2015,1900,Hail,1.00 in.,nan
516,MCHENRY CO.,UNION,04/09/2015,1908,Hail,1.00 in.,nan
517,LA SALLE CO.,LOSTANT,04/09/2015,1915,Hail,1.00 in.,nan
518,MCHENRY CO.,MC CULLOM LAKE,04/09/2015,1915,Hail,1.00 in.,nan
519,MCHENRY CO.,WOODSTOCK,04/09/2015,1915,Hail,1.00 in.,nan
520,LA SALLE CO.,LOSTANT,04/09/2015,1915,Thunderstorm Wind,61.00 kts.,nan
521,CHRISTIAN CO.,TAYLORVILLE,04/09/2015,1918,Hail,1.00 in.,nan
522,SHELBY CO.,COWDEN,04/09/2015,1934,Hail,0.75 in.,nan
523,EFFINGHAM CO.,BEECHER CITY,04/09/2015,1940,Hail,1.00 in.,nan
524,SHELBY CO.,MODE,04/09/2015,1945,Thunderstorm Wind,52.00 kts.,nan
525,EFFINGHAM CO.,ALTAMONT,04/09/2015,1945,Thunderstorm Wind,52.00 kts.,nan
526,EFFINGHAM CO.,GREEN CREEK,04/09/2015,1954,Thunderstorm Wind,52.00 kts.,nan
527,GRUNDY CO.,COAL CITY,04/09/2015,1959,Thunderstorm Wind,54.00 kts.,nan
528,CUMBERLAND CO.,NEOGA,04/09/2015,2000,Thunderstorm Wind,52.00 kts.,nan
529,PIATT CO.,MONTICELLO,04/09/2015,2008,Hail,1.00 in.,nan
530,CHAMPAIGN CO.,SEYMOUR,04/09/2015,2019,Hail,0.75 in.,nan
531,CHAMPAIGN CO.,MAHOMET,04/09/2015,2019,Hail,1.75 in.,nan
532,CHAMPAIGN CO.,MAHOMET,04/09/2015,2022,Hail,1.75 in.,nan
533,CHAMPAIGN CO.,MAHOMET,04/09/2015,2022,Hail,3.00 in.,nan
534,WILL CO.,CHANNAHON,04/09/2015,2023,Hail,1.00 in.,nan
535,CHAMPAIGN CO.,MAHOMET,04/09/2015,2025,Hail,2.00 in.,nan
536,PERRY CO.,PINCKNEYVILLE,04/09/2015,2026,Hail,1.00 in.,nan
537,CHAMPAIGN CO.,DEWEY,04/09/2015,2030,Hail,1.00 in.,nan
538,CUMBERLAND CO.,NEOGA,04/09/2015,2035,Hail,1.25 in.,nan
539,CUMBERLAND CO.,TOLEDO,04/09/2015,2040,Thunderstorm Wind,52.00 kts.,nan
540,FORD CO.,PAXTON,04/09/2015,2043,Hail,1.00 in.,nan
541,JEFFERSON CO.,MT VERNON,04/09/2015,2051,Hail,1.00 in.,nan
542,EFFINGHAM CO.,DIETERICH,04/09/2015,2055,Thunderstorm Wind,52.00 kts.,nan
543,WILLIAMSON CO.,CRAINVILLE,04/09/2015,2113,Hail,1.00 in.,nan
544,WILLIAMSON CO.,MARION,04/09/2015,2114,Thunderstorm Wind,52.00 kts.,nan
545,WILLIAMSON CO.,JOHNSTON CITY,04/09/2015,2115,Thunderstorm Wind,52.00 kts.,nan
546,CRAWFORD CO.,ROBINSON,04/09/2015,2200,Thunderstorm Wind,52.00 kts.,nan
554,FRANKLIN CO.,BENTON,04/25/2015,1440,Thunderstorm Wind,56.00 kts.,nan
555,FRANKLIN CO.,ZEIGLER,04/25/2015,1442,Hail,0.75 in.,nan
556,FRANKLIN CO.,THOMPSONVILLE,04/25/2015,1500,Thunderstorm Wind,52.00 kts.,nan
557,SALINE CO.,GALATIA,04/25/2015,1505,Thunderstorm Wind,61.00 kts.,nan
558,SALINE CO.,RALEIGH,04/25/2015,1520,Hail,1.00 in.,nan
559,GALLATIN CO.,EQUALITY,04/25/2015,1530,Thunderstorm Wind,61.00 kts.,nan
560,GALLATIN CO.,OMAHA,04/25/2015,1536,Hail,1.00 in.,nan
561,JACKSON CO.,MURPHYSBORO,04/25/2015,1536,Hail,0.88 in.,nan
562,POPE CO.,DIXON SPGS,04/25/2015,1617,Hail,0.75 in.,nan
563,POPE CO.,GOLCONDA,04/25/2015,1628,Hail,0.75 in.,nan
564,CARROLL CO.,MILLEDGEVILLE,05/03/2015,1439,Hail,0.88 in.,nan
565,BUREAU CO.,DOVER,05/03/2015,1558,Hail,0.75 in.,nan
566,BUREAU CO.,DEPUE,05/03/2015,1711,Hail,0.75 in.,nan
567,MCDONOUGH CO.,MACOMB,05/04/2015,1619,Hail,0.75 in.,nan
569,MCDONOUGH CO.,COLCHESTER,05/04/2015,1704,Hail,1.00 in.,nan
570,MCDONOUGH CO.,COLCHESTER,05/04/2015,1708,Hail,0.75 in.,nan
571,FULTON CO.,VERMONT,05/04/2015,1730,Hail,0.88 in.,nan
572,WILLIAMSON CO.,MARION,05/08/2015,1255,Thunderstorm Wind,52.00 kts.,nan
573,SALINE CO.,CARRIERS MILLS,05/08/2015,1350,Thunderstorm Wind,52.00 kts.,nan
574,KENDALL CO.,OSWEGO,05/08/2015,1506,Thunderstorm Wind,53.00 kts.,nan
575,DU PAGE CO.,GLEN ELLYN,05/08/2015,1530,Thunderstorm Wind,50.00 kts.,nan
576,LAWRENCE CO.,SUMNER,05/09/2015,2015,Thunderstorm Wind,61.00 kts.,nan
577,ST. CLAIR CO.,BELLEVILLE,05/10/2015,1630,Thunderstorm Wind,56.00 kts.,nan
578,MADISON CO.,BLUFF JCT,05/10/2015,1650,Thunderstorm Wind,56.00 kts.,nan
580,SANGAMON CO.,SPRINGFIELD,05/10/2015,1745,Thunderstorm Wind,52.00 kts.,nan
581,SANGAMON CO.,CHATHAM,05/10/2015,1750,Thunderstorm Wind,52.00 kts.,nan
582,JEFFERSON CO.,MT VERNON,05/10/2015,1750,Thunderstorm Wind,52.00 kts.,nan
583,COLES CO.,MATTOON,05/10/2015,1904,Thunderstorm Wind,52.00 kts.,nan
584,JASPER CO.,NEWTON,05/10/2015,1905,Thunderstorm Wind,52.00 kts.,nan
585,COLES CO.,CHARLESTON,05/10/2015,1915,Thunderstorm Wind,52.00 kts.,nan
586,CHAMPAIGN CO.,BROADLANDS,05/10/2015,1941,Thunderstorm Wind,52.00 kts.,nan
587,VERMILION CO.,GEORGETOWN,05/10/2015,2010,Hail,0.75 in.,nan
588,VERMILION CO.,DANVILLE,05/10/2015,2015,Thunderstorm Wind,52.00 kts.,nan
590,JERSEY CO.,ROSEDALE,05/15/2015,1347,Thunderstorm Wind,56.00 kts.,nan
591,SANGAMON CO.,PAWNEE,05/15/2015,1445,Thunderstorm Wind,52.00 kts.,nan
592,LOGAN CO.,LINCOLN,05/15/2015,1536,Thunderstorm Wind,52.00 kts.,nan
593,LAWRENCE CO.,LAWRENCEVILLE,05/15/2015,1556,Thunderstorm Wind,52.00 kts.,nan
594,CRAWFORD CO.,PALESTINE,05/15/2015,1653,Thunderstorm Wind,52.00 kts.,nan
596,MERCER CO.,MANNON,05/24/2015,1750,Tornado,,EF2
597,MADISON CO.,TROY JCT,05/24/2015,2040,Thunderstorm Wind,56.00 kts.,nan
598,WASHINGTON CO.,IRVINGTON,05/24/2015,2115,Thunderstorm Wind,52.00 kts.,nan
599,MARION CO.,CENTRALIA,05/24/2015,2115,Thunderstorm Wind,50.00 kts.,nan
600,MONTGOMERY CO.,COALTON,05/24/2015,2204,Thunderstorm Wind,56.00 kts.,nan
601,DE WITT CO.,CLINTON,05/24/2015,2300,Thunderstorm Wind,52.00 kts.,nan
602,SCHUYLER CO.,LITTLETON,05/26/2015,710,Thunderstorm Wind,52.00 kts.,nan
603,HENRY CO.,GERMAN CORNER,05/26/2015,859,Tornado,,EF1
604,BUREAU CO.,KASBEER,05/26/2015,946,Tornado,,EF1
605,BUREAU CO.,CHERRY,05/26/2015,954,Thunderstorm Wind,61.00 kts.,nan
606,COOK CO.,MC COOK,05/26/2015,1208,Tornado,,EF0
607,SANGAMON CO.,MILDRED,05/28/2015,1706,Hail,0.75 in.,nan
608,GREENE CO.,WOODY,05/29/2015,2220,Tornado,,EF1
609,WILLIAMSON CO.,MARION,05/30/2015,1318,Thunderstorm Wind,52.00 kts.,nan
610,JASPER CO.,HIDALGO,05/30/2015,1520,Thunderstorm Wind,52.00 kts.,nan
611,CUMBERLAND CO.,GREENUP,05/30/2015,1535,Hail,1.00 in.,nan
612,WABASH CO.,MT CARMEL,05/30/2015,1540,Thunderstorm Wind,52.00 kts.,nan
613,EFFINGHAM CO.,EFFINGHAM,05/30/2015,1545,Thunderstorm Wind,52.00 kts.,nan
615,LAWRENCE CO.,LAWRENCEVILLE,05/30/2015,1612,Thunderstorm Wind,52.00 kts.,nan
616,MCDONOUGH CO.,GOOD HOPE,06/07/2015,1415,Thunderstorm Wind,70.00 kts.,nan
617,MCDONOUGH CO.,ADAIR,06/07/2015,1430,Thunderstorm Wind,70.00 kts.,nan
618,GRUNDY CO.,GARDNER,06/07/2015,1448,Hail,1.00 in.,nan
619,LIVINGSTON CO.,DWIGHT,06/07/2015,1450,Hail,1.00 in.,nan
620,PEORIA CO.,KELLER,06/07/2015,1500,Thunderstorm Wind,70.00 kts.,nan
621,PEORIA CO.,PEORIA HGTS,06/07/2015,1500,Thunderstorm Wind,70.00 kts.,nan
622,PEORIA CO.,SHERWOOD FOREST,06/07/2015,1502,Thunderstorm Wind,70.00 kts.,nan
623,PEORIA CO.,GLASFORD,06/07/2015,1509,Hail,1.75 in.,nan
624,WOODFORD CO.,BENSON,06/07/2015,1510,Thunderstorm Wind,61.00 kts.,nan
625,WOODFORD CO.,BENSON,06/07/2015,1510,Thunderstorm Wind,61.00 kts.,nan
626,WOODFORD CO.,EUREKA,06/07/2015,1515,Thunderstorm Wind,61.00 kts.,nan
627,KANKAKEE CO.,GRANT PARK,06/07/2015,1515,Hail,0.88 in.,nan
628,WOODFORD CO.,METAMORA,06/07/2015,1516,Thunderstorm Wind,61.00 kts.,nan
629,KANKAKEE CO.,BONFIELD,06/07/2015,1517,Hail,1.00 in.,nan
630,PEORIA CO.,PEORIA,06/07/2015,1522,Thunderstorm Wind,70.00 kts.,nan
631,KANKAKEE CO.,BRADLEY,06/07/2015,1531,Thunderstorm Wind,60.00 kts.,nan
633,KANKAKEE CO.,KANKAKEE ARPT,06/07/2015,1537,Thunderstorm Wind,52.00 kts.,nan
634,MCLEAN CO.,CHENOA,06/07/2015,1540,Hail,0.75 in.,nan
635,MCLEAN CO.,CHENOA,06/07/2015,1545,Thunderstorm Wind,61.00 kts.,nan
637,MASON CO.,HAVANA,06/07/2015,1600,Hail,0.88 in.,nan
638,MASON CO.,BISHOP,06/07/2015,1600,Thunderstorm Wind,61.00 kts.,nan
639,MASON CO.,HAVANA,06/07/2015,1602,Thunderstorm Wind,61.00 kts.,nan
641,IROQUOIS CO.,WOODLAND,06/07/2015,1649,Thunderstorm Wind,55.00 kts.,nan
642,HENDERSON CO.,LOMAX,06/07/2015,1708,Thunderstorm Wind,70.00 kts.,nan
643,HENDERSON CO.,OQUAWKA,06/07/2015,1725,Thunderstorm Wind,70.00 kts.,nan
644,MCDONOUGH CO.,MACOMB,06/07/2015,1755,Thunderstorm Wind,56.00 kts.,nan
645,WARREN CO.,ROSEVILLE,06/07/2015,1755,Thunderstorm Wind,52.00 kts.,nan
646,MCDONOUGH CO.,TENNESSEE,06/07/2015,1758,Thunderstorm Wind,50.00 kts.,nan
647,MCDONOUGH CO.,COLMAR,06/07/2015,1824,Thunderstorm Wind,65.00 kts.,nan
648,ADAMS CO.,LORAINE,06/07/2015,1825,Thunderstorm Wind,56.00 kts.,nan
649,TAZEWELL CO.,PEKIN,06/07/2015,1830,Thunderstorm Wind,70.00 kts.,nan
650,HANCOCK CO.,AUGUSTA,06/07/2015,1831,Thunderstorm Wind,65.00 kts.,nan
651,VERMILION CO.,DANVILLE,06/07/2015,1835,Thunderstorm Wind,61.00 kts.,nan
652,VERMILION CO.,NEWELL,06/07/2015,1840,Thunderstorm Wind,61.00 kts.,nan
653,TAZEWELL CO.,PEKIN,06/07/2015,1845,Thunderstorm Wind,70.00 kts.,nan
654,FULTON CO.,BRYANT,06/07/2015,1845,Thunderstorm Wind,61.00 kts.,nan
655,LOGAN CO.,ATLANTA,06/07/2015,1850,Hail,0.88 in.,nan
656,VERMILION CO.,STEELTON,06/07/2015,1852,Hail,1.00 in.,nan
657,DE WITT CO.,HALLVILLE,06/07/2015,1855,Thunderstorm Wind,61.00 kts.,nan
658,DE WITT CO.,HALLVILLE,06/07/2015,1856,Hail,0.75 in.,nan
659,DE WITT CO.,JENKINS,06/07/2015,1902,Thunderstorm Wind,61.00 kts.,nan
660,DE WITT CO.,CLINTON,06/07/2015,1905,Thunderstorm Wind,61.00 kts.,nan
661,VERMILION CO.,DANVILLE,06/07/2015,1910,Thunderstorm Wind,61.00 kts.,nan
662,DE WITT CO.,WAYNESVILLE,06/07/2015,1917,Hail,0.75 in.,nan
663,MENARD CO.,CULVER,06/07/2015,1922,Tornado,,EF0
664,LOGAN CO.,LINCOLN,06/07/2015,1925,Thunderstorm Wind,61.00 kts.,nan
665,CHAMPAIGN CO.,CHAMPAIGN,06/07/2015,1930,Hail,1.00 in.,nan
671,VERMILION CO.,GEORGETOWN,06/07/2015,2000,Thunderstorm Wind,61.00 kts.,nan
672,SANGAMON CO.,SOUTHLAWN,06/07/2015,2000,Thunderstorm Wind,61.00 kts.,nan
676,PIATT CO.,MONTICELLO ARPT,06/07/2015,2003,Tornado,,EF0
677,SANGAMON CO.,WILLIAMSVILLE,06/07/2015,2004,Hail,1.00 in.,nan
678,CHAMPAIGN CO.,SEYMOUR,06/07/2015,2005,Tornado,,EF0
679,VERMILION CO.,BELGIUM,06/07/2015,2015,Thunderstorm Wind,61.00 kts.,nan
680,CHAMPAIGN CO.,SEYMOUR,06/07/2015,2015,Thunderstorm Wind,61.00 kts.,nan
681,CHAMPAIGN CO.,CHAMPAIGN,06/07/2015,2020,Thunderstorm Wind,61.00 kts.,nan
682,CHAMPAIGN CO.,ILLINI ARPT,06/07/2015,2022,Thunderstorm Wind,61.00 kts.,nan
685,CHAMPAIGN CO.,OGDEN,06/07/2015,2040,Thunderstorm Wind,61.00 kts.,nan
686,DOUGLAS CO.,NEWMAN,06/07/2015,2053,Thunderstorm Wind,61.00 kts.,nan
687,DOUGLAS CO.,CAMARGO,06/07/2015,2053,Thunderstorm Wind,61.00 kts.,nan
688,COLES CO.,CHARLESTON,06/07/2015,2102,Thunderstorm Wind,61.00 kts.,nan
689,VERMILION CO.,GEORGETOWN,06/07/2015,2110,Thunderstorm Wind,61.00 kts.,nan
699,LAKE CO.,RUSSELL,06/08/2015,1313,Hail,1.50 in.,nan
700,LAKE CO.,RUSSELL,06/08/2015,1320,Hail,1.00 in.,nan
701,LAKE CO.,WINTHROP HARBOR,06/08/2015,1323,Hail,1.00 in.,nan
702,LAKE CO.,ZION,06/08/2015,1330,Hail,1.25 in.,nan
703,LAKE CO.,LINDENHURST,06/08/2015,1338,Hail,1.00 in.,nan
704,LAKE CO.,ROUND LAKE HGTS,06/08/2015,1343,Hail,1.00 in.,nan
705,JO DAVIESS CO.,STOCKTON,06/08/2015,1348,Hail,0.88 in.,nan
706,MCHENRY CO.,MARENGO,06/08/2015,1350,Hail,0.88 in.,nan
707,ADAMS CO.,URSA,06/08/2015,1350,Hail,1.75 in.,nan
708,JO DAVIESS CO.,STOCKTON,06/08/2015,1352,Hail,0.75 in.,nan
709,LAKE CO.,ZION,06/08/2015,1354,Hail,1.25 in.,nan
710,MCDONOUGH CO.,TENNESSEE,06/08/2015,1354,Thunderstorm Wind,61.00 kts.,nan
711,LAKE CO.,FOX LAKE,06/08/2015,1355,Hail,1.00 in.,nan
712,COOK CO.,BRIDGEVIEW,06/08/2015,1401,Hail,0.75 in.,nan
713,COOK CO.,GLENVIEW COUNTRYSIDE,06/08/2015,1455,Thunderstorm Wind,50.00 kts.,nan
714,DU PAGE CO.,BENSENVILLE,06/08/2015,1503,Hail,1.00 in.,nan
715,PUTNAM CO.,HENNEPIN,06/08/2015,1529,Hail,0.88 in.,nan
716,KANE CO.,SUGAR GROVE,06/08/2015,1536,Hail,1.75 in.,nan
717,MCLEAN CO.,CARLOCK,06/08/2015,1555,Hail,1.50 in.,nan
718,WOODFORD CO.,CONGERVILLE,06/08/2015,1555,Hail,1.00 in.,nan
719,BUREAU CO.,LA MOILLE,06/08/2015,1617,Hail,0.88 in.,nan
720,MCLEAN CO.,BARNES,06/08/2015,1625,Hail,0.75 in.,nan
721,MCLEAN CO.,KERRICK,06/08/2015,1625,Hail,1.00 in.,nan
722,MCLEAN CO.,KERRICK,06/08/2015,1627,Hail,0.75 in.,nan
723,KANKAKEE CO.,HERSCHER,06/08/2015,1700,Hail,0.75 in.,nan
724,IROQUOIS CO.,GILMAN,06/08/2015,1732,Hail,1.00 in.,nan
725,IROQUOIS CO.,CRESCENT CITY,06/08/2015,1736,Hail,1.75 in.,nan
726,MCLEAN CO.,CHENOA,06/08/2015,1805,Hail,1.00 in.,nan
727,MCLEAN CO.,CHENOA,06/08/2015,1805,Hail,1.00 in.,nan
728,FORD CO.,GIBSON CITY,06/08/2015,1843,Thunderstorm Wind,50.00 kts.,nan
