Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
2021,1579,PUD No 1 of Benton County,WA,BPAT,"1,047","3,514","8,192",.,"12,753",0.2,0.6,1.2,.,2.0,"21,987","42,168","98,304",.,"162,459",0.2,0.6,1.2,.,2.0,724,648,536,.,"1,908",.,.,.,.,.,724,648,536,.,"1,908",.,.,.,.,.,21.000,12.000,12.000,.,
2021,1613,Berkeley Electric Coop Inc,SC,SC,241,851,.,.,"1,092",0.6,0.3,.,.,0.8,"2,119","4,256",.,.,"6,374",0.6,0.3,.,.,0.8,88,13,.,.,101,55,1,.,.,56,88,13,.,.,101,55,1,.,.,56,11.000,5.000,.,.,
2021,1723,"Big Bend Electric Coop, Inc",WA,BPAT,111,95,"2,945",0,"3,150",0.0,0.0,1.0,0.0,1.0,"2,394","1,244","28,428",0,"32,066",0.0,0.0,0.9,0.0,1.0,53,12,389,0,454,20,3,88,0,111,53,12,389,0,454,20,3,88,0,111,21.640,13.120,9.650,0.000,Savings included in the Bonneville Power Administration totals.
2021,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,140,.,.,.,140,1.0,.,.,.,1.0,991,.,.,.,991,1.0,.,.,.,1.0,21,.,.,.,21,0,.,.,.,0,90,.,.,.,90,.,.,.,.,.,7.000,.,.,.,
2021,2008,City of Boulder City - (NV),NV,WALC,178,0,0,0,178,.,0.0,0.0,0.0,0.0,"1,777",0,0,0,"1,777",.,0.0,0.0,0.0,0.0,28,0,0,0,28,.,0,0,0,0,28,0,0,0,28,10,0,0,0,10,15.000,.,.,.,
2021,2089,Bozrah Light & Power Company,CT,ISNE,20,37,.,.,56,0.0,0.0,.,.,0.0,282,482,.,.,764,0.0,0.0,.,.,0.0,104,20,.,.,124,7,12,.,.,19,104,20,.,.,124,7,12,.,.,19,14.400,13.100,.,.,
2021,2285,City of Brookings - (SD),SD,WACM,77,101,339,0,518,0.0,0.0,0.1,0.0,0.2,"1,379","1,234","4,130",0,"6,743",0.0,0.0,0.1,0.0,0.2,12,11,36,0,59,6,5,18,0,30,12,11,36,0,59,6,5,18,0,30,17.841,12.170,12.170,0.000,
2021,2442,City of Bryan - (TX),TX,ERCO,370,"5,171",.,.,"5,541",0.1,1.4,.,.,1.5,"3,698","51,707",.,.,"55,406",0.1,1.0,.,.,1.1,83,157,.,.,240,51,32,.,.,83,83,157,.,.,240,51,32,.,.,83,10.000,10.000,.,.,
2021,2507,City of Burbank Water and Power,CA,LDWP,378,"4,521",0,0,"4,899",0.1,1.1,0.0,0.0,1.2,"5,011","51,870",0,0,"56,880",0.1,1.1,0.0,0.0,1.2,235,464,0,0,699,214,"1,119",0,0,"1,333",235,464,0,0,699,214,"1,119",0,0,"1,333",17.401,11.625,0.000,0.000,https://www.burbankwaterandpower.com/conservation/programreporting
2021,2548,City of Burlington Electric - (VT),VT,ISNE,772,"1,915",0,0,"2,687",0.1,0.3,0.0,0.0,0.3,"11,966","27,768",0,0,"39,734",0.1,0.3,.,.,0.3,456,872,.,.,"1,328",337,532,.,.,869,457,872,.,.,"1,329",337,532,.,.,869,15.500,14.500,.,.,
2021,3046,Duke Energy Progress - (NC),NC,CPLE,"225,484","86,137",.,.,"311,621",63.9,14.6,.,.,78.4,"1,805,521","1,121,551",.,.,"2,927,073",63.9,14.6,.,.,78.4,"22,296","10,474",.,.,"32,771","12,172","6,161",.,.,"18,333","22,296","10,474",.,.,"32,771","12,172","6,161",.,.,"18,333",8.000,13.000,.,.,
2021,3046,Duke Energy Progress - (NC),SC,CPLE,"36,023","13,764",.,.,"49,787",10.2,2.3,.,.,12.5,"288,446","179,176",.,.,"467,622",10.2,2.3,.,.,12.5,"3,562","1,673",.,.,"5,235","1,945",984,.,.,"2,929","3,562","1,673",.,.,"5,235","1,945",984,.,.,"2,929",8.007,13.021,.,.,
2021,3107,Carteret-Craven El Member Corp,NC,CPLE,"2,064",373,.,.,"2,437",0.1,0.0,.,.,0.1,"2,225","6,344",.,.,"8,568",0.1,0.0,.,.,0.1,2,0,.,.,2,301,396,.,.,697,2,0,.,.,2,301,396,.,.,697,1.080,17.000,.,.,
2021,3203,Cedar Falls Utilities,IA,MISO,"1,425",325,187,.,"1,937",0.4,0.1,0.0,.,0.6,"17,787","4,570","1,897",.,"24,254",0.4,0.1,0.0,.,0.6,234,56,23,.,314,254,16,3,.,273,234,56,23,.,314,254,16,3,.,273,13.250,16.060,13.690,.,
2021,3205,Cedar-Knox Public Power Dist,NE,SWPP,80,97,70,.,246,0.0,0.0,0.0,.,0.0,"1,252","1,065",514,.,"2,831",0.0,0.0,0.0,.,0.0,20,6,7,.,33,4,5,4,.,13,20,6,7,.,33,4,5,4,.,13,15.702,11.014,7.366,.,
2021,3240,Central Electric Coop Inc - (OR),OR,BPAT,915,827,511,0,"2,253",0.1,0.1,0.1,0.0,0.3,"136,403","66,580","36,308",0,"239,291",0.1,0.1,0.1,0.0,0.3,484,176,160,0,820,7,0,0,0,7,"2,883",822,500,0,"4,205",31,0,0,0,31,22.350,13.560,8.860,0.000,
2021,3245,"Central Florida Elec Coop, Inc",FL,SEC,165,58,.,.,223,0.0,0.0,.,.,0.0,"2,638",718,.,.,"3,356",0.0,0.0,.,.,0.0,0,0,.,.,0,69,43,.,.,112,0,0,.,.,0,69,43,.,.,112,15.793,12.367,0.000,0.000,
2021,3248,Central Georgia El Member Corp,GA,SOCO,466,.,.,.,466,0.1,.,.,.,0.1,"5,225",.,.,.,"5,225",0.1,.,.,.,0.1,34,.,.,.,34,36,.,.,.,36,34,.,.,.,34,36,.,.,.,36,11.300,.,.,.,
2021,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"51,761","22,641",.,.,"74,402",4.3,4.1,.,.,8.5,"392,866","81,508",.,.,"474,374",4.3,4.1,.,.,8.5,"1,170","7,722",.,.,"8,893",111,625,.,.,736,"1,170","7,722",.,.,"8,893",111,625,.,.,736,7.590,3.600,.,.,
2021,3258,Central Iowa Power Cooperative,IA,MISO,"3,857","16,366",416,.,"20,639",0.4,2.3,0.1,.,2.9,"69,152","257,109","6,240",.,"332,501",0.4,2.3,0.1,.,2.9,"1,213",224,79,.,"1,517",369,68,24,.,462,"1,213",224,79,.,"1,517",369,68,24,.,462,17.930,15.710,15.000,0.000,https://www.cipco.net/sites/default/files/documents/Annual_Reports/cipco_2021AR_layoutW.pdf
2021,3264,Central Lincoln People's Ut Dt,OR,BPAT,"1,790","1,728",298,0,"3,817",0.5,0.1,0.0,0.0,0.6,"35,498","24,847","3,134",0,"63,479",0.5,0.1,0.0,0.0,0.6,814,466,63,0,"1,342",53,51,9,0,114,814,466,63,0,"1,342",53,51,9,0,114,19.831,14.378,10.500,0.000,
2021,3278,AEP Texas Central Company,TX,ERCO,"30,485","42,968",0,0,"73,453",9.3,30.8,0.0,0.0,40.1,"357,847","571,363",0,0,"929,210",9.3,30.8,0.0,0.0,40.1,"7,212","5,345",0,0,"12,557",784,617,0,0,"1,401","7,212","5,345",0,0,"12,557",784,617,0,0,"1,401",11.700,13.300,0.000,0.000,
2021,3287,"Central Valley Elec Coop, Inc",NM,SWPP,93,4,0,0,97,0.0,0.0,0.0,0.0,0.0,115,16,0,0,131,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2,108,0,0,0,108,1,1,0,0,2,108,0,0,0,108,1.230,4.000,0.000,0.000,WWW.CVECOOP.ORG
2021,3295,City of Centralia - (WA),WA,BPAT,38,155,"2,847",0,"3,040",0.0,0.0,0.3,0.0,0.4,567,"2,054","64,102",0,"66,723",0.0,0.0,0.3,0.0,0.3,11,32,210,0,254,0,0,0,0,0,11,32,210,0,254,0,0,0,0,0,15.000,13.220,22.520,0.000,
2021,3400,City of Chaska - (MN),MN,MISO,411,"4,277","2,013",.,"6,701",0.2,0.8,0.0,.,1.1,"4,115","42,771","20,129",.,"67,015",0.2,0.8,0.0,.,1.1,91,311,98,.,500,8,85,40,.,133,91,311,98,.,500,8,85,40,.,133,10.000,10.000,10.000,.,
2021,3413,PUD No 1 of Chelan County,WA,CHPD,"3,086","8,003","6,096",.,"17,184",1.4,1.8,1.2,.,4.4,"91,471","156,455","179,684",.,"427,610",1.4,1.8,1.2,.,4.4,868,"1,896",491,.,"3,255",335,381,1,.,718,868,"1,896",491,.,"3,255",335,381,1,.,718,29.640,19.551,29.477,.,
2021,3461,Cheyenne Light Fuel & Power,WY,WACM,478,"4,251",.,.,"4,729",0.3,0.8,.,.,1.1,"7,170","63,765",.,.,"70,935",0.3,0.8,.,.,1.1,26,292,.,.,318,165,239,.,.,404,26,292,.,.,318,165,239,.,.,404,15.000,15.000,.,.,WY PSC
2021,3477,City of Chicopee - (MA),MA,ISNE,152,526,547,.,"1,225",0.0,0.1,0.1,.,0.3,"1,522","7,891","8,198",.,"17,610",0.0,0.1,0.1,.,0.3,89,88,40,.,217,67,43,20,.,129,89,88,40,.,217,67,43,20,.,129,10.000,15.000,15.000,.,
2021,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,40,0,0,0,40,46.1,0.0,0.0,0.0,46.1,605,0,0,0,605,46.1,0.0,0.0,0.0,46.1,12,0,0,0,12,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,15.000,0.000,0.000,0.000,
2021,3542,Duke Energy Ohio Inc,OH,PJM,251,0,.,.,251,0.0,0.0,.,.,0.0,"1,799",0,.,.,"1,799",0.0,0.0,.,.,0.0,42,0,.,.,42,0,0,.,.,0,42,0,.,.,42,0,0,.,.,0,7.163,.,.,.,
2021,3644,PUD No 1 of Clallam County,WA,BPAT,945,937,102,0,"1,984",0.1,0.1,0.0,0.0,0.2,"15,393","11,742","1,222",0,"28,357",0.1,0.1,0.0,0.0,0.2,305,136,8,0,449,198,73,6,0,277,305,136,8,0,449,198,73,6,0,277,16.287,12.528,12.000,.,
2021,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"40,891","13,622","6,416",0,"60,929",6.5,2.4,1.5,0.0,10.3,"163,564","163,464","64,160",0,"391,188",6.5,2.4,1.5,0.0,10.3,"3,020","1,810",990,0,"5,820","1,709",139,2,0,"1,850","3,020","1,810",990,0,"5,820","1,709",139,2,0,"1,850",4.000,12.000,10.000,0.000,https://www.commerce.wa.gov/growing-the-economy/energy/energy-independence-act/eia-reporting/
2021,3755,Cleveland Electric Illum Co,OH,PJM,"3,075",0,0,0,"3,075",0.4,0.0,0.0,0.0,0.4,"30,653",0,0,0,"30,653",0.4,0.0,0.0,0.0,0.4,"1,775",0,0,0,"1,775",176,0,0,0,176,"1,775",0,0,0,"1,775",176,0,0,0,176,9.969,0.000,0.000,0.000,https://dis.puc.state.oh.us/
2021,3828,Cloverland Electric Co-op,MI,MISO,"1,950","5,443",0,0,"7,393",0.2,0.7,0.0,0.0,0.8,"24,548","50,071",0,0,"74,619",.,.,.,.,.,228,170,0,0,398,333,376,0,0,708,228,170,0,0,398,333,376,0,0,708,12.590,9.200,0.000,0.000,
2021,3841,Coast Electric Power Assn,MS,SOCO,"5,875",60,0,0,"5,935",1.0,0.0,0.0,0.0,1.0,"44,805",898,0,0,"45,703",1.0,0.0,0.0,0.0,1.0,352,10,0,0,362,45,0,0,0,45,352,10,0,0,362,45,0,0,0,45,7.630,15.000,0.000,0.000,
2021,3915,Coldwater Board of Public Util,MI,MISO,66,"1,153",81,0,"1,300",0.0,0.3,0.0,0.0,0.3,462,"11,530",810,0,"12,802",0.0,0.3,0.0,0.0,0.3,19,119,5,0,143,14,82,4,0,100,19,119,5,0,143,14,82,4,0,100,7.000,10.000,10.000,0.000,
2021,3940,City of College Station - (TX),TX,ERCO,856,157,.,.,"1,013",0.7,0.0,.,.,0.7,"11,123","2,040",.,.,"13,163",0.7,0.0,.,.,0.7,273,4,.,.,277,94,26,.,.,120,273,4,.,.,277,94,26,.,.,120,13.000,13.000,.,.,
2021,3989,City of Colorado Springs - (CO),CO,PSCO,964,"8,130",0,0,"9,094",0.7,1.3,0.0,0.0,2.0,"12,121","82,996",0,0,"95,117",0.7,1.3,0.0,0.0,2.0,36,"1,458",0,0,"1,495",207,85,0,0,292,36,"1,458",0,0,"1,495",207,85,0,0,292,12.570,10.210,0.000,0.000,
2021,4003,City of Colton - (CA),CA,CISO,582,"3,495",522,.,"4,599",0.4,0.5,0.1,.,1.0,"6,196","15,394","7,830",.,"29,420",0.4,0.5,0.1,.,1.0,77,97,38,.,212,70,24,45,.,139,77,97,38,.,212,70,24,45,.,139,11.219,17.208,15.000,.,www.coltononline.com
2021,4041,"Columbia Rural Elec Assn, Inc",WA,BPAT,276,25,327,.,628,0.0,0.0,0.0,.,0.1,"3,819",327,"3,167",.,"7,313",0.0,0.0,0.0,.,0.1,124,7,95,.,226,.,.,.,.,.,124,7,95,.,226,.,.,.,.,.,13.850,13.000,9.690,.,
2021,4045,City of Columbia - (MO),MO,MISO,548,"2,918",.,.,"3,466",0.4,0.7,.,.,1.1,"11,508","43,770",.,.,"55,278",0.4,0.7,.,.,1.1,321,170,.,.,491,165,105,.,.,270,321,170,.,.,491,165,105,.,.,270,21.000,15.000,.,.,
2021,4110,Commonwealth Edison Co,IL,PJM,"1,106,579","1,110,552",.,.,"2,217,131",146.0,175.0,.,.,321.0,"11,195,438","12,765,329",.,.,"23,960,767",146.0,175.0,.,.,321.0,"74,215","146,019",.,.,"220,234","37,358","54,782",.,.,"92,140","74,215","146,019",.,.,"220,234","37,358","54,782",.,.,"92,140",9.850,11.420,.,.,
2021,4176,Connecticut Light & Power Co,CT,ISNE,"70,892","137,669","41,122",.,"249,682",11.2,22.4,6.7,.,40.3,"558,308","1,558,649","465,571",.,"2,582,527",11.2,22.4,6.7,.,40.3,"67,620","43,839","13,095",.,"124,554","14,364","4,664","4,721",.,"23,750","67,620","43,839","13,095",.,"124,554","14,364","4,664","4,721",.,"23,750",7.872,11.322,11.322,.,http://www.ctenergydashboard.com
2021,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"554,373","176,367",.,.,"730,740",26.6,33.4,.,.,60.0,"4,594,114","2,020,545",.,.,"6,614,659",.,.,.,.,.,"20,421","58,949",.,.,"79,370","13,209","11,769",.,.,"24,978","25,306","79,133",.,.,"104,439","17,178","13,560",.,.,"30,738",8.290,11.460,.,.,
2021,4254,Consumers Energy Co,MI,MISO,"164,877","360,727","126,742",.,"652,346",14.8,55.5,19.5,.,89.8,"1,014,386","4,680,659","1,644,556",.,"7,339,601",14.8,55.5,19.5,.,89.8,"23,384","43,340","15,228",.,"81,953","21,654","22,399","7,870",.,"51,923","23,384","43,340","15,228",.,"81,953","21,654","22,399","7,870",.,"51,923",6.200,12.400,12.400,.,N/A
2021,4317,"Coos-Curry Electric Coop, Inc",OR,BPAT,285,"1,145",.,.,"1,430",0.0,0.1,.,.,0.2,"5,529","17,673",.,.,"23,202",0.0,0.1,.,.,0.2,131,447,.,.,578,.,.,.,.,.,131,447,.,.,578,.,.,.,.,.,19.380,15.430,.,.,
2021,4363,Corn Belt Power Coop,IA,SWPP,"1,143","1,598",459,.,"3,199",0.2,0.5,0.1,.,0.8,"21,370","14,616","5,971",.,"41,957",0.2,0.5,0.1,.,0.8,185,105,16,.,305,46,27,4,.,78,185,105,16,.,305,46,27,4,.,78,18.703,9.147,13.017,.,
2021,4401,"Cotton Electric Coop, Inc",OK,SWPP,217,.,.,.,217,0.0,.,.,.,0.0,"2,937",.,.,.,"2,937",0.0,.,.,.,0.0,64,.,.,.,64,16,.,.,.,16,64,.,.,.,64,16,.,.,.,16,14.950,.,.,.,
2021,4432,Coweta-Fayette El Member Corp,GA,SOCO,"1,493",24,.,.,"1,516",1.8,0.2,.,.,1.9,"14,925",235,.,.,"15,161",1.8,0.2,.,.,1.9,55,5,.,.,60,246,15,.,.,262,55,5,.,.,60,246,15,.,.,262,10.000,10.000,.,.,
2021,4442,PUD No 1 of Cowlitz County,WA,BPAT,956,"1,019","25,401",.,"27,376",0.1,0.2,2.9,.,3.2,"18,244","13,569","255,190",.,"287,003",0.1,0.2,2.9,.,3.2,537,262,"3,317",.,"4,116",409,167,129,.,706,537,262,"3,317",.,"4,116",409,167,129,.,706,19.074,13.319,10.046,0.000,https://www.cowlitzpud.org/efficiency/conservation-potential-assessment/
2021,4683,City of Cuyahoga Falls - (OH),OH,PJM,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,15.000,0.000,0.000,
2021,4794,City of Danville - (VA),VA,PJM,225,435,229,.,889,0.1,0.2,0.1,.,0.4,"3,458","8,705",807,.,"12,971",0.1,0.2,0.1,.,0.3,59,32,16,.,106,175,5,2,.,181,59,32,16,.,106,175,5,2,.,181,14.000,14.000,14.000,.,
2021,4911,Dawson Power District,NE,SWPP,665,211,"1,679",0,"2,554",0.1,0.0,1.0,0.0,1.2,"11,544","2,321","22,066",0,"35,931",0.1,0.0,1.0,0.0,1.2,193,11,93,0,297,24,3,92,0,119,193,11,93,0,297,24,3,92,0,119,17.364,11.000,13.146,0.000,
2021,5027,Delmarva Power,DE,PJM,"55,688",0,0,0,"55,688",6.0,0.0,0.0,0.0,6.0,"246,103",0,0,0,"246,103",5.9,0.0,0.0,0.0,5.9,453,0,0,0,453,"1,686",0,0,0,"1,686",453,0,0,0,453,"1,686",0,0,0,"1,686",5.000,0.000,0.000,0.000,
2021,5027,Delmarva Power,MD,PJM,"32,053","33,389",0,0,"65,442",6.1,5.0,0.0,0.0,11.1,"141,653","424,636",0,0,"566,289",6.1,5.0,0.0,0.0,11.1,"2,914","9,896",0,0,"12,810","4,481","4,858",0,0,"9,339","2,914","9,896",0,0,"12,810","4,481","4,858",0,0,"9,339",4.400,12.700,0.000,0.000,
2021,5063,City of Denton - (TX),TX,ERCO,352,.,.,.,352,0.3,.,.,.,0.3,"5,286",.,.,.,"5,286",0.3,.,.,.,0.3,98,.,.,.,98,40,.,.,.,40,98,.,.,.,98,40,.,.,.,40,15.000,.,.,.,
2021,5070,Delaware Electric Cooperative,DE,PJM,722,0,.,.,722,22.0,0.0,.,.,22.0,"2,977",2,.,.,"2,979",11.3,0.0,.,.,11.3,224,0,.,.,224,22,"1,630",.,.,"1,652",224,0,.,.,224,22,"1,630",.,.,"1,652",7.800,13.000,.,.,
2021,5109,DTE Electric Company,MI,MISO,"286,302","574,821",.,.,"861,123",50.5,118.4,.,.,168.9,"1,494,912","7,947,319",.,.,"9,442,231",44.4,107.6,.,.,152.0,.,.,.,.,.,"82,492","98,646",.,.,"181,138",.,.,.,.,.,"82,492","98,646",.,.,"181,138",6.420,12.390,.,.,
2021,5175,Dixie Electric Power Assn,MS,MISO,"2,798",.,.,.,"2,798",0.6,.,.,.,0.6,"6,388",.,.,.,"6,388",0.6,.,.,.,0.6,5,.,.,.,5,338,.,.,.,338,5,.,.,.,5,338,.,.,.,338,2.280,.,.,.,
2021,5204,Dixie Electric Coop,AL,SOCO,24,.,.,.,24,.,.,.,.,.,244,.,.,.,244,.,.,.,.,.,6,.,.,.,6,.,.,.,.,.,6,.,.,.,6,.,.,.,.,.,10.000,.,.,.,
