Data Year,Utility Number,Utility Name,State,Ownership,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED Minus LOS,CAIDI Minus MED,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIFI With MED,CAIDI With MED,SAIDI Without MED,SAIFI Without MED,CAIDI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2020,2212,"Broad River Electric Coop, Inc",SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,218.9,.,.,85.3,.,.,22532,N,F,12.5,Y
2020,2247,City of Bristol - (TN),TN,Municipal,91.286,1.645,55.493009,70.435,1.011,69.668645,20.851,0.634,32.888013,33843,69,N,.,.,.,.,.,.,.,,,.,
2020,2248,Bristol Virginia Utilities,VA,Municipal,86.26,0.96,89.854167,59.32,0.868,68.341014,86.26,0.96,89.854167,15894,13.2,Y,.,.,.,.,.,.,.,,,.,
2020,2409,Brownsville Public Utilities Board,TX,Municipal,63.054,1.213,51.981863,24.852,0.706,35.201133,63.054,1.213,51.981863,55884,12.5,N,.,.,.,.,.,.,.,,,.,
2020,2442,City of Bryan - (TX),TX,Municipal,.,.,.,.,.,.,.,.,.,.,.,,19.339,0.228,84.820175,.,.,.,60347,N,F,12.5,Y
2020,2502,"Buckeye Rural Elec Coop, Inc",OH,Cooperative,495.61,2.02,245.35149,495.61,2.02,245.35149,.,.,.,18571,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,2507,City of Burbank Water and Power,CA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,8.58,0.38,22.578947,8.58,0.38,22.578947,52500,N,L,34.5,N
2020,2548,City of Burlington Electric - (VT),VT,Municipal,.,.,.,.,.,.,.,.,.,.,.,,.,1.5,.,.,.,.,21451,N,F,13.8,N
2020,2651,Butler Rural Electric Coop Inc - (OH),OH,Cooperative,199.43,2.2,90.65,88.8,1.23,72.195122,156.82,1.46,107.41096,11499,12,Y,.,.,.,.,.,.,.,,,.,
2020,2652,Butler County Rural Elec Coop - (IA),IA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,66.6,0.55,121.09091,66.6,0.55,121.09091,5066,N,F,12.5,N
2020,2812,City of Calhoun - (GA),GA,Municipal,59.1,0.69,85.652174,59.1,0.69,85.652174,59.1,0.69,85.652174,5505,7.2,N,.,.,.,.,.,.,.,,,.,
2020,2849,Central Electric Power Assn - (MS),MS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,572.64,.,.,351.42,.,.,37431,N,L,24.9,N
2020,2911,"Canadian Valley Elec Coop, Inc",OK,Cooperative,1571.6,2.293,685.39032,177.6,1.328,133.73494,1525.4,1.843,827.67227,26197,24.9,N,.,.,.,.,.,.,.,,,.,
2020,2960,"Caney Fork Electric Coop, Inc",TN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,786.6,.,.,237,.,.,33366,N,L,26,N
2020,2985,"Capital Electric Coop, Inc",ND,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,28.9,0.376,76.861702,28.9,0.376,76.861702,21182,N,F,7.2,Y
2020,3046,Duke Energy Progress - (NC),NC,Investor Owned,429.29,1.97,217.91371,147.27,1.36,108.28676,410.55,1.79,229.35754,1447257,34.5,Y,.,.,.,.,.,.,.,,,.,
2020,3046,Duke Energy Progress - (NC),SC,Investor Owned,189.85,1.66,114.36747,130.48,1.38,94.550725,172.73,1.51,114.39073,170901,23,Y,.,.,.,.,.,.,.,,,.,
2020,3081,Carroll Electric Member Corp - (GA),GA,Cooperative,1098.1,2.643,415.47484,108.21,1.313,82.414318,1097.42,.,.,52459,25.9,Y,.,.,.,.,.,.,.,,,.,
2020,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,110.17,1.51,72.960265,110.17,1.51,72.960265,110.17,1.51,72.960265,93434,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3093,Carroll Electric Coop Corp - (AR),MO,Cooperative,110.32,1.29,85.51938,110.32,1.29,85.51938,110.32,1.29,85.51938,11097,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3113,City of Carthage - (MO),MO,Municipal,21.437,0.882,24.304989,19.382,0.523,37.059273,.,.,.,7792,13.2,Y,.,.,.,.,.,.,.,,,.,
2020,3203,Cedar Falls Utilities,IA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,18.254,0.245,74.506122,.,.,.,19377,N,L,12.5,N
2020,3208,Cedarburg Light & Water Comm,WI,Municipal,.,.,.,.,.,.,.,.,.,.,.,,35.85,0.04,896.25,.,.,.,6660,N,F,24.9,N
2020,3222,Central Alabama Electric Coop,AL,Cooperative,4386.83,.,.,202.56,.,.,4365.39,.,.,43552,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3226,"Central Rural Electric Cooperative, Inc",OK,Cooperative,2296.62,2.976,771.71371,545.03,1.844,295.56941,2269.02,2.742,827.50547,22083,25,Y,.,.,.,.,.,.,.,,,.,
2020,3245,"Central Florida Elec Coop, Inc",FL,Cooperative,317.7,4.23,75.106383,196.7,3.39,58.023599,303.67,4.058,74.83243,34255,25,Y,.,.,.,.,.,.,.,,,.,
2020,3248,Central Georgia El Member Corp,GA,Cooperative,106.334,1.337,79.531788,87.003,1.126,77.267318,105.079,1.275,82.414902,58512,25,Y,.,.,.,.,.,.,.,,,.,
2020,3249,Central Hudson Gas & Elec Corp,NY,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,922.8,2.15,429.2093,183.6,1.29,142.32558,309262,N,F,34.5,N
2020,3250,Central Electric Membership Corp. - (NC),NC,Cooperative,263.382,.,.,108.525,.,.,263.382,.,.,23394,25,Y,.,.,.,.,.,.,.,,,.,
2020,3264,Central Lincoln People's Ut Dt,OR,Political Subdivision,331.738,1.336,248.30689,.,.,.,.,.,.,40054,12,Y,.,.,.,.,.,.,.,,,.,
2020,3265,Cleco Power LLC,LA,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,172.2,1.7,101.29412,161.4,1.7,94.941176,288328,N,F,34.5,Y
2020,3266,Central Maine Power Co,ME,Investor Owned,1774.8,3.74,474.54545,220.8,2.04,108.23529,1774.8,3.74,474.54545,651000,34.5,N,.,.,.,.,.,.,.,,,.,
2020,3268,Central Missouri Elec Coop Inc,MO,Cooperative,93.2,0.999,93.293293,93.2,.,.,92.9,.,.,10981,25,N,.,.,.,.,.,.,.,,,.,
2020,3273,"Central New Mexico El Coop, Inc",NM,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,498.06,3.4,146.48824,302.7,2.1,144.14286,18428,N,F,25,Y
2020,3278,AEP Texas Central Company,TX,Investor Owned,515.6,1.882,273.96387,170.1,1.474,115.40027,495.2,1.784,277.57848,869844,35,Y,.,.,.,.,.,.,.,,,.,
2020,3282,"Central Texas Elec Coop, Inc",TX,Cooperative,132.4,1.32,100.30303,106.3,1.24,85.725806,122.1,1.05,116.28571,43207,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3287,"Central Valley Elec Coop, Inc",NM,Cooperative,244.8,1.925,127.16883,181.463,1.689,107.43813,241.954,1.663,145.49248,14968,25,Y,.,.,.,.,.,.,.,,,.,
2020,3291,Central Virginia Electric Coop,VA,Cooperative,507,3.17,159.93691,322,2.32,138.7931,263,2.6,101.15385,37471,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3295,City of Centralia - (WA),WA,Municipal,76.781,0.451,170.24612,76.781,0.451,170.24612,76.781,0.451,170.24612,10418,12.5,N,.,.,.,.,.,.,.,,,.,
2020,3329,Borough of Chambersburg,PA,Municipal,14.066,0.351,40.074074,14.066,0.351,40.074074,.,.,.,11187,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3355,City of Chanute,KS,Municipal,.,.,.,.,.,.,.,.,.,.,.,,89.8,1.04,86.346154,5.1,0.05,102,5610,N,L,12.5,N
2020,3400,City of Chaska - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,8.814,0.12,73.45,.,.,.,10618,Y,F,8,N
2020,3408,City of Chattanooga - (TN),TN,Municipal,1192,1.47,810.88435,86,0.71,121.12676,.,.,.,187516,46,Y,.,.,.,.,.,.,.,,,.,
2020,3413,PUD No 1 of Chelan County,WA,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,55.451,0.306,181.21242,.,.,.,52044,N,F,12.5,N
2020,3436,Cherryland Electric Coop Inc,MI,Cooperative,107.2,0.78,137.4359,70.94,0.62,114.41935,107.2,0.78,137.4359,36919,15,Y,.,.,.,.,.,.,.,,,.,
2020,3461,Cheyenne Light Fuel & Power d/b/a Black,WY,Investor Owned,272.221,2.403,113.28381,31.787,0.511,62.205479,272.11,2.401,113.33195,43762,35,Y,.,.,.,.,.,.,.,,,.,
2020,3470,Cherokee County Elec Coop Assn,TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,390,2.39,163.17992,.,.,.,21375,N,L,25,Y
2020,3477,City of Chicopee - (MA),MA,Municipal,226.16,0.381,593.5958,.,.,.,.,.,.,25982,13.8,Y,.,.,.,.,.,.,.,,,.,
2020,3478,Cimarron Electric Coop,OK,Cooperative,2843.2,2.447,1161.9125,58.5,0.505,115.84158,2839.1,2.42,1173.1818,18307,24.9,N,.,.,.,.,.,.,.,,,.,
2020,3502,"Choctawhatche Elec Coop, Inc",FL,Cooperative,259.216,1.89,137.15132,69.95,1.12,62.455357,248.463,1.678,148.07092,54917,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3503,"Choptank Electric Cooperative, Inc",MD,Cooperative,225.6,1.55,145.54839,88,1.04,84.615385,81.5,0.81,100.61728,55188,25,Y,.,.,.,.,.,.,.,,,.,
2020,3522,Chugach Electric Assn Inc,AK,Cooperative,113.02,0.86,131.4186,.,.,.,.,.,.,89624,.,Y,.,.,.,.,.,.,.,,,.,
2020,3527,Choctaw Electric Coop Inc,OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,1066.6,4.046,263.61839,.,.,.,19401,N,F,14.4,N
2020,3542,Duke Energy Ohio Inc,OH,Investor Owned,211.93,1.13,187.54867,106.41,0.92,115.66304,196.61,0.95,206.95789,761530,34.5,Y,.,.,.,.,.,.,.,,,.,
2020,3597,Citizens Electric Co - (PA),PA,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,181.013,1.271,142.41778,6.905,0.08,86.3125,7045,N,F,12.5,N
2020,3600,Citizens Electric Corporation - (MO),MO,Cooperative,72.616,0.748,97.080214,72.616,0.748,97.080214,72.616,0.748,97.080214,27321,13.2,Y,.,.,.,.,.,.,.,,,.,
2020,3644,PUD No 1 of Clallam County,WA,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,250,0.98,255.10204,102,0.49,208.16327,32407,N,L,34,Y
2020,3647,City of Claremore,OK,Municipal,294.206,3.134,93.875558,95.728,2.124,45.06968,.,.,.,12598,13.2,N,.,.,.,.,.,.,.,,,.,
2020,3660,PUD No 1 of Clark County - (WA),WA,Political Subdivision,120.75,0.726,166.32231,41.07,0.536,76.623134,118.72,0.665,178.52632,213948,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3687,Clark Energy Coop Inc - (KY),KY,Cooperative,221.546,1.632,135.75123,176.307,1.456,121.08997,208.251,1.422,146.44937,26921,25,Y,.,.,.,.,.,.,.,,,.,
2020,3704,City of Clarksville - (TN),TN,Municipal,189.72,1.91,99.329843,99.22,1.27,78.125984,.,.,.,71788,12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3712,Clay County Electric Coop Corp,AR,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,233.271,2.249,103.7221,232.855,2.243,103.81409,12695,N,L,14.4,Y
2020,3712,Clay County Electric Coop Corp,MO,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,6.4,0.566,11.30742,6.4,0.566,11.30742,53,N,L,14.4,Y
2020,3755,Cleveland Electric Illum Co,OH,Investor Owned,543.145,1.575,344.85397,114.163,0.972,117.45165,498.588,1.374,362.87336,735260,36,Y,.,.,.,.,.,.,.,,,.,
2020,3757,"Clay Electric Cooperative, Inc",FL,Cooperative,683,4.76,143.48739,264.5,3.25,81.384615,576.15,3.41,168.95894,179311,25,N,.,.,.,.,.,.,.,,,.,
2020,3758,City of Cleveland - (TN),TN,Municipal,131.53,2.051,64.129693,68.076,0.98,69.465306,131.53,2.051,64.129693,32163,13.2,N,.,.,.,.,.,.,.,,,.,
2020,3762,City of Cleveland - (OH),OH,Municipal,145.101,1.307,111.01836,145.101,1.307,111.01836,.,.,.,74400,13.8,Y,.,.,.,.,.,.,.,,,.,
2020,3812,City of Clinton - (TN),TN,Municipal,103.9,1.291,80.480248,102.6,1.281,80.093677,103.5,1.22,84.836066,29472,13,Y,.,.,.,.,.,.,.,,,.,
2020,3828,Cloverland Electric Co-op,MI,Cooperative,437.3,2.76,158.44203,334.8,2.68,124.92537,418.7,2.54,164.84252,43156,24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3841,Coast Electric Power Assn,MS,Cooperative,4385.07,3.34,1312.8952,84.05,1.18,71.228814,4385.07,3.34,1312.8952,84605,14.4,Y,.,.,.,.,.,.,.,,,.,
2020,3843,Coastal Electric Member Corp,GA,Cooperative,296.6,2.31,128.39827,129.9,1.7,76.411765,296.6,2.31,128.39827,20850,25,Y,.,.,.,.,.,.,.,,,.,
2020,3855,Columbia Power System,TN,Municipal,988.586,2.848,347.11587,875.42,2.662,328.858,.,.,.,31769,15,Y,.,.,.,.,.,.,.,,,.,
2020,3892,City of Coffeyville - (KS),KS,Municipal,8.352,0.075,111.36,8.352,0.075,111.36,.,.,.,6072,69,N,.,.,.,.,.,.,.,,,.,
2020,3915,Coldwater Board of Public Util,MI,Municipal,159.098,1.096,145.16241,34.153,0.307,111.24756,159.098,1.096,145.16241,7009,13.8,Y,.,.,.,.,.,.,.,,,.,
2020,3916,Cobb Electric Membership Corp,GA,Cooperative,375.61,0.82,458.06098,33.8,0.49,68.979592,375.61,0.82,458.06098,208161,20,Y,.,.,.,.,.,.,.,,,.,
2020,3940,City of College Station - (TX),TX,Municipal,48,0.719,66.759388,34.5,0.511,67.514677,48,0.719,66.759388,43830,15,Y,.,.,.,.,.,.,.,,,.,
2020,3989,City of Colorado Springs - (CO),CO,Municipal,53.85,0.93,57.903226,53.85,0.93,57.903226,53.85,0.93,57.903226,265723,34.5,Y,.,.,.,.,.,.,.,,,.,
