|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|IEEE Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.All Events (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.All Events (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard.Without Major Event Days.SAIDI (minutes per year)|,|IEEE Standard.Without Major Event Days.SAIFI (times per year)|,|IEEE Standard.Without Major Event Days.CAIDI (minutes per interruption)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIDI (minutes per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).SAIFI (times per year)|,|IEEE Standard.Loss of Supply Removed (With Major Event Days).CAIDI (minutes per interruption)|,|IEEE Standard...Number of Customers|,|IEEE Standard...Highest Dist. Voltage|,|IEEE Standard...Outages Recorded Automatically|,|Other Standard.All Events (With Major Event Days).SAIDI (minutes per year)|,|Other Standard.All Events (With Major Event Days).SAIFI (times per year)|,|Other Standard.All Events (With Major Event Days).CAIDI With MED|,|Other Standard.Without Major Event Days.SAIDI (minutes per year)|,|Other Standard.Without Major Event Days.SAIFI (times per year)|,|Other Standard.Without Major Event Days.CAIDI Without MED|,|Other Standard...Number of Customers|,|Other Standard...Inactive Accounts Included|,|Other Standard...Momentary Interruptions|,|Other Standard...Highest Dist. Voltage|,|..Outages Recorded Automatically|
2020,276,Alcorn County Elec Power Assn,MS,Cooperative,90.600,0.821,110.353,90.600,0.821,110.353,90.600,0.821,110.353,"18,872",13.1,N,.,.,.,.,.,.,.,,,.,
2020,295,City of Alexandria - (MN),MN,Municipal,12.000,0.400,30.000,.,.,.,.,.,.,"10,263",13.2,N,.,.,.,.,.,.,.,,,.,
2020,296,"Alfalfa Electric Coop, Inc",KS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,76.214,0.883,86.313,40.496,0.774,52.320,912,N,O,14.4,Y
2020,296,"Alfalfa Electric Coop, Inc",OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,132.665,1.254,105.793,58.170,0.911,63.853,"7,580",N,O,14.4,Y
2020,305,Alger-Delta Coop Electric Assn,MI,Cooperative,166.200,0.930,178.710,165.800,0.928,178.664,160.500,0.885,181.356,"10,181",34.5,Y,.,.,.,.,.,.,.,,,.,
2020,392,Alpena Power Co,MI,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,213.500,1.100,194.091,89.200,0.900,99.111,"16,488",N,L,13.2,N
2020,407,Altamaha Electric Member Corp,GA,Cooperative,149.600,1.770,84.520,149.200,1.770,84.294,138.300,1.490,92.819,"24,069",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,554,City of Ames - (IA),IA,Municipal,"2,136.950",1.770,"1,207.316",34.730,0.350,99.229,"2,134.330",1.750,"1,219.617","27,187",13.8,N,.,.,.,.,.,.,.,,,.,
2020,562,Amicalola Electric Member Corp,GA,Cooperative,"2,965.270",4.990,594.242,521.090,3.420,152.366,"2,951.580",4.840,609.831,"50,384",25.0,N,.,.,.,.,.,.,.,,,.,
2020,590,City of Anaheim - (CA),CA,Municipal,26.350,0.390,67.564,26.350,0.390,67.564,26.350,0.390,67.564,"122,506",12.0,Y,.,.,.,.,.,.,.,,,.,
2020,599,Anchorage Municipal Light and Power,AK,Municipal,68.685,0.271,253.450,18.141,0.110,164.918,18.141,0.110,164.918,"31,159",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,636,City of Anderson - (IN),IN,Municipal,380.490,1.817,209.406,144.440,1.096,131.788,380.490,1.817,209.406,"34,037",13.2,Y,.,.,.,.,.,.,.,,,.,
2020,689,Connexus Energy,MN,Cooperative,29.629,0.428,69.227,26.773,0.403,66.434,26.848,0.315,85.232,"136,975",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,691,City of Anoka,MN,Municipal,33.610,0.550,61.109,33.610,0.550,61.109,33.610,0.550,61.109,"12,244",12.5,N,.,.,.,.,.,.,.,,,.,
2020,727,Appalachian Electric Coop,TN,Cooperative,291.611,3.133,93.077,225.192,2.842,79.237,284.938,2.992,95.233,"47,373",13.8,Y,.,.,.,.,.,.,.,,,.,
2020,733,Appalachian Power Co,VA,Investor Owned,390.400,1.674,233.214,310.200,1.510,205.430,369.400,1.575,234.540,"538,541",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,733,Appalachian Power Co,WV,Investor Owned,818.800,2.839,288.411,618.200,2.517,245.610,774.800,2.592,298.920,"423,326",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,803,Arizona Public Service Co,AZ,Investor Owned,84.470,0.860,98.221,78.600,0.850,92.471,79.910,0.810,98.654,"1,285,518",69.0,N,.,.,.,.,.,.,.,,,.,
2020,814,Entergy Arkansas LLC,AR,Investor Owned,"1,190.500",2.099,567.175,270.100,1.522,177.464,"1,149.000",1.941,591.963,"732,299",34.5,Y,.,.,.,.,.,.,.,,,.,
2020,817,Arkansas Valley Elec Coop Corp,AR,Cooperative,321.600,2.650,121.358,268.800,2.400,112.000,248.400,2.130,116.620,"56,196",14.4,Y,.,.,.,.,.,.,.,,,.,
2020,817,Arkansas Valley Elec Coop Corp,OK,Cooperative,642.600,3.940,163.096,369.600,3.190,115.862,547.200,2.860,191.329,"4,619",7.2,Y,.,.,.,.,.,.,.,,,.,
2020,963,Atlantic City Electric Co,NJ,Investor Owned,552.000,1.470,375.510,68.000,0.810,83.951,552.000,1.470,375.510,"559,755",69.0,Y,.,.,.,.,.,.,.,,,.,
2020,1009,City of Austin - (MN),MN,Municipal,8.868,0.183,48.459,.,.,.,.,.,.,"11,751",13.8,N,.,.,.,.,.,.,.,,,.,
2020,1015,Austin Energy,TX,Municipal,54.270,0.680,79.809,54.270,0.680,79.809,50.650,0.630,80.397,"500,167",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,1050,City of Azusa,CA,Municipal,.,.,.,26.238,0.201,130.537,.,.,.,"16,988",12.0,N,.,.,.,.,.,.,.,,,.,
2020,1149,Baldwin County El Member Corp,AL,Cooperative,"7,048.723",4.556,"1,547.130",94.739,1.107,85.582,"7,046.719",4.554,"1,547.369","79,778",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1167,Baltimore Gas & Electric Co,MD,Investor Owned,117.710,0.959,122.742,77.901,0.776,100.388,117.211,0.943,124.296,"1,304,427",34.0,Y,.,.,.,.,.,.,.,,,.,
2020,1175,"Bandera Electric Coop, Inc",TX,Cooperative,181.409,0.770,235.596,40.305,0.410,98.305,178.670,0.704,253.793,"37,882",24.0,Y,.,.,.,.,.,.,.,,,.,
2020,1179,Versant Power,ME,Investor Owned,"1,602.000",4.105,390.256,319.000,2.404,132.696,"1,584.000",3.972,398.792,"176,818",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,1251,Barron Electric Coop,WI,Cooperative,282.900,1.676,168.795,209.930,1.474,142.422,282.900,1.676,168.795,"19,159",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1273,"Bartlett Electric Coop, Inc",TX,Cooperative,128.040,1.440,88.917,27.190,0.270,100.704,122.010,1.390,87.777,"12,365",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,1283,Bartholomew County Rural E M C,IN,Cooperative,167.070,1.170,142.795,40.730,0.430,94.721,166.980,1.050,159.029,"11,710",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1300,City of Bartow - (FL),FL,Municipal,.,.,.,.,.,.,.,.,.,.,.,,91.570,0.892,102.657,.,.,.,"12,377",N,L,35.0,N
2020,1366,City of Bay City - (MI),MI,Municipal,164.324,1.027,160.004,99.429,0.633,157.076,164.324,1.027,160.004,"21,000",8.3,Y,.,.,.,.,.,.,.,,,.,
2020,1456,Town of Bedford - (VA),VA,Municipal,331.376,1.379,240.302,146.782,.,.,146.782,.,.,"6,723",69.0,N,.,.,.,.,.,.,.,,,.,
2020,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,849.000,5.160,164.535,642.600,4.180,153.732,"43,461",N,F,24.9,Y
2020,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,.,.,.,127.940,1.601,79.913,.,.,.,"21,230",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,1579,PUD No 1 of Benton County,WA,Political Subdivision,88.500,0.650,136.154,67.700,0.580,116.724,.,.,.,"54,440",34.5,Y,.,.,.,.,.,.,.,,,.,
2020,1591,"Big Country Electric Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,792.000,.,.,.,.,.,"13,128",N,L,69.0,Y
2020,1613,Berkeley Electric Coop Inc,SC,Cooperative,316.000,1.690,186.982,116.100,1.270,91.417,305.800,1.540,198.571,"108,006",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,1625,Benton Rural Electric Assn,WA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,200.044,1.971,101.494,.,.,.,"15,019",N,L,34.5,N
2020,1708,Big Sandy Rural Elec Coop Corp,KY,Cooperative,737.000,3.740,197.059,680.780,3.620,188.061,737.000,3.740,197.059,"12,688",13.2,Y,.,.,.,.,.,.,.,,,.,
2020,1723,"Big Bend Electric Coop, Inc",WA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,163.800,1.190,137.647,141.590,1.120,126.420,"9,582",N,O,24.9,N
2020,1763,"Black River Electric Coop, Inc - (SC)",SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,101.660,1.110,91.586,87.450,0.971,90.062,"32,900",N,L,1.5,Y
2020,1769,"Black Hills Electric Coop, Inc",SD,Cooperative,222.649,1.162,191.608,222.649,1.162,191.608,187.439,0.803,233.423,"10,387",.,Y,.,.,.,.,.,.,.,,,.,
2020,1775,Black River Electric Coop - (MO),MO,Cooperative,351.580,.,.,351.580,.,.,335.160,.,.,"24,581",14.4,Y,.,.,.,.,.,.,.,,,.,
2020,1884,BENCO Electric Cooperative,MN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,142.669,1.392,102.492,113.717,1.170,97.194,"18,981",N,L,14.7,Y
2020,1886,Blue Grass Energy Coop Corp,KY,Cooperative,194.671,1.261,154.378,95.856,0.961,99.746,191.959,1.159,165.625,"58,829",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,1889,Blue Ridge Elec Member Corp - (NC),NC,Cooperative,75.430,1.020,73.951,69.440,0.970,71.588,75.430,1.020,73.951,"76,487",15.0,Y,.,.,.,.,.,.,.,,,.,
2020,1890,Blue Ridge Electric Coop Inc - (SC),SC,Cooperative,186.740,.,.,162.920,.,.,29.630,.,.,"67,589",7.2,N,.,.,.,.,.,.,.,,,.,
2020,1892,"Bluebonnet Electric Coop, Inc",TX,Cooperative,151.198,1.125,134.398,78.525,0.885,88.729,137.273,0.929,147.764,"108,894",14.4,N,.,.,.,.,.,.,.,,,.,
2020,1936,Bolivar Energy Authority,TN,Municipal,78.260,1.000,78.260,36.260,0.660,54.939,78.260,1.000,78.260,"11,248",12.5,N,.,.,.,.,.,.,.,,,.,
2020,2001,Boone Electric Coop,MO,Cooperative,106.790,1.290,82.783,51.870,0.890,58.281,96.200,1.080,89.074,"33,344",13.2,Y,.,.,.,.,.,.,.,,,.,
2020,2049,"Bowie-Cass Electric Coop, Inc",TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,923.350,.,.,424.970,.,.,"37,934",N,O,12.5,Y
2020,2054,City of Bowling Green - (OH),OH,Municipal,54.943,0.918,59.851,5.856,0.063,92.952,.,.,.,"14,770",12.5,N,.,.,.,.,.,.,.,,,.,
2020,2056,City of Bowling Green - (KY),KY,Municipal,112.046,0.738,151.824,31.827,0.520,61.206,112.046,0.738,151.824,"31,078",13.0,N,.,.,.,.,.,.,.,,,.,
2020,2089,Bozrah Light & Power Company,CT,Municipal,"1,320.760",1.650,800.461,52.470,0.700,74.957,"1,320.760",1.650,800.461,"2,769",13.8,Y,.,.,.,.,.,.,.,,,.,
2020,2144,Town of Braintree - (MA),MA,Municipal,3.930,0.040,98.250,3.930,0.040,98.250,3.930,0.040,98.250,"16,924",13.8,N,.,.,.,.,.,.,.,,,.,
2020,2212,"Broad River Electric Coop, Inc",SC,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,218.900,.,.,85.300,.,.,"22,532",N,F,12.5,Y
2020,2247,City of Bristol - (TN),TN,Municipal,91.286,1.645,55.493,70.435,1.011,69.669,20.851,0.634,32.888,"33,843",69.0,N,.,.,.,.,.,.,.,,,.,
2020,2248,Bristol Virginia Utilities,VA,Municipal,86.260,0.960,89.854,59.320,0.868,68.341,86.260,0.960,89.854,"15,894",13.2,Y,.,.,.,.,.,.,.,,,.,
2020,2409,Brownsville Public Utilities Board,TX,Municipal,63.054,1.213,51.982,24.852,0.706,35.201,63.054,1.213,51.982,"55,884",12.5,N,.,.,.,.,.,.,.,,,.,
2020,2442,City of Bryan - (TX),TX,Municipal,.,.,.,.,.,.,.,.,.,.,.,,19.339,0.228,84.820,.,.,.,"60,347",N,F,12.5,Y
2020,2502,"Buckeye Rural Elec Coop, Inc",OH,Cooperative,495.610,2.020,245.351,495.610,2.020,245.351,.,.,.,"18,571",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,2507,City of Burbank Water and Power,CA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,8.580,0.380,22.579,8.580,0.380,22.579,"52,500",N,L,34.5,N
2020,2548,City of Burlington Electric - (VT),VT,Municipal,.,.,.,.,.,.,.,.,.,.,.,,.,1.500,.,.,.,.,"21,451",N,F,13.8,N
2020,2651,Butler Rural Electric Coop Inc - (OH),OH,Cooperative,199.430,2.200,90.650,88.800,1.230,72.195,156.820,1.460,107.411,"11,499",12.0,Y,.,.,.,.,.,.,.,,,.,
2020,2652,Butler County Rural Elec Coop - (IA),IA,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,66.600,0.550,121.091,66.600,0.550,121.091,"5,066",N,F,12.5,N
2020,2812,City of Calhoun - (GA),GA,Municipal,59.100,0.690,85.652,59.100,0.690,85.652,59.100,0.690,85.652,"5,505",7.2,N,.,.,.,.,.,.,.,,,.,
2020,2849,Central Electric Power Assn - (MS),MS,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,572.640,.,.,351.420,.,.,"37,431",N,L,24.9,N
2020,2911,"Canadian Valley Elec Coop, Inc",OK,Cooperative,"1,571.600",2.293,685.390,177.600,1.328,133.735,"1,525.400",1.843,827.672,"26,197",24.9,N,.,.,.,.,.,.,.,,,.,
2020,2960,"Caney Fork Electric Coop, Inc",TN,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,786.600,.,.,237.000,.,.,"33,366",N,L,26.0,N
2020,2985,"Capital Electric Coop, Inc",ND,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,28.900,0.376,76.862,28.900,0.376,76.862,"21,182",N,F,7.2,Y
2020,3046,Duke Energy Progress - (NC),NC,Investor Owned,429.290,1.970,217.914,147.270,1.360,108.287,410.550,1.790,229.358,"1,447,257",34.5,Y,.,.,.,.,.,.,.,,,.,
2020,3046,Duke Energy Progress - (NC),SC,Investor Owned,189.850,1.660,114.367,130.480,1.380,94.551,172.730,1.510,114.391,"170,901",23.0,Y,.,.,.,.,.,.,.,,,.,
2020,3081,Carroll Electric Member Corp - (GA),GA,Cooperative,"1,098.100",2.643,415.475,108.210,1.313,82.414,"1,097.420",.,.,"52,459",25.9,Y,.,.,.,.,.,.,.,,,.,
2020,3093,Carroll Electric Coop Corp - (AR),AR,Cooperative,110.170,1.510,72.960,110.170,1.510,72.960,110.170,1.510,72.960,"93,434",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3093,Carroll Electric Coop Corp - (AR),MO,Cooperative,110.320,1.290,85.519,110.320,1.290,85.519,110.320,1.290,85.519,"11,097",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3113,City of Carthage - (MO),MO,Municipal,21.437,0.882,24.305,19.382,0.523,37.059,.,.,.,"7,792",13.2,Y,.,.,.,.,.,.,.,,,.,
2020,3203,Cedar Falls Utilities,IA,Municipal,.,.,.,.,.,.,.,.,.,.,.,,18.254,0.245,74.506,.,.,.,"19,377",N,L,12.5,N
2020,3208,Cedarburg Light & Water Comm,WI,Municipal,.,.,.,.,.,.,.,.,.,.,.,,35.850,0.040,896.250,.,.,.,"6,660",N,F,24.9,N
2020,3222,Central Alabama Electric Coop,AL,Cooperative,"4,386.830",.,.,202.560,.,.,"4,365.390",.,.,"43,552",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3226,"Central Rural Electric Cooperative, Inc",OK,Cooperative,"2,296.620",2.976,771.714,545.030,1.844,295.569,"2,269.020",2.742,827.505,"22,083",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3245,"Central Florida Elec Coop, Inc",FL,Cooperative,317.700,4.230,75.106,196.700,3.390,58.024,303.670,4.058,74.832,"34,255",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3248,Central Georgia El Member Corp,GA,Cooperative,106.334,1.337,79.532,87.003,1.126,77.267,105.079,1.275,82.415,"58,512",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3249,Central Hudson Gas & Elec Corp,NY,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,922.800,2.150,429.209,183.600,1.290,142.326,"309,262",N,F,34.5,N
2020,3250,Central Electric Membership Corp. - (NC),NC,Cooperative,263.382,.,.,108.525,.,.,263.382,.,.,"23,394",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3264,Central Lincoln People's Ut Dt,OR,Political Subdivision,331.738,1.336,248.307,.,.,.,.,.,.,"40,054",12.0,Y,.,.,.,.,.,.,.,,,.,
2020,3265,Cleco Power LLC,LA,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,172.200,1.700,101.294,161.400,1.700,94.941,"288,328",N,F,34.5,Y
2020,3266,Central Maine Power Co,ME,Investor Owned,"1,774.800",3.740,474.545,220.800,2.040,108.235,"1,774.800",3.740,474.545,"651,000",34.5,N,.,.,.,.,.,.,.,,,.,
2020,3268,Central Missouri Elec Coop Inc,MO,Cooperative,93.200,0.999,93.293,93.200,.,.,92.900,.,.,"10,981",25.0,N,.,.,.,.,.,.,.,,,.,
2020,3273,"Central New Mexico El Coop, Inc",NM,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,498.060,3.400,146.488,302.700,2.100,144.143,"18,428",N,F,25.0,Y
2020,3278,AEP Texas Central Company,TX,Investor Owned,515.600,1.882,273.964,170.100,1.474,115.400,495.200,1.784,277.578,"869,844",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,3282,"Central Texas Elec Coop, Inc",TX,Cooperative,132.400,1.320,100.303,106.300,1.240,85.726,122.100,1.050,116.286,"43,207",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3287,"Central Valley Elec Coop, Inc",NM,Cooperative,244.800,1.925,127.169,181.463,1.689,107.438,241.954,1.663,145.492,"14,968",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3291,Central Virginia Electric Coop,VA,Cooperative,507.000,3.170,159.937,322.000,2.320,138.793,263.000,2.600,101.154,"37,471",24.9,Y,.,.,.,.,.,.,.,,,.,
2020,3295,City of Centralia - (WA),WA,Municipal,76.781,0.451,170.246,76.781,0.451,170.246,76.781,0.451,170.246,"10,418",12.5,N,.,.,.,.,.,.,.,,,.,
2020,3329,Borough of Chambersburg,PA,Municipal,14.066,0.351,40.074,14.066,0.351,40.074,.,.,.,"11,187",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3355,City of Chanute,KS,Municipal,.,.,.,.,.,.,.,.,.,.,.,,89.800,1.040,86.346,5.100,0.050,102.000,"5,610",N,L,12.5,N
2020,3400,City of Chaska - (MN),MN,Municipal,.,.,.,.,.,.,.,.,.,.,.,,8.814,0.120,73.450,.,.,.,"10,618",Y,F,8.0,N
2020,3408,City of Chattanooga - (TN),TN,Municipal,"1,192.000",1.470,810.884,86.000,0.710,121.127,.,.,.,"187,516",46.0,Y,.,.,.,.,.,.,.,,,.,
2020,3413,PUD No 1 of Chelan County,WA,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,55.451,0.306,181.212,.,.,.,"52,044",N,F,12.5,N
2020,3436,Cherryland Electric Coop Inc,MI,Cooperative,107.200,0.780,137.436,70.940,0.620,114.419,107.200,0.780,137.436,"36,919",15.0,Y,.,.,.,.,.,.,.,,,.,
2020,3461,Cheyenne Light Fuel & Power d/b/a Black,WY,Investor Owned,272.221,2.403,113.284,31.787,0.511,62.205,272.110,2.401,113.332,"43,762",35.0,Y,.,.,.,.,.,.,.,,,.,
2020,3470,Cherokee County Elec Coop Assn,TX,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,390.000,2.390,163.180,.,.,.,"21,375",N,L,25.0,Y
2020,3477,City of Chicopee - (MA),MA,Municipal,226.160,0.381,593.596,.,.,.,.,.,.,"25,982",13.8,Y,.,.,.,.,.,.,.,,,.,
2020,3478,Cimarron Electric Coop,OK,Cooperative,"2,843.200",2.447,"1,161.913",58.500,0.505,115.842,"2,839.100",2.420,"1,173.182","18,307",24.9,N,.,.,.,.,.,.,.,,,.,
2020,3502,"Choctawhatche Elec Coop, Inc",FL,Cooperative,259.216,1.890,137.151,69.950,1.120,62.455,248.463,1.678,148.071,"54,917",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3503,"Choptank Electric Cooperative, Inc",MD,Cooperative,225.600,1.550,145.548,88.000,1.040,84.615,81.500,0.810,100.617,"55,188",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3522,Chugach Electric Assn Inc,AK,Cooperative,113.020,0.860,131.419,.,.,.,.,.,.,"89,624",.,Y,.,.,.,.,.,.,.,,,.,
2020,3527,Choctaw Electric Coop Inc,OK,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,"1,066.600",4.046,263.618,.,.,.,"19,401",N,F,14.4,N
2020,3542,Duke Energy Ohio Inc,OH,Investor Owned,211.930,1.130,187.549,106.410,0.920,115.663,196.610,0.950,206.958,"761,530",34.5,Y,.,.,.,.,.,.,.,,,.,
2020,3597,Citizens Electric Co - (PA),PA,Investor Owned,.,.,.,.,.,.,.,.,.,.,.,,181.013,1.271,142.418,6.905,0.080,86.313,"7,045",N,F,12.5,N
2020,3600,Citizens Electric Corporation - (MO),MO,Cooperative,72.616,0.748,97.080,72.616,0.748,97.080,72.616,0.748,97.080,"27,321",13.2,Y,.,.,.,.,.,.,.,,,.,
2020,3644,PUD No 1 of Clallam County,WA,Political Subdivision,.,.,.,.,.,.,.,.,.,.,.,,250.000,0.980,255.102,102.000,0.490,208.163,"32,407",N,L,34.0,Y
2020,3647,City of Claremore,OK,Municipal,294.206,3.134,93.876,95.728,2.124,45.070,.,.,.,"12,598",13.2,N,.,.,.,.,.,.,.,,,.,
2020,3660,PUD No 1 of Clark County - (WA),WA,Political Subdivision,120.750,0.726,166.322,41.070,0.536,76.623,118.720,0.665,178.526,"213,948",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3687,Clark Energy Coop Inc - (KY),KY,Cooperative,221.546,1.632,135.751,176.307,1.456,121.090,208.251,1.422,146.449,"26,921",25.0,Y,.,.,.,.,.,.,.,,,.,
2020,3704,City of Clarksville - (TN),TN,Municipal,189.720,1.910,99.330,99.220,1.270,78.126,.,.,.,"71,788",12.5,Y,.,.,.,.,.,.,.,,,.,
2020,3712,Clay County Electric Coop Corp,AR,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,233.271,2.249,103.722,232.855,2.243,103.814,"12,695",N,L,14.4,Y
2020,3712,Clay County Electric Coop Corp,MO,Cooperative,.,.,.,.,.,.,.,.,.,.,.,,6.400,0.566,11.307,6.400,0.566,11.307,53,N,L,14.4,Y
2020,3755,Cleveland Electric Illum Co,OH,Investor Owned,543.145,1.575,344.854,114.163,0.972,117.452,498.588,1.374,362.873,"735,260",36.0,Y,.,.,.,.,.,.,.,,,.,
2020,3757,"Clay Electric Cooperative, Inc",FL,Cooperative,683.000,4.760,143.487,264.500,3.250,81.385,576.150,3.410,168.959,"179,311",25.0,N,.,.,.,.,.,.,.,,,.,
