Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
2022,590,City of Anaheim - (CA),CA,CISO,468,13,.,.,481,6,.,.,.,6,.,25.6,.,.,25.6,.,.,.,.,.,11,.,.,.,11,.,.,.,.,.,.
2022,733,Appalachian Power Co,VA,PJM,"4,821",0,1,0,"4,822",190,0,0,0,190,5.8,0.0,17.0,0.0,22.8,5.6,0.0,0.0,0.0,5.6,258,0,0,0,258,410,0,0,0,410,0
2022,733,Appalachian Power Co,WV,PJM,122,0,4,0,126,15,0,0,0,15,1.5,0.0,51.2,0.0,52.7,1.5,0.0,0.0,0.0,1.5,89,0,0,0,89,286,0,0,0,286,.
2022,803,Arizona Public Service Co,AZ,AZPS,"803,727",323,0,0,"804,050","774,947","37,868",0,0,"812,815",228.8,38.0,0.0,0.0,266.8,228.8,38.0,0.0,0.0,266.8,"2,086",0,0,0,"2,086","3,999","1,304",0,0,"5,302",406
2022,807,Arkansas Electric Coop Corp,AR,MISO,.,.,8,.,8,.,.,.,.,.,.,.,628.0,.,628.0,.,.,.,.,.,.,.,"30,046",.,"30,046",.,.,.,.,.,.
2022,814,Entergy Arkansas LLC,AR,MISO,"17,419",152,"1,861",.,"19,432","1,866","1,019","1,112",.,"3,997",18.8,.,449.7,.,468.5,18.8,.,21.8,.,40.6,233,"1,211",378,.,"1,822",731,"3,498","3,164",.,"7,393",.
2022,1009,City of Austin - (MN),MN,MISO,"6,852",2,.,.,"6,854",111,2,.,.,113,3.9,0.4,.,.,4.3,3.9,0.4,.,.,4.3,0,19,.,.,19,275,0,.,.,275,.
2022,1015,Austin Energy,TX,ERCO,"87,411","4,393","1,464",.,"93,268",621,926,309,.,"1,856",101.2,3.9,1.3,.,106.4,47.7,3.3,1.1,.,52.0,"1,366",772,257,.,"2,395",643,696,232,.,"1,572",0
2022,1167,Baltimore Gas & Electric Co,MD,PJM,"851,307",0,0,0,"851,307",76,0,0,.,76,351.7,0.0,0.0,0.0,351.7,0.0,0.0,0.0,0.0,0.0,"22,195",0,0,0,"22,195","8,717",0,0,0,"8,717",.
2022,1251,Barron Electric Coop,WI,MISO,"5,839",216,0,0,"6,055",0,0,0,0,0,9.1,3.9,0.0,0.0,13.0,3.7,1.6,0.0,0.0,5.3,23,1,0,0,24,79,3,0,0,82,11
2022,1529,"Beltrami Electric Coop, Inc",MN,MISO,"7,325",199,.,.,"7,524",3,76,.,.,79,231.2,6.3,.,.,237.5,24.7,0.7,.,.,25.3,117,3,.,.,120,437,12,.,.,449,.
2022,1613,Berkeley Electric Coop Inc,SC,SC,370,.,.,.,370,0,.,.,.,0,0.3,.,.,.,0.3,0.3,.,.,.,0.3,19,.,.,.,19,93,.,.,.,93,.
2022,1769,"Black Hills Electric Coop, Inc",SD,SWPP,540,24,0,0,564,5,1,0,0,6,1.2,0.2,0.0,0.0,1.4,0.6,0.2,0.0,0.0,0.9,0,0,0,0,0,6,1,0,0,6,79
2022,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,"39,408",.,.,.,"39,408",2,.,.,.,2,2.3,.,.,.,2.3,2.2,.,.,.,2.2,23,.,.,.,23,.,.,.,.,.,.
2022,2678,C & L Electric Coop Corp,AR,MISO,.,48,.,.,48,.,.,.,.,.,.,1.2,.,.,1.2,.,1.1,.,.,1.1,.,19,.,.,19,.,.,.,.,.,.
2022,2985,"Capital Electric Coop, Inc",ND,SWPP,"6,997",13,17,.,"7,027",.,.,.,.,.,12.9,4.9,1.3,.,19.0,10.2,4.8,1.3,.,16.4,154,51,57,.,262,76,1,1,.,78,109
2022,3046,Duke Energy Progress - (NC),NC,CPLE,"204,473",173,.,.,"204,646",.,.,.,.,.,19.7,41.1,.,.,60.8,0.0,0.0,.,.,0.0,"6,150","2,012",.,.,"8,162","7,219",988,.,.,"8,207",.
2022,3046,Duke Energy Progress - (NC),SC,CPLE,"17,102",22,.,.,"17,124",.,.,.,.,.,0.9,83.5,.,.,84.4,0.0,0.0,.,.,0.0,890,291,.,.,"1,181","1,044",143,.,.,"1,187",.
2022,3107,Carteret-Craven El Member Corp,NC,CPLE,741,38,.,.,779,417,605,.,.,"1,022",0.3,2.1,.,.,2.4,0.0,0.2,.,.,0.2,0,0,.,.,0,0,0,.,.,0,400
2022,3203,Cedar Falls Utilities,IA,MISO,.,2,.,.,2,.,794,.,.,794,.,12.7,.,.,12.7,.,0.0,.,.,0.0,.,402,.,.,402,.,1,.,.,1,.
2022,3205,Cedar-Knox Public Power Dist,NE,SWPP,.,.,747,.,747,.,.,.,.,.,.,.,45.8,.,45.8,.,.,28.7,.,28.7,.,.,.,.,.,.,.,128,.,128,.
2022,3222,Central Alabama Electric Coop,AL,SOCO,154,.,.,.,154,164,.,.,.,164,0.3,.,.,.,0.3,0.3,.,.,.,0.3,.,.,.,.,.,15,.,.,.,15,.
2022,3248,Central Georgia El Member Corp,GA,SOCO,"4,841",.,.,.,"4,841",192,.,.,.,192,7.0,.,.,.,7.0,4.0,.,.,.,4.0,68,.,.,.,68,198,.,.,.,198,3
2022,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"2,746",8,6,.,"2,760",12,1,3,.,17,3.8,1.7,3.8,.,9.2,3.8,1.3,3.1,.,8.2,.,.,.,.,.,.,.,.,.,.,.
2022,3278,AEP Texas Central Company,TX,ERCO,.,68,.,.,68,.,19,.,.,19,.,28.4,.,.,28.4,.,19.4,.,.,19.4,.,500,.,.,500,.,54,.,.,54,.
2022,3279,"Central Power Elec Coop, Inc",ND,SWPP,.,.,.,.,.,"2,796",561,.,.,"3,357",13.4,1.4,.,.,14.8,13.4,1.4,.,.,14.8,294,353,27,.,674,.,.,.,.,.,.
2022,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,"52,816","7,595",2,0,"60,413",0,0,0,0,0,19.9,2.8,0.0,0.0,22.7,19.9,2.8,0.0,0.0,22.7,23,0,0,0,23,8,1,0,0,9,.
2022,3503,"Choptank Electric Cooperative, Inc",MD,PJM,.,9,.,.,9,.,.,.,.,.,.,2.1,.,.,2.1,.,1.2,.,.,1.2,.,3,.,.,3,.,.,.,.,.,.
2022,3755,Cleveland Electric Illum Co,OH,PJM,0,0,4,0,4,0,0,0,0,0,0.0,0.0,189.7,0.0,189.7,0.0,0.0,189.7,0.0,189.7,0,0,"7,836",0,"7,836",0,0,0,0,0,.
2022,3757,"Clay Electric Cooperative, Inc",FL,SEC,.,7,.,.,7,.,.,.,.,.,.,18.3,.,.,18.3,.,18.3,.,.,18.3,.,200,.,.,200,.,260,.,.,260,.
2022,3931,Coles-Moultrie Electric Coop,IL,MISO,"4,299",146,6,.,"4,451",.,.,.,.,.,3.0,8.0,3.0,.,14.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,3989,City of Colorado Springs - (CO),CO,WACM,"4,937",.,1,0,"4,938",0,.,0,.,0,2.9,.,14.2,.,17.1,2.9,.,0.0,.,2.9,298,.,"2,301",.,"2,598",151,.,0,.,151,.
2022,4065,City of Columbus - (OH),OH,PJM,.,.,11,.,11,.,.,.,.,.,.,.,13.4,.,13.4,.,.,7.7,.,7.7,.,.,.,.,.,.,.,.,.,.,.
2022,4110,Commonwealth Edison Co,IL,PJM,"419,616","2,359",612,0,"422,587",232,0,0,0,232,120.0,407.0,525.0,0.0,"1,052.0",120.0,0.0,0.0,0.0,120.0,"3,058",0,0,0,"3,058","4,708",339,338,0,"5,385",0
2022,4176,Connecticut Light & Power Co,CT,ISNE,"20,134",229,107,.,"20,470",.,.,.,.,.,35.1,41.1,54.3,.,130.5,21.8,26.6,36.7,.,85.1,"1,597","1,460","2,016",.,"5,073","1,598",141,195,.,"1,934",0
2022,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"37,026","3,070",.,.,"40,096",503,"7,438",.,.,"7,941",31.3,365.1,.,.,396.4,27.7,309.9,.,.,337.7,"1,209","30,680",.,.,"31,889",825,770,.,.,"1,595",.
2022,4254,Consumers Energy Co,MI,MISO,"249,350","1,125",16,.,"250,491",700,0,15,.,714,121.1,268.9,238.2,.,628.2,94.4,0.4,14.5,.,109.3,"3,622","5,984","18,103",.,"27,709","27,858","14,682",.,.,"42,540",.
2022,4295,Comanche County Elec Coop Assn,TX,ERCO,.,10,.,.,10,.,.,.,.,.,.,1.9,.,.,1.9,.,0.6,.,.,0.6,.,30,.,.,30,.,.,.,.,.,.
2022,4363,Corn Belt Power Coop,IA,SWPP,"5,352",.,4,.,"5,356",.,.,.,.,.,42.2,.,44.2,.,86.4,38.3,.,44.2,.,82.5,.,.,.,.,.,.,.,.,.,.,887
2022,4430,"Covington Electric Coop, Inc",AL,SOCO,"2,539",.,.,.,"2,539",.,.,.,.,.,0.3,.,.,.,0.3,0.2,.,.,.,0.2,12,.,.,.,12,.,.,.,.,.,33
2022,4432,Coweta-Fayette El Member Corp,GA,SOCO,"1,692",.,.,.,"1,692",0,.,.,.,0,15.0,.,.,.,15.0,8.0,.,.,.,8.0,13,.,.,.,13,.,.,.,.,.,.
2022,4509,Craighead Electric Coop Corp,AR,MISO,.,711,1,.,712,.,23,1,.,24,.,10.0,1.2,.,11.2,.,.,.,.,.,.,.,.,.,.,.,732,30,.,762,.
2022,4538,Crisp County Power Comm,GA,SOCO,.,.,2,.,2,.,.,.,.,.,.,.,12.0,.,12.0,.,.,10.0,.,10.0,.,.,0,.,0,.,.,0,.,0,.
2022,4675,Cuivre River Electric Coop Inc,MO,AECI,0,7,.,.,7,0,0,.,.,0,0.0,6.3,.,.,6.3,0.0,5.6,.,.,5.6,0,0,.,.,0,0,0,.,.,0,.
2022,4911,Dawson Power District,NE,SWPP,.,.,"4,747",.,"4,747",.,.,.,.,.,.,.,113.4,.,113.4,.,.,111.5,.,111.5,.,.,.,.,.,.,.,141,.,141,.
2022,5027,Delmarva Power,DE,PJM,"189,192","1,911",0,0,"191,103",451,4,0,0,455,112.3,0.7,0.0,0.0,113.0,112.3,0.7,0.0,0.0,113.0,0,0,0,0,0,"1,381",14,0,0,"1,395",.
2022,5027,Delmarva Power,MD,PJM,"113,680","2,840",0,0,"116,520",282,26,0,0,308,77.7,4.7,0.0,0.0,82.4,77.7,4.7,0.0,0.0,82.4,"1,791",12,0,0,"1,803","1,370",336,0,0,"1,706",.
2022,5070,Delaware Electric Cooperative,DE,PJM,"27,449","1,169",0,0,"28,618",0,0,0,0,0,13.8,23.9,0.0,0.0,37.7,13.5,18.5,0.0,0.0,32.0,559,4,0,0,563,56,2,0,0,58,.
2022,5078,"Denton County Elec Coop, Inc",TX,ERCO,"12,137",.,.,.,"12,137",121,.,.,.,121,29.7,.,.,.,29.7,11.0,.,.,.,11.0,485,.,.,.,485,512,.,.,.,512,.
2022,5109,DTE Electric Company,MI,MISO,"333,307","1,757",364,.,"335,428",395,27,134,.,556,261.0,39.0,512.0,.,812.0,.,.,.,.,.,703,274,544,.,"1,521","10,715",.,.,.,"10,715",.
2022,5202,Dixie Electric Membership Corp,LA,MISO,"9,705",.,.,.,"9,705","2,635",.,.,.,"2,635",67.9,.,.,.,67.9,.,.,.,.,.,583,.,.,.,583,.,.,.,.,.,.
2022,5335,City of Dover - (DE),DE,PJM,.,2,2,.,4,.,2,5,.,8,.,12.6,38.5,.,51.1,.,.,.,.,.,.,14,43,.,57,.,.,.,.,.,.
2022,5336,City of Dover - (OH),OH,PJM,.,.,6,.,6,.,.,1,.,1,.,.,2.7,.,2.7,.,.,2.6,.,2.6,.,.,16,.,16,.,.,.,.,.,.
2022,5416,"Duke Energy Carolinas, LLC",NC,DUK,"217,467","5,288",.,.,"222,755",.,.,.,.,.,409.7,388.4,.,.,798.1,.,.,.,.,.,"6,838","12,197",.,.,"19,035","6,170","2,516",.,.,"8,686",.
2022,5416,"Duke Energy Carolinas, LLC",SC,DUK,"70,173","1,294",.,.,"71,467",.,.,.,.,.,129.0,132.0,.,.,261.0,.,.,.,.,.,"2,528","4,510",.,.,"7,038","2,031",647,.,.,"2,678",.
2022,5417,Dunn County Electric Coop,WI,MISO,"3,197",349,.,.,"3,546",.,.,.,.,.,1.7,22.8,.,.,24.5,0.4,5.9,.,.,6.3,410,45,.,.,455,126,14,.,.,140,9
2022,5480,Town of Danvers,MA,ISNE,72,9,0,0,81,1,2,0,0,4,0.8,2.8,0.0,0.0,3.5,0.3,0.4,0.0,0.0,0.7,6,5,0,0,11,10,3,0,0,14,.
2022,5552,"East River Elec Pwr Coop, Inc",SD,SWPP,.,.,.,.,.,.,.,.,.,.,56.8,2.8,11.4,0.0,71.0,56.8,2.8,11.4,0.0,71.0,2,0,0,0,2,504,179,27,0,710,958
2022,5580,"East Kentucky Power Coop, Inc",KY,PJM,"3,684",0,18,0,"3,702",18,0,0,0,18,5.9,0.0,325.9,0.0,331.8,5.9,0.0,0.0,0.0,5.9,738,0,"16,973",0,"17,711","1,189",0,0,0,"1,189",0
2022,5701,El Paso Electric Co,NM,EPE,"2,200",2,0,0,"2,202",286,12,0,0,298,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,.,2.0,96,13,0,0,109,295,124,0,0,419,.
2022,5701,El Paso Electric Co,TX,EPE,"10,419",6,5,0,"10,430",479,31,30,0,540,8.0,4.0,4.0,0.0,16.0,8.0,4.0,4.0,0.0,16.0,275,151,169,0,595,146,12,11,0,169,.
2022,5773,City of Elk River,MN,MISO,.,8,.,.,8,.,.,.,.,.,.,18.1,.,.,18.1,.,16.0,.,.,16.0,.,.,.,.,.,.,.,.,.,.,.
2022,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,.,.,"1,496",.,"1,496",.,.,775,.,775,.,.,53.8,.,53.8,.,.,51.2,.,51.2,.,.,.,.,.,.,.,227,.,227,227
2022,5880,"Energy Coop of New York, Inc",NY,NYIS,.,2,.,.,2,.,.,.,.,.,.,1.9,.,.,1.9,.,1.9,.,.,1.9,.,.,.,.,.,.,.,.,.,.,.
2022,5905,Excelsior Electric Member Corp,GA,SOCO,.,.,228,.,228,.,.,112,.,112,.,.,9.0,.,9.0,.,.,2.2,.,2.2,.,.,0,.,0,.,.,47,.,47,.
2022,6181,"Farmers Electric Coop, Inc - (MO)",MO,AECI,"8,339",35,1,.,"8,375",166,0,.,.,167,0.4,0.0,.,.,0.5,0.3,0.0,.,.,0.4,.,.,.,.,.,4,0,.,.,4,.
2022,6182,"Farmers Electric Coop, Inc - (TX)",TX,ERCO,"1,510",0,0,0,"1,510",84,0,0,0,84,3.1,0.0,0.0,0.0,3.1,2.6,0.0,0.0,0.0,2.6,122,0,0,0,122,71,0,0,0,71,.
2022,6235,Fayetteville Public Works Commission,NC,CPLE,330,34,1,.,365,.,.,.,.,.,2.0,.,8.0,.,10.0,0.8,.,8.0,.,8.8,2,2,0,.,4,0,0,0,.,0,.
2022,6342,First Electric Coop Corp,AR,MISO,"6,031",0,555,0,"6,586",39,0,904,0,943,6.0,0.0,68.5,0.0,74.6,1.0,0.0,13.2,0.0,14.2,165,0,"5,158",0,"5,323",.,.,.,.,.,.
2022,6374,Fitchburg Gas & Elec Light Co,MA,ISNE,154,3,.,.,157,0,0,.,.,0,0.1,0.3,.,.,0.4,0.1,0.3,.,.,0.4,5,15,.,.,20,24,18,.,.,42,.
2022,6395,Flathead Electric Coop Inc,MT,BPAT,"2,889",.,.,.,"2,889",.,.,.,.,.,28.8,.,.,.,28.8,21.5,.,.,.,21.5,141,.,.,.,141,10,.,.,.,10,.
2022,6411,Flint Electric Membership Corp,GA,SOCO,"19,056",.,623,.,"19,679",146,.,284,.,430,17.9,.,34.9,.,52.8,2.0,.,8.0,.,10.0,271,.,135,.,405,123,.,7,.,130,.
2022,6452,Florida Power & Light Co,FL,FPL,"677,825","19,164",.,.,"696,989",727,"7,256",.,.,"7,983",761.3,853.0,.,.,"1,614.3",.,.,.,.,.,"27,928","69,524",.,.,"97,452","13,101","1,625",.,.,"14,726",.
2022,6455,"Duke Energy Florida, LLC",FL,FPC,"433,579",263,86,.,"433,928",.,.,.,.,.,370.0,144.0,305.0,.,819.0,0.0,0.0,0.0,.,0.0,"25,050","54,988",.,.,"80,038","10,981","2,231",.,.,"13,212",.
2022,6604,City of Fort Collins - (CO),CO,PSCO,"5,676",7,.,.,"5,683",.,.,.,.,.,3.0,1.0,.,.,4.0,1.4,0.3,.,.,1.7,32,.,.,.,32,680,42,.,.,722,0
2022,6709,Easley Combined Utility System,SC,DUK,637,.,.,.,637,0,.,.,.,0,0.5,.,.,.,0.5,0.5,.,.,.,0.5,33,.,.,.,33,16,.,.,.,16,.
2022,6782,Freeborn Mower Electric Cooperative,MN,MISO,"1,840",106,0,0,"1,946",0,0,0,0,0,0.9,11.5,0.0,0.0,12.4,0.7,10.0,0.0,0.0,10.7,213,12,0,0,225,107,6,0,0,113,30
2022,7004,"Buckeye Power, Inc",OH,PJM,"121,533",40,.,.,"121,573","2,326",359,.,.,"2,685",34.7,6.0,.,.,40.7,34.7,6.0,.,.,40.7,272,0,0,0,272,210,0,0,0,210,.
2022,7090,GreyStone Power Corporation,GA,SOCO,.,50,44,.,94,.,1,1,.,1,.,30.0,69.7,.,99.7,.,12.5,13.9,.,26.4,.,.,.,.,.,.,.,.,.,.,.
2022,7140,Georgia Power Co,GA,SOCO,"67,059","1,651",829,1,"69,540",.,.,.,.,.,233.7,199.5,377.3,.,810.5,200.6,144.9,76.3,.,421.8,271,137,"6,245",.,"6,653","1,711","3,510","2,694",10,"7,925",.
2022,7294,City of Glendale - (CA),CA,LDWP,"2,113",25,.,.,"2,138",7,1,.,.,9,2.0,0.6,.,.,2.6,1.8,0.3,.,.,2.2,90,11,.,.,101,420,402,.,.,823,.
2022,7349,"Golden Spread Electric Cooperative, Inc",OK,SWPP,.,1,.,.,1,.,0,.,.,0,.,2.0,.,.,2.0,.,0.0,.,.,0.0,.,18,.,.,18,.,0,.,.,0,.
2022,7490,Grand River Dam Authority,OK,SWPP,.,.,1,.,1,.,.,.,.,.,.,.,14.0,.,14.0,.,.,14.0,.,14.0,.,.,759,.,759,.,.,.,.,.,.
2022,7570,Great River Energy,MN,MISO,"282,382","5,570",.,.,"287,952","28,393","7,309",.,.,"35,702",165.0,204.0,.,.,369.0,165.0,204.0,.,.,369.0,877,0,.,.,877,"5,632",478,.,.,"6,110","1,170"
2022,7601,Green Mountain Power Corp,VT,ISNE,"18,390",612,7,0,"19,009",0,0,0,0,0,28.5,11.2,11.0,0.0,50.7,0.0,0.0,0.0,0.0,0.0,604,0,0,0,604,0,0,0,0,0,0
2022,7634,City of Greenville - (TX),TX,ERCO,.,1,.,.,1,.,"2,043",.,.,"2,043",.,6.0,.,.,6.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,7752,Guadalupe Valley Elec Coop Inc,TX,ERCO,"2,589",.,.,.,"2,589",72,.,.,.,72,3.6,.,.,.,3.6,3.5,.,.,.,3.5,156,.,.,.,156,0,.,.,.,0,.
2022,7785,"Gulf Coast Electric Coop, Inc",FL,SOCO,738,.,.,.,738,1,.,.,.,1,0.9,.,.,.,0.9,0.9,.,.,.,0.9,0,.,.,.,0,2,.,.,.,2,.
2022,7977,City of Hamilton - (OH),OH,PJM,.,.,17,.,17,.,.,8,.,8,.,.,7.9,.,7.9,.,.,7.9,.,7.9,.,.,0,.,0,.,.,0,.,0,.
2022,8179,Harrison County Rural E M C,IN,MISO,"2,627",.,.,.,"2,627",.,.,.,.,.,1.0,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,8210,Hart Electric Member Corp,GA,SOCO,"29,326","9,079",.,.,"38,405",167,44,.,.,211,2.4,0.6,.,.,3.0,2.4,0.6,.,.,3.0,.,.,.,.,.,.,.,.,.,.,.
2022,8287,Hawaii Electric Light Co Inc,HI,NA,12,.,.,.,12,0,.,.,.,0,0.1,.,.,.,0.1,.,.,.,.,.,1,.,.,.,1,.,.,.,.,.,.
2022,8319,Heartland Power Coop,IA,MISO,819,93,1,0,913,0,0,0,0,0,1.2,8.8,0.1,0.0,10.1,0.5,3.9,0.0,0.0,4.4,0,0,0,0,0,55,2,1,0,58,0
2022,8333,Haywood Electric Member Corp,NC,DUK,414,.,.,.,414,1,.,.,.,1,1.0,.,.,.,1.0,1.0,.,.,.,1.0,36,.,.,.,36,.,.,.,.,.,.
2022,8570,Highline Electric Assn,CO,WACM,.,.,395,.,395,.,.,.,.,.,.,.,28.2,.,28.2,.,.,.,.,.,.,.,451,.,451,.,.,17,.,17,.
2022,8570,Highline Electric Assn,NE,WACM,.,.,205,.,205,.,.,.,.,.,.,.,39.3,.,39.3,.,.,.,.,.,.,.,179,.,179,.,.,7,.,7,.
2022,8773,"Holy Cross Electric Assn, Inc",CO,PSCO,"2,340",210,0,0,"2,550",44,58,0,0,102,33.4,42.4,0.0,0.0,75.7,10.1,6.1,0.0,0.0,16.2,25,44,0,0,69,4,5,0,0,9,0
2022,8786,Horry Electric Coop Inc,SC,SC,"6,353",.,.,.,"6,353",0,.,.,.,0,8.7,.,.,.,8.7,8.7,.,.,.,8.7,12,.,.,.,12,63,.,.,.,63,134
2022,8901,CenterPoint Energy,TX,ERCO,"22,361",353,0,0,"22,714",59,787,0,0,845,19.6,143.8,0.0,0.0,163.4,19.6,143.8,0.0,0.0,163.4,780,"3,658",0,0,"4,438",59,201,0,0,260,.
2022,9191,Idaho Power Co,ID,IPCO,"18,910",150,"2,078",.,"21,138",0,0,0,.,0,24.2,21.6,225.3,.,271.1,18.1,18.6,136.7,.,173.4,375,284,"7,652",.,"8,311",430,85,578,.,"1,093",0
2022,9191,Idaho Power Co,OR,IPCO,217,9,64,.,290,0,0,0,.,0,0.3,5.7,7.7,.,13.7,0.2,3.7,4.6,.,8.5,4,147,244,.,395,20,5,29,.,54,0
2022,9267,"Hoosier Energy R E C, Inc",IN,MISO,"17,157",.,.,.,"17,157",0,.,.,.,0,2.2,.,.,.,2.2,2.2,.,.,.,2.2,6,.,.,.,6,.,.,.,.,.,.
2022,9273,Indianapolis Power & Light Co,IN,MISO,"59,057",351,.,.,"59,408","1,163",.,.,.,"1,163",47.8,0.8,.,.,48.6,33.4,0.2,.,.,33.6,"1,525",14,.,.,"1,539","2,141",1,.,.,"2,141",.
2022,9286,Illinois Municipal Elec Agency,IL,MISO,.,3,.,.,3,.,3,.,.,3,.,1.3,.,.,1.3,.,0.3,.,.,0.3,.,45,.,.,45,.,0,.,.,0,.
2022,9324,Indiana Michigan Power Co,IN,PJM,"5,026",85,75,0,"5,186",76,0,0,0,76,5.0,7.3,304.0,0.0,316.3,4.1,0.0,0.0,0.0,4.1,108,0,0,0,108,452,0,0,0,452,0
2022,9324,Indiana Michigan Power Co,MI,PJM,"3,969",0,0,0,"3,969",21,0,0,0,21,1.9,0.0,0.0,0.0,1.9,1.1,0.0,0.0,0.0,1.1,47,0,0,0,47,310,0,0,0,310,36
2022,9417,Interstate Power and Light Co,IA,MISO,"42,287",83,57,.,"42,427",569,117,378,.,"1,064",37.4,54.5,176.4,.,268.2,.,.,.,.,.,"1,452","3,772","12,201",.,"17,425","1,252",73,50,.,"1,375",.
2022,9425,Iowa Lakes Electric Coop,IA,SWPP,"5,385",.,.,.,"5,385",0,.,.,.,0,2.9,.,.,.,2.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2022,9431,Irwin Electric Membership Corp,GA,SOCO,.,.,605,.,605,.,.,96,.,96,.,.,45.4,.,45.4,.,.,12.0,.,12.0,.,.,0,.,0,.,.,18,.,18,.
2022,9576,Jackson County Rural E M C - (IN),IN,MISO,583,.,.,.,583,6,.,.,.,6,6.0,.,.,.,6.0,5.7,.,.,.,5.7,.,.,.,.,.,69,.,.,.,69,.
2022,9590,"Jackson Electric Coop, Inc - (TX)",TX,ERCO,.,.,10,.,10,.,.,.,.,.,.,.,46.0,.,46.0,.,.,39.0,.,39.0,.,.,"2,128",.,"2,128",.,.,.,.,.,.
2022,9601,Jackson Electric Member Corp - (GA),GA,SOCO,"22,562","2,507",.,.,"25,069",.,.,.,.,.,11.0,1.0,.,.,12.0,11.0,1.0,.,.,12.0,390,43,.,.,433,2,0,.,.,2,133
2022,9617,JEA,FL,JEA,.,.,33,.,33,.,.,.,.,.,.,.,144.2,.,144.2,.,.,130.4,.,130.4,.,.,"7,899",.,"7,899",.,.,.,.,.,.
2022,9750,"Jo-Carroll Energy, Inc",IL,MISO,"1,674",0,7,0,"1,681",0,0,.,0,0,1.3,0.0,2.1,0.0,3.4,0.5,0.0,0.8,0.0,1.3,94,0,36,0,130,15,0,6,0,21,.
2022,9778,Johnson County Rural E M C,IN,MISO,.,.,2,.,2,.,.,22,.,22,.,.,3.7,.,3.7,.,.,3.7,.,3.7,.,.,58,.,58,.,.,2,.,2,.
