Data Year,Utility Number,Utility Name,Short Form,State,County
2019,219,Alaska Power and Telephone Co,,AK,Prince of Wales Ketchikan
2019,219,Alaska Power and Telephone Co,,AK,Skagway Hoonah Angoon
2019,219,Alaska Power and Telephone Co,,AK,Yukon Koyukuk
2019,221,"Alaska Village Elec Coop, Inc",,AK,Bethel
2019,221,"Alaska Village Elec Coop, Inc",,AK,Dillingham
2019,221,"Alaska Village Elec Coop, Inc",,AK,Kodiak Island
2019,221,"Alaska Village Elec Coop, Inc",,AK,Nome
2019,221,"Alaska Village Elec Coop, Inc",,AK,Northwest Arctic
2019,221,"Alaska Village Elec Coop, Inc",,AK,Wade Hampton
2019,221,"Alaska Village Elec Coop, Inc",,AK,Yakutat
2019,221,"Alaska Village Elec Coop, Inc",,AK,Yukon Koyukuk
2019,228,City of Albany - (MO),Y,MO,Gentry
2019,229,City of Albany - (IL),Y,IL,Whiteside
2019,230,Albany Utility Board,,GA,Dougherty
2019,230,Albany Utility Board,,GA,Lee
2019,232,City of Albemarle - (NC),,NC,Stanly
2019,240,Albemarle Electric Member Corp,,NC,Camden
2019,240,Albemarle Electric Member Corp,,NC,Chowan
2019,240,Albemarle Electric Member Corp,,NC,Currituck
2019,240,Albemarle Electric Member Corp,,NC,Pasquotank
2019,240,Albemarle Electric Member Corp,,NC,Perquimans
2019,241,Albertville Municipal Utilities Board,,AL,Marshall
2019,244,City of Albion - (ID),Y,ID,Cassia
2019,261,AGC Division of APG Inc,,IN,Warrick
2019,266,City of Alpha - (MN),Y,MN,Jackson
2019,276,Alcorn County Elec Power Assn,,MS,Alcorn
2019,282,Village of Arcadia - (OH),Y,OH,Hancock
2019,289,City of Alexander City,,AL,Tallapoosa
2019,295,City of Alexandria - (MN),,MN,Douglas
2019,296,"Alfalfa Electric Coop, Inc",,KS,Barber
2019,296,"Alfalfa Electric Coop, Inc",,KS,Harper
2019,296,"Alfalfa Electric Coop, Inc",,OK,Alfalfa
2019,296,"Alfalfa Electric Coop, Inc",,OK,Garfield
2019,296,"Alfalfa Electric Coop, Inc",,OK,Grant
2019,296,"Alfalfa Electric Coop, Inc",,OK,Major
2019,296,"Alfalfa Electric Coop, Inc",,OK,Woods
2019,298,City of Alexandria - (LA),,LA,Rapides
2019,305,Alger-Delta Coop Electric Assn,,MI,Alger
2019,305,Alger-Delta Coop Electric Assn,,MI,Delta
2019,305,Alger-Delta Coop Electric Assn,,MI,Dickinson
2019,305,Alger-Delta Coop Electric Assn,,MI,Marquette
2019,305,Alger-Delta Coop Electric Assn,,MI,Menominee
2019,305,Alger-Delta Coop Electric Assn,,MI,Schoolcraft
2019,307,Algoma Utility Comm,,WI,Kewaunee
2019,308,City of Acworth - (GA),,GA,Bartow
2019,308,City of Acworth - (GA),,GA,Cobb
2019,309,City of Algona - (IA),,IA,Kossuth
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Allamakee
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Bremer
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Chickasaw
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Clayton
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Delaware
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Dubuque
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Fayette
2019,329,"Allamakee-Clayton El Coop, Inc",,IA,Winneshiek
2019,366,City of Allendale- (IL),Y,IL,Wabash
2019,367,City of Alliance- (NE),,NE,Box Butte
2019,367,City of Alliance- (NE),,NE,Morrill
2019,385,City of Alma - (KS),Y,KS,Wabaunsee
2019,392,Alpena Power Co,,MI,Alcona
2019,392,Alpena Power Co,,MI,Alpena
2019,392,Alpena Power Co,,MI,Montmorency
2019,392,Alpena Power Co,,MI,Presque Isle
2019,405,City of Alta - (IA),Y,IA,Buena Vista
2019,406,City of Altamont - (IL),Y,IL,Effingham
2019,407,Altamaha Electric Member Corp,,GA,Emanuel
2019,407,Altamaha Electric Member Corp,,GA,Johnson
2019,407,Altamaha Electric Member Corp,,GA,Laurens
2019,407,Altamaha Electric Member Corp,,GA,Montgomery
2019,407,Altamaha Electric Member Corp,,GA,Tattnall
2019,407,Altamaha Electric Member Corp,,GA,Toombs
2019,407,Altamaha Electric Member Corp,,GA,Treutlen
2019,408,City of Altamont - (KS),Y,KS,Labette
2019,416,City of Altus - (OK),,OK,Jackson
2019,432,City of Alta Vista- (IA),Y,IA,Chickasaw
2019,471,Amana Society Service Co,,IA,Iowa
2019,482,City of Alvarado - (MN),Y,MN,Marshall
2019,554,City of Ames - (IA),,IA,Story
2019,560,City of Amherst- (OH),,OH,Lorain
2019,562,Amicalola Electric Member Corp,,GA,Bartow
2019,562,Amicalola Electric Member Corp,,GA,Cherokee
2019,562,Amicalola Electric Member Corp,,GA,Dawson
2019,562,Amicalola Electric Member Corp,,GA,Fannin
2019,562,Amicalola Electric Member Corp,,GA,Forsyth
2019,562,Amicalola Electric Member Corp,,GA,Gilmer
2019,562,Amicalola Electric Member Corp,,GA,Gordon
2019,562,Amicalola Electric Member Corp,,GA,Lumpkin
2019,562,Amicalola Electric Member Corp,,GA,Murray
2019,562,Amicalola Electric Member Corp,,GA,Pickens
2019,571,City of Amory,,MS,Monroe
2019,577,City of Alcoa Utilities,,TN,Blount
2019,588,Anadarko Public Works Authority,Y,OK,Caddo
2019,590,City of Anaheim - (CA),,CA,Orange
2019,599,Anchorage Municipal Light and Power,,AK,Anchorage
2019,604,City of Andalusia,,AL,Covington
2019,636,City of Anderson - (IN),,IN,Madison
2019,661,Village of Andover - (NY),Y,NY,Allegany
2019,669,Village of Angelica - (NY),Y,NY,Allegany
2019,682,City of Anita - (IA),Y,IA,Cass
2019,689,Connexus Energy,,MN,Anoka
2019,689,Connexus Energy,,MN,Chisago
2019,689,Connexus Energy,,MN,Hennepin
2019,689,Connexus Energy,,MN,Isanti
2019,689,Connexus Energy,,MN,Ramsey
2019,689,Connexus Energy,,MN,Sherburne
2019,689,Connexus Energy,,MN,Washington
2019,690,City of Bardstown - (KY),,KY,Nelson
2019,691,City of Anoka,,MN,Anoka
2019,691,City of Anoka,,MN,Hennepin
2019,694,Anza Electric Coop Inc,,CA,Riverside
2019,695,City of Ansley - (NE),Y,NE,Custer
2019,700,City of Anthon - (IA),Y,IA,Woodbury
2019,701,City of Anthony - (KS),Y,KS,Harper
2019,719,Town of Apex- (NC),,NC,Wake
2019,723,City of Aplington,Y,IA,Butler
2019,727,Appalachian Electric Coop,,TN,Grainger
2019,727,Appalachian Electric Coop,,TN,Hamblen
2019,727,Appalachian Electric Coop,,TN,Jefferson
2019,727,Appalachian Electric Coop,,TN,Sevier
2019,733,Appalachian Power Co,,VA,Albemarle
2019,733,Appalachian Power Co,,VA,Amherst
2019,733,Appalachian Power Co,,VA,Appomattox
2019,733,Appalachian Power Co,,VA,Bedford
2019,733,Appalachian Power Co,,VA,Bland
2019,733,Appalachian Power Co,,VA,Botetourt
2019,733,Appalachian Power Co,,VA,Buchanan
2019,733,Appalachian Power Co,,VA,Buckingham
2019,733,Appalachian Power Co,,VA,Campbell
2019,733,Appalachian Power Co,,VA,Carroll
2019,733,Appalachian Power Co,,VA,Craig
2019,733,Appalachian Power Co,,VA,Dickenson
2019,733,Appalachian Power Co,,VA,Floyd
2019,733,Appalachian Power Co,,VA,Fluvanna
2019,733,Appalachian Power Co,,VA,Franklin
2019,733,Appalachian Power Co,,VA,Galax City
2019,733,Appalachian Power Co,,VA,Giles
2019,733,Appalachian Power Co,,VA,Grayson
2019,733,Appalachian Power Co,,VA,Henry
2019,733,Appalachian Power Co,,VA,Lynchburg City
2019,733,Appalachian Power Co,,VA,Montgomery
2019,733,Appalachian Power Co,,VA,Nelson
2019,733,Appalachian Power Co,,VA,Patrick
2019,733,Appalachian Power Co,,VA,Pittsylvania
2019,733,Appalachian Power Co,,VA,Pulaski
2019,733,Appalachian Power Co,,VA,Roanoke
2019,733,Appalachian Power Co,,VA,Roanoke City
2019,733,Appalachian Power Co,,VA,Russell
2019,733,Appalachian Power Co,,VA,Scott
2019,733,Appalachian Power Co,,VA,Smyth
2019,733,Appalachian Power Co,,VA,Tazewell
2019,733,Appalachian Power Co,,VA,Washington
2019,733,Appalachian Power Co,,VA,Wise
2019,733,Appalachian Power Co,,VA,Wythe
2019,733,Appalachian Power Co,,WV,Boone
2019,733,Appalachian Power Co,,WV,Cabell
2019,733,Appalachian Power Co,,WV,Clay
2019,733,Appalachian Power Co,,WV,Fayette
2019,733,Appalachian Power Co,,WV,Greenbrier
2019,733,Appalachian Power Co,,WV,Jackson
2019,733,Appalachian Power Co,,WV,Kanawha
2019,733,Appalachian Power Co,,WV,Lincoln
2019,733,Appalachian Power Co,,WV,Logan
2019,733,Appalachian Power Co,,WV,Mason
2019,733,Appalachian Power Co,,WV,McDowell
2019,733,Appalachian Power Co,,WV,Mercer
2019,733,Appalachian Power Co,,WV,Mingo
2019,733,Appalachian Power Co,,WV,Monroe
2019,733,Appalachian Power Co,,WV,Nicholas
2019,733,Appalachian Power Co,,WV,Putnam
2019,733,Appalachian Power Co,,WV,Raleigh
2019,733,Appalachian Power Co,,WV,Roane
2019,733,Appalachian Power Co,,WV,Summers
2019,733,Appalachian Power Co,,WV,Wayne
2019,733,Appalachian Power Co,,WV,Wyoming
2019,750,Arab Electric Coop Inc,,AL,Cullman
2019,750,Arab Electric Coop Inc,,AL,Marshall
2019,752,City of Arapahoe - (NE),Y,NE,Furnas
2019,765,City of Arcadia - (WI),Y,WI,Trempealeau
2019,768,City of Arcanum - (OH),Y,OH,Darke
2019,789,Town of Argos,Y,IN,Marshall
2019,792,City of Argyle - (WI),Y,WI,Lafayette
2019,803,Arizona Public Service Co,,AZ,Apache
2019,803,Arizona Public Service Co,,AZ,Cochise
2019,803,Arizona Public Service Co,,AZ,Coconino
2019,803,Arizona Public Service Co,,AZ,Gila
2019,803,Arizona Public Service Co,,AZ,Graham
2019,803,Arizona Public Service Co,,AZ,Greenlee
2019,803,Arizona Public Service Co,,AZ,Maricopa
2019,803,Arizona Public Service Co,,AZ,Mohave
2019,803,Arizona Public Service Co,,AZ,Navajo
2019,803,Arizona Public Service Co,,AZ,Pima
2019,803,Arizona Public Service Co,,AZ,Pinal
2019,803,Arizona Public Service Co,,AZ,Santa Cruz
2019,803,Arizona Public Service Co,,AZ,Yavapai
2019,803,Arizona Public Service Co,,AZ,Yuma
2019,814,Entergy Arkansas LLC,,AR,Arkansas
2019,814,Entergy Arkansas LLC,,AR,Ashley
2019,814,Entergy Arkansas LLC,,AR,Baxter
2019,814,Entergy Arkansas LLC,,AR,Boone
2019,814,Entergy Arkansas LLC,,AR,Bradley
2019,814,Entergy Arkansas LLC,,AR,Calhoun
2019,814,Entergy Arkansas LLC,,AR,Carroll
2019,814,Entergy Arkansas LLC,,AR,Chicot
2019,814,Entergy Arkansas LLC,,AR,Clark
2019,814,Entergy Arkansas LLC,,AR,Clay
2019,814,Entergy Arkansas LLC,,AR,Cleburne
2019,814,Entergy Arkansas LLC,,AR,Cleveland
2019,814,Entergy Arkansas LLC,,AR,Columbia
2019,814,Entergy Arkansas LLC,,AR,Conway
2019,814,Entergy Arkansas LLC,,AR,Craighead
2019,814,Entergy Arkansas LLC,,AR,Crittenden
2019,814,Entergy Arkansas LLC,,AR,Cross
2019,814,Entergy Arkansas LLC,,AR,Dallas
2019,814,Entergy Arkansas LLC,,AR,Desha
2019,814,Entergy Arkansas LLC,,AR,Drew
2019,814,Entergy Arkansas LLC,,AR,Faulkner
2019,814,Entergy Arkansas LLC,,AR,Fulton
2019,814,Entergy Arkansas LLC,,AR,Garland
2019,814,Entergy Arkansas LLC,,AR,Grant
2019,814,Entergy Arkansas LLC,,AR,Greene
2019,814,Entergy Arkansas LLC,,AR,Hempstead
2019,814,Entergy Arkansas LLC,,AR,Hot Spring
2019,814,Entergy Arkansas LLC,,AR,Independence
2019,814,Entergy Arkansas LLC,,AR,Izard
2019,814,Entergy Arkansas LLC,,AR,Jackson
2019,814,Entergy Arkansas LLC,,AR,Jefferson
2019,814,Entergy Arkansas LLC,,AR,Johnson
2019,814,Entergy Arkansas LLC,,AR,Lafayette
2019,814,Entergy Arkansas LLC,,AR,Lawrence
2019,814,Entergy Arkansas LLC,,AR,Lee
2019,814,Entergy Arkansas LLC,,AR,Lincoln
2019,814,Entergy Arkansas LLC,,AR,Logan
2019,814,Entergy Arkansas LLC,,AR,Lonoke
2019,814,Entergy Arkansas LLC,,AR,Marion
2019,814,Entergy Arkansas LLC,,AR,Miller
2019,814,Entergy Arkansas LLC,,AR,Mississippi
2019,814,Entergy Arkansas LLC,,AR,Monroe
2019,814,Entergy Arkansas LLC,,AR,Montgomery
2019,814,Entergy Arkansas LLC,,AR,Nevada
2019,814,Entergy Arkansas LLC,,AR,Newton
2019,814,Entergy Arkansas LLC,,AR,Ouachita
2019,814,Entergy Arkansas LLC,,AR,Perry
2019,814,Entergy Arkansas LLC,,AR,Phillips
2019,814,Entergy Arkansas LLC,,AR,Pike
2019,814,Entergy Arkansas LLC,,AR,Poinsett
2019,814,Entergy Arkansas LLC,,AR,Pope
2019,814,Entergy Arkansas LLC,,AR,Prairie
2019,814,Entergy Arkansas LLC,,AR,Pulaski
2019,814,Entergy Arkansas LLC,,AR,Randolph
2019,814,Entergy Arkansas LLC,,AR,Saline
2019,814,Entergy Arkansas LLC,,AR,Scott
2019,814,Entergy Arkansas LLC,,AR,Searcy
2019,814,Entergy Arkansas LLC,,AR,Sharp
2019,814,Entergy Arkansas LLC,,AR,St Francis
2019,814,Entergy Arkansas LLC,,AR,Stone
2019,814,Entergy Arkansas LLC,,AR,Union
2019,814,Entergy Arkansas LLC,,AR,Van Buren
2019,814,Entergy Arkansas LLC,,AR,White
2019,814,Entergy Arkansas LLC,,AR,Woodruff
2019,814,Entergy Arkansas LLC,,AR,Yell
2019,814,Entergy Arkansas LLC,,MO,Dunklin
2019,814,Entergy Arkansas LLC,,MO,New Madrid
2019,814,Entergy Arkansas LLC,,MO,Oregon
2019,814,Entergy Arkansas LLC,,MO,Pemiscot
2019,814,Entergy Arkansas LLC,,MO,Taney
2019,814,Entergy Arkansas LLC,,TN,Tipton
2019,817,Arkansas Valley Elec Coop Corp,,AR,Crawford
2019,817,Arkansas Valley Elec Coop Corp,,AR,Franklin
2019,817,Arkansas Valley Elec Coop Corp,,AR,Johnson
2019,817,Arkansas Valley Elec Coop Corp,,AR,Logan
2019,817,Arkansas Valley Elec Coop Corp,,AR,Madison
2019,817,Arkansas Valley Elec Coop Corp,,AR,Newton
2019,817,Arkansas Valley Elec Coop Corp,,AR,Pope
2019,817,Arkansas Valley Elec Coop Corp,,AR,Scott
2019,817,Arkansas Valley Elec Coop Corp,,AR,Sebastian
2019,817,Arkansas Valley Elec Coop Corp,,AR,Washington
2019,817,Arkansas Valley Elec Coop Corp,,AR,Yell
2019,817,Arkansas Valley Elec Coop Corp,,OK,Adair
2019,817,Arkansas Valley Elec Coop Corp,,OK,Le Flore
2019,817,Arkansas Valley Elec Coop Corp,,OK,Sequoyah
2019,828,City of Arlington - (MN),,MN,Sibley
2019,831,City of Arlington - (SD),Y,SD,Brookings
2019,831,City of Arlington - (SD),Y,SD,Kingsbury
2019,832,City of Arma - (KS),Y,KS,Crawford
2019,871,Village of Arnold - (NE),Y,NE,Custer
2019,887,"Arrowhead Electric Coop, Inc",,MN,Cook
2019,887,"Arrowhead Electric Coop, Inc",,MN,Lake
2019,902,Town of Ashburnham - (MA),Y,MA,Worcester
2019,906,Town of Ashland,Y,NH,Grafton
2019,907,City of Ashland - (OR),,OR,Jackson
2019,911,City of Ashland - (KS),Y,KS,Clark
2019,918,City of Aspen- (CO),,CO,Pitkin
2019,925,"Ashley Chicot Elec Coop, Inc",Y,AR,Ashley
2019,925,"Ashley Chicot Elec Coop, Inc",Y,AR,Chicot
2019,925,"Ashley Chicot Elec Coop, Inc",Y,AR,Drew
2019,925,"Ashley Chicot Elec Coop, Inc",Y,LA,Morehouse
2019,942,Atchison-Holt Electric Coop,,IA,Fremont
2019,942,Atchison-Holt Electric Coop,,IA,Page
2019,942,Atchison-Holt Electric Coop,,MO,Atchison
2019,942,Atchison-Holt Electric Coop,,MO,Holt
2019,942,Atchison-Holt Electric Coop,,MO,Nodaway
2019,944,City of Athens - (AL),,AL,Limestone
2019,947,Athens Utility Board,,TN,McMinn
2019,963,Atlantic City Electric Co,,NJ,Atlantic
2019,963,Atlantic City Electric Co,,NJ,Burlington
2019,963,Atlantic City Electric Co,,NJ,Camden
2019,963,Atlantic City Electric Co,,NJ,Cape May
2019,963,Atlantic City Electric Co,,NJ,Cumberland
2019,963,Atlantic City Electric Co,,NJ,Gloucester
2019,963,Atlantic City Electric Co,,NJ,Ocean
2019,963,Atlantic City Electric Co,,NJ,Salem
2019,965,Atlantic Municipal Utilities,,IA,Audubon
2019,965,Atlantic Municipal Utilities,,IA,Cass
2019,965,Atlantic Municipal Utilities,,IA,Pottawattamie
2019,965,Atlantic Municipal Utilities,,IA,Shelby
2019,989,City of Attica - (KS),,KS,Harper
2019,993,Auburn Board of Public Works,,NE,Johnson
2019,993,Auburn Board of Public Works,,NE,Nemaha
2019,993,Auburn Board of Public Works,,NE,Richardson
2019,994,City of Auburn - (IN),,IN,DeKalb
2019,995,City of Auburn - (IA),Y,IA,Sac
2019,998,City of Augusta - (KS),,KS,Butler
2019,1000,City of Augusta - (AR),Y,AR,Woodruff
2019,1002,City of Aurelia - (IA),Y,IA,Cherokee
2019,1004,City of Aurora - (SD),Y,SD,Brookings
2019,1009,City of Austin - (MN),,MN,Mower
2019,1015,Austin Energy,,TX,Travis
2019,1015,Austin Energy,,TX,Williamson
2019,1024,City of Ava - (MO),,MO,Douglas
2019,1024,City of Ava - (MO),,MO,Lafayette
2019,1028,Town of Avilla - (IN),Y,IN,Noble
2019,1033,City of Axtell - (KS),Y,KS,Marshall
2019,1036,Town of Ayden - (NC),,NC,Pitt
2019,1046,City of Aztec - (NM),Y,NM,San Juan
2019,1050,City of Azusa,,CA,Los Angeles
2019,1062,BARC Electric Coop Inc,,VA,Alleghany
2019,1062,BARC Electric Coop Inc,,VA,Augusta
2019,1062,BARC Electric Coop Inc,,VA,Bath
2019,1062,BARC Electric Coop Inc,,VA,Highland
2019,1062,BARC Electric Coop Inc,,VA,Rockbridge
2019,1080,City of Badger - (SD),Y,SD,Kingsbury
2019,1101,Bagley Public Utilities Comm,,MN,Clearwater
2019,1119,Town of Bainbridge - (IN),Y,IN,Putnam
2019,1148,City of Baldwin City- (KS),,KS,Douglas
2019,1149,Baldwin County El Member Corp,,AL,Baldwin
2019,1149,Baldwin County El Member Corp,,AL,Monroe
2019,1167,Baltimore Gas & Electric Co,,MD,Anne Arundel
2019,1167,Baltimore Gas & Electric Co,,MD,Baltimore
2019,1167,Baltimore Gas & Electric Co,,MD,Baltimore City
2019,1167,Baltimore Gas & Electric Co,,MD,Calvert
2019,1167,Baltimore Gas & Electric Co,,MD,Carroll
2019,1167,Baltimore Gas & Electric Co,,MD,Harford
2019,1167,Baltimore Gas & Electric Co,,MD,Howard
2019,1167,Baltimore Gas & Electric Co,,MD,Montgomery
2019,1167,Baltimore Gas & Electric Co,,MD,Prince Georges
2019,1169,Bailey County Elec Coop Assn,,TX,Bailey
2019,1169,Bailey County Elec Coop Assn,,TX,Castro
2019,1169,Bailey County Elec Coop Assn,,TX,Cochran
2019,1169,Bailey County Elec Coop Assn,,TX,Lamb
2019,1169,Bailey County Elec Coop Assn,,TX,Parmer
2019,1170,Bamberg Board of Public Works,Y,SC,Bamberg
2019,1172,Bancroft Municipal Utilities,Y,IA,Kossuth
2019,1175,"Bandera Electric Coop, Inc",,TX,Bandera
2019,1175,"Bandera Electric Coop, Inc",,TX,Bexar
2019,1175,"Bandera Electric Coop, Inc",,TX,Kendall
2019,1175,"Bandera Electric Coop, Inc",,TX,Kerr
2019,1175,"Bandera Electric Coop, Inc",,TX,Medina
2019,1175,"Bandera Electric Coop, Inc",,TX,Real
2019,1175,"Bandera Electric Coop, Inc",,TX,Uvalde
2019,1176,City of Bandon - (OR),,OR,Coos
2019,1176,City of Bandon - (OR),,OR,Curry
2019,1179,Versant Power,,ME,Aroostook
2019,1179,Versant Power,,ME,Hancock
2019,1179,Versant Power,,ME,Penobscot
2019,1179,Versant Power,,ME,Piscataquis
2019,1179,Versant Power,,ME,Waldo
2019,1179,Versant Power,,ME,Washington
2019,1181,Village of Bangor - (WI),,WI,La Crosse
2019,1181,Village of Bangor - (WI),,WI,Monroe
2019,1192,City of Banning - (CA),,CA,Riverside
2019,1196,Village of Baraga - (MI),,MI,Baraga
2019,1201,Barbourville Utility Comm,,KY,Knox
2019,1205,City of Bardwell - (KY),Y,KY,Carlisle
2019,1208,Town of Bargersville - (IN),Y,IN,Johnson
2019,1232,City of Barnesville - (GA),Y,GA,Lamar
2019,1233,City of Barnesville - (MN),,MN,Clay
2019,1251,Barron Electric Coop,,WI,Barron
2019,1251,Barron Electric Coop,,WI,Burnett
2019,1251,Barron Electric Coop,,WI,Chippewa
2019,1251,Barron Electric Coop,,WI,Dunn
2019,1251,Barron Electric Coop,,WI,Polk
2019,1251,Barron Electric Coop,,WI,Rusk
2019,1251,Barron Electric Coop,,WI,Sawyer
2019,1251,Barron Electric Coop,,WI,Washburn
2019,1273,"Bartlett Electric Coop, Inc",,TX,Bell
2019,1273,"Bartlett Electric Coop, Inc",,TX,Burleson
