Utility Characteristics,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
2017,AL,3222,Central Alabama Electric Coop,AEC,DC,0.016,.,.,.,0.016,5,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.89,.,.,.,4.89,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.016,0,0,0,0.016,5,0,0,0,5,4.89,0,0,0,4.89
2017,AL,4430,"Covington Electric Coop, Inc",AEC,AC,0.021,.,.,.,0.021,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,12,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.021,0,0,0,0.021,4,0,0,0,4,12,0,0,0,12
2017,AL,17646,"Southern Pine Elec Coop, Inc",AEC,AC,0.001,.,.,0,0.001,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.001,.,.,.,0.001,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.002,0,0,0,0.002,3,0,0,0,3,0,0,0,0,0
2017,AL,30517,"Pioneer Electric Coop, Inc - (AL)",AEC,AC,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.135,.,.,.,2.135,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.006,0,0,0,0.006,1,0,0,0,1,2.135,0,0,0,2.135
2017,AL,99999,Adjustment 2017,AEC,,-0.003,.,.,.,-0.003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.003,.,.,.,-0.003,.,.,.,.,.,.,.,.,.,.
2017,AR,814,Entergy Arkansas Inc,MISO,DC,1.409,0.62,.,.,2.029,236,41,.,.,277,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.002,0.008,.,.,0.01,1,3,.,.,4,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,1.411,0.628,0,0,2.039,237,44,0,0,281,0,0,0,0,0
2017,AR,817,Arkansas Valley Elec Coop Corp,SWPP,AC,0.267,0.017,.,.,0.284,45,1,.,.,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.012,.,.,.,16.012,0.006,.,.,.,0.006,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.273,0.017,0,0,0.29,46,1,0,0,47,16.012,0,0,0,16.012
2017,AR,1586,City of Bentonville - (AR),SWPP,AC,0.8,0.72,.,.,1.52,32,4,.,.,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.8,0.72,0,0,1.52,32,4,0,0,36,0,0,0,0,0
2017,AR,2678,C & L Electric Coop Corp,MISO,DC,0.064,.,.,.,0.064,9,.,.,.,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.064,0,0,0,0.064,9,0,0,0,9,0,0,0,0,0
2017,AR,3093,Carroll Electric Coop Corp - (AR),SWPP,DC,1.446,.,.,.,1.446,212,.,.,.,212,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.021,.,.,.,0.021,4,.,.,.,4,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,1.467,0,0,0,1.467,216,0,0,0,216,0,0,0,0,0
2017,AR,4280,Conway Corporation,MISO,AC,0.029,.,.,.,0.029,10,.,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.029,0,0,0,0.029,10,0,0,0,10,0,0,0,0,0
2017,AR,4509,Craighead Electric Coop Corp,MISO,AC,0.061,.,.,.,0.061,8,.,.,.,8,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.061,0,0,0,0.061,8,0,0,0,8,0,0,0,0,0
2017,AR,5860,Empire District Electric Co,SWPP,DC,0.035,.,.,.,0.035,4,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.802,.,.,.,1.802,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.035,0,0,0,0.035,4,0,0,0,4,1.802,0,0,0,1.802
2017,AR,6342,First Electric Coop Corp,MISO,AC,0.518,0,0,0,0.518,70,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0.528,71,0,0,0,71,0,0,0,0,0
2017,AR,8840,City of Hope,MISO,AC,0.035,.,.,.,0.035,3,.,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.035,0,0,0,0.035,3,0,0,0,3,0,0,0,0,0
2017,AR,9879,City Water and Light Plant,MISO,AC,0.01,.,.,.,0.01,2,.,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.01,0,0,0,0.01,2,0,0,0,2,0,0,0,0,0
2017,AR,13676,"North Arkansas Elec Coop, Inc",MISO,DC,0.342,.,.,.,0.342,46,.,.,.,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.008,.,.,.,0.008,5,.,.,.,5,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.35,0,0,0,0.35,51,0,0,0,51,0,0,0,0,0
2017,AR,13718,City of North Little Rock - (AR),MISO,AC,0.05,1.2,.,.,1.25,3,5,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.05,1.2,0,0,1.25,3,5,0,0,8,0,0,0,0,0
2017,AR,14063,Oklahoma Gas & Electric Co,SWPP,AC,0.095,0.037,0,0,0.132,17,4,.,.,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.004,0.001,.,.,0.005,1,1,.,.,2,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.099,0.038,0,0,0.137,18,5,0,0,23,0,0,0,0,0
2017,AR,14289,Ozarks Electric Coop Corp - (AR),SWPP,DC,1.195,0.058,.,.,1.253,162,2,.,.,164,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.002,0.009,.,.,0.011,1,1,.,.,2,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,1.197,0.067,0,0,1.264,163,3,0,0,166,0,0,0,0,0
2017,AR,14864,Petit Jean Electric Coop Corp,MISO,AC,0.046,.,.,.,0.046,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.049,0,0,0,0.049,8,0,0,0,8,0,0,0,0,0
2017,AR,15811,"Rich Mountain Elec Coop, Inc",MISO,AC,0.057,.,.,.,0.057,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.057,0,0,0,0.057,7,0,0,0,7,0,0,0,0,0
2017,AR,17184,City of Siloam Springs - (AR),SWPP,DC,0.12,.,.,.,0.12,12,.,.,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.12,0,0,0,0.12,12,0,0,0,12,0,0,0,0,0
2017,AR,17671,Southwest Arkansas E C C,MISO,AC,0.067,0,0,0,0.067,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0,0,0,0.067,11,0,0,0,11,0,0,0,0,0
2017,AR,17698,Southwestern Electric Power Co,SWPP,AC,0.274,0.46,0,0,0.734,56,15,0,0,71,0.008,0,0,0,0.008,2,0,0,0,2,0.025,0.165,0,0,0.19,2,3,0,0,5,125.348,220.968,0,0,346.316,0,0.005,0,0,0.005,0,2,0,0,2,0,0.668,0,0,0.668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0.63,0,0,0.929,58,20,0,0,78,125.348,221.636,0,0,346.984
2017,AR,20963,Woodruff Electric Coop Corp,MISO,AC,.,0.008,.,.,0.008,.,2,.,.,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.003,.,.,.,0.003,1,.,.,.,1,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.003,0.008,0,0,0.011,1,2,0,0,3,0,0,0,0,0
2017,AR,99999,Adjustment 2017,MISO,,-0.317,-0.108,.,.,-0.425,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.317,-0.108,.,.,-0.425,.,.,.,.,.,.,.,.,.,.
2017,AR,99999,Adjustment 2017,SWPP,,-0.488,-0.01,.,.,-0.498,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.488,-0.01,.,.,-0.498,.,.,.,.,.,.,.,.,.,.
2017,AZ,176,Ajo Improvement Co,AZPS,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0,0.033,0,0,0.033,0,3,0,0,3,0,0,0,0,0
2017,AZ,803,Arizona Public Service Co,AZPS,AC,477.96,216.43,.,.,694.39,73516,1301,.,.,74817,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.05,0.11,.,.,0.16,25,11,.,.,36,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,478.01,216.54,0,0,694.55,73541,1312,0,0,74853,0,0,0,0,0
2017,AZ,4071,"Columbus Electric Coop, Inc",PNM,AC,0.022,.,.,.,0.022,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23.689,.,.,.,23.689,0.006,.,.,.,0.006,1,.,.,.,1,4.141,.,.,.,4.141,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.028,0,0,0,0.028,8,0,0,0,8,27.83,0,0,0,27.83
2017,AZ,7456,Graham County Electric Coop Inc,WALC,DC,2.325,0.352,0,0,2.677,309,37,0,0,346,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,1589.716,203.47,0,0,1793.186,0.034,0,0,0,0.034,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.359,0.352,0,0,2.711,315,37,0,0,352,1589.716,203.47,0,0,1793.186
2017,AZ,12351,City of Mesa - (AZ),WALC,AC,0.088,0.315,0,0,0.403,23,21,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.27,0,0,0.32,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.088,0.315,0,0,0.403,23,21,0,0,44,0.05,0.27,0,0,0.32
2017,AZ,12919,Morenci Water and Electric Co,WALC,AC,.,0.033,.,.,0.033,.,3,.,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0,0.033,0,0,0.033,0,3,0,0,3,0,0,0,0,0
2017,AZ,13318,"Navopache Electric Coop, Inc",PNM,AC,1.662,0.442,.,.,2.104,226,30,.,.,256,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1602.951,200.171,.,.,1803.122,0.006,.,.,.,0.006,5,.,.,.,5,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,1.668,0.442,0,0,2.11,231,30,0,0,261,1602.951,200.171,0,0,1803.122
2017,AZ,14373,Page Utility Enterprises,WALC,AC,0.018,0.034,.,.,0.052,5,2,.,.,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.018,0.034,0,0,0.052,5,2,0,0,7,0,0,0,0,0
2017,AZ,15049,Electrical Dist No4 Pinal County,WALC,AC,0.242,0.03,.,.,0.272,41,1,.,.,42,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,260.444,7.92,.,.,268.364,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.242,0.03,0,0,0.272,41,1,0,0,42,260.444,7.92,0,0,268.364
2017,AZ,16572,Salt River Project,SRP,AC,111.524,18.685,2.909,.,133.118,17074,323,46,.,17443,.,.,.,.,0,.,.,.,.,0,6.051,6.161,.,.,12.212,2267,85,.,.,2352,18306,67643,2635,.,88584,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,117.575,24.846,2.909,0,145.33,19341,408,46,0,19795,18306,67643,2635,0,88584
2017,AZ,18280,Sulphur Springs Valley E C Inc,WALC,AC,7.6,3.7,.,.,11.3,1118,303,.,.,1421,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.1,.,.,.,0.1,37,.,.,.,37,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,7.7,3.7,0,0,11.4,1155,303,0,0,1458,0,0,0,0,0
2017,AZ,19189,Trico Electric Cooperative Inc,WALC,DC,13.137,8.797,.,.,21.934,1892,42,.,.,1934,.,.,.,.,0,.,.,.,.,0,0.044,.,.,.,0.044,48,.,.,.,48,11921.71,7133.546,.,.,19055.256,0.002,.,.,.,0.002,1,.,.,.,1,0.572,.,.,.,0.572,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,13.183,8.797,0,0,21.98,1941,42,0,0,1983,11922.282,7133.546,0,0,19055.828
2017,AZ,19728,"UNS Electric, Inc",TEPC,DC,24.409,7.513,0.801,.,32.723,2744,131,7,.,2882,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19774.233,4955.026,487.592,.,25216.851,0.295,0.006,0,.,0.301,98,3,0,.,101,218.511,26.507,.,.,245.018,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,24.704,7.519,0.801,0,33.024,2842,134,7,0,2983,19992.744,4981.533,487.592,0,25461.869
2017,AZ,21538,"Mohave Electric Cooperative, Inc",WALC,AC,6.153,1.831,.,.,7.984,585,74,.,.,659,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,269.626,42.586,.,.,312.212,0.055,.,.,.,0.055,25,.,.,.,25,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,6.208,1.831,0,0,8.039,610,74,0,0,684,269.626,42.586,0,0,312.212
2017,AZ,24211,Tucson Electric Power Co,TEPC,DC,121.44,107.56,.,.,229,17381,536,.,.,17917,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6081.5,2617.267,.,.,8698.767,.,0.01,0.024,.,0.034,.,1,1,.,2,.,.,0,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,121.44,107.57,0.024,0,229.034,17381,537,1,0,17919,6081.5,2617.267,0,0,8698.767
2017,AZ,25060,Wellton-Mohawk Irr & Drain Dist,WALC,AC,0.062,0.16,.,.,0.222,9,6,.,.,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.062,0.16,0,0,0.222,9,6,0,0,15,0,0,0,0,0
2017,AZ,30518,Electrical Dist No3 Pinal County,AZPS,AC,2.612,.,.,.,2.612,392,.,.,.,392,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,2.612,0,0,0,2.612,392,0,0,0,392,0,0,0,0,0
2017,AZ,40165,"Dixie Escalante R E A, Inc",PACE,DC,0,0.16,.,.,0.16,0,1,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,139.807,.,.,139.807,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0,0.16,0,0,0.16,0,1,0,0,1,0,139.807,0,0,139.807
2017,AZ,99999,Adjustment 2017,PACE,,0,-0.028,.,.,-0.028,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-0.028,.,.,-0.028,.,.,.,.,.,.,.,.,.,.
2017,AZ,99999,Adjustment 2017,TEPC,,-25.436,-20.069,-0.14,.,-45.644,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-25.436,-20.069,-0.14,.,-45.644,.,.,.,.,.,.,.,.,.,.
2017,AZ,99999,Adjustment 2017,WALC,,-2.697,-1.596,0,0,-4.292,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-0.008,.,.,.,-0.008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-2.704,-1.596,0,0,-4.3,.,.,.,.,.,.,.,.,.,.
2017,CA,207,City of Alameda,CISO,AC,1.373,2.42,.,.,3.793,348,28,.,.,376,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,108,142,.,.,250,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,1.373,2.42,0,0,3.793,348,28,0,0,376,108,142,0,0,250
2017,CA,590,City of Anaheim - (CA),CISO,DC,15.08,10.854,.,.,25.934,2805,123,.,.,2928,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,15.08,10.854,0,0,25.934,2805,123,0,0,2928,0,0,0,0,0
2017,CA,694,Anza Electric Coop Inc,WALC,DC,0.29,0.695,.,.,0.985,56,1,.,.,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.29,0.695,0,0,0.985,56,1,0,0,57,0,0,0,0,0
2017,CA,1050,City of Azusa,CISO,DC,0.906,0.014,0.405,.,1.325,216,1,5,.,222,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,.,.,.,.,0,0.906,0.014,0.405,0,1.325,216,1,5,0,222,0,0,0,0,0
