Utility Characteristics,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
2017,970,Homefield Energy,IL,MISO,0,0,74,0,74,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,994,City of Auburn - (IN),IN,PJM,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1009,City of Austin - (MN),MN,MISO,0,9,0,0,9,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1015,Austin Energy,TX,ERCO,28,11,4,.,43,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1050,City of Azusa,CA,CISO,85,2,32,.,119,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1167,Baltimore Gas & Electric Co,MD,PJM,1095273,.,.,.,1095273,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2017,1175,"Bandera Electric Coop, Inc",TX,ERCO,1202,.,.,.,1202,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1181,Village of Bangor - (WI),WI,MISO,.,1,2,.,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1192,City of Banning - (CA),CA,CISO,0,0,12,0,12,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1283,Bartholomew County Rural E M C,IN,MISO,292,.,.,.,292,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1366,City of Bay City - (MI),MI,MISO,0,21,16,.,37,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1529,"Beltrami Electric Coop, Inc",MN,MISO,.,27,.,.,27,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2017,1578,Benton County,TN,TVA,0,1709,1,0,1710,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1591,"Big Country Electric Coop, Inc",TX,ERCO,0,0,15,0,15,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1613,Berkeley Electric Coop Inc,SC,SC,0,11,2,0,13,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1675,Big Horn Rural Electric Co,WY,WACM,1,2,.,.,3,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1769,"Black Hills Electric Coop, Inc",SD,SWPP,5380,970,84,0,6434,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1776,City of Black River Falls,WI,MISO,0,16,0,0,16,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1884,BENCO Electric Cooperative,MN,MISO,18,.,2,.,20,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,51,13,0,0,64,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,1997,City of Boscobel - (WI),WI,MISO,0,8,0,0,8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2008,City of Boulder City - (NV),NV,WALC,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2056,City of Bowling Green - (KY),KY,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2192,Bremen Electric Light & Power Co,IN,MISO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2212,"Broad River Electric Coop, Inc",NC,DUK,5,.,.,.,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2247,City of Bristol - (TN),TN,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2248,Bristol Virginia Utilities,VA,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2273,Brodhead Water & Lighting Comm,WI,MISO,1,1,2,0,4,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2411,City of Brownsville,TN,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2439,City of Bryan - (OH),OH,PJM,.,4,6,.,10,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2442,City of Bryan - (TX),TX,ERCO,.,27,.,.,27,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2507,City of Burbank Water and Power,CA,LDWP,166,7006,.,.,7172,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2548,City of Burlington Electric - (VT),VT,ISNE,38,9,10,0,57,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,SWPP,6662,780,8,.,7450,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N
2017,2651,Butler Rural Electric Coop Inc - (OH),OH,PJM,.,1,2,.,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N
2017,2830,Calpine Power America LLC,ME,ISNE,0,0,1,0,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2830,Calpine Power America LLC,TX,ERCO,.,.,1,.,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2849,Central Electric Power Assn - (MS),MS,TVA,0,1,5,0,6,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2960,"Caney Fork Electric Coop, Inc",TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,2998,"Carbon Power & Light, Inc",WY,WACM,436,72,4,.,512,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3046,Duke Energy Progress - (NC),NC,CPLE,23098,19941,1278,0,44317,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3046,Duke Energy Progress - (NC),SC,CPLE,1590,5647,176,0,7413,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3075,Carroll County - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3208,Cedarburg Light & Water Comm,WI,MISO,40,29,2,0,71,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3222,Central Alabama Electric Coop,AL,AEC,.,.,2,.,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2017,3226,"Central Rural Electric Cooperative, Inc",OK,AECI,.,12,.,.,12,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3245,"Central Florida Elec Coop, Inc",FL,SEC,2,3,292,0,297,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3248,Central Georgia El Member Corp,GA,SOCO,7,0,4,0,11,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3249,Central Hudson Gas & Elec Corp,NY,NYIS,971,250,56,.,1277,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3266,Central Maine Power Co,ME,ISNE,5810,910,161,.,6881,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3273,"Central New Mexico El Coop, Inc",NM,PNM,2048,11,.,.,2059,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3293,Central Wisconsin Elec Coop,WI,MISO,80,39,.,.,119,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3400,City of Chaska - (MN),MN,MISO,9,.,.,.,9,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3408,City of Chattanooga - (TN),GA,TVA,7,0,0,0,7,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3408,City of Chattanooga - (TN),TN,TVA,100,20,52,0,172,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3413,PUD No 1 of Chelan County,WA,CHPD,.,.,25,.,25,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3426,Cherokee Electric Coop,AL,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3498,Chippewa Valley Electric Coop,WI,MISO,0,10,24,0,34,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2017,3502,"Choctawhatche Elec Coop, Inc",FL,AEC,94,.,.,.,94,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3503,"Choptank Electric Coop, Inc",MD,PJM,0,229,9,.,238,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2017,3542,Duke Energy Ohio Inc,OH,PJM,17,1136,107,.,1260,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N
2017,3701,Clark Electric Coop - (WI),WI,MISO,235,.,.,.,235,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3704,City of Clarksville - (TN),TN,TVA,0,1,2,0,3,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3722,Clarke Electric Coop Inc - (IA),IA,MISO,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3755,Cleveland Electric Illum Co,OH,PJM,22,0,0,0,22,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
2017,3758,City of Cleveland - (TN),TN,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3812,City of Clinton - (TN),TN,TVA,0,0,10,0,10,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3814,City of Clintonville - (WI),WI,MISO,10,3,12,.,25,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3841,Coast Electric Power Assn,MS,SOCO,15987,105,0,0,16092,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3843,Coastal Electric Member Corp,GA,SOCO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3915,Coldwater Board of Public Util,MI,MISO,.,178,64,.,242,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3916,Cobb Electric Membership Corp,GA,SOCO,10,1456,.,.,1466,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,3989,City of Colorado Springs - (CO),CO,WACM,18,1756,176,0,1950,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4003,City of Colton - (CA),CA,CISO,0,0,86,0,86,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4045,City of Columbia - (MO),MO,MISO,.,.,11,.,11,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4073,City of Columbus - (WI),WI,MISO,1,10,2,0,13,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4110,Commonwealth Edison Co,IL,PJM,252513,8523,114,0,261150,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N
2017,4147,Town of Concord - (MA),MA,ISNE,37,.,.,.,37,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4176,Connecticut Light & Power Co,CT,ISNE,414,2364,666,2,3446,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
2017,4226,Consolidated Edison Co-NY Inc,NY,NYIS,2600,1248,0,0,3848,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
2017,4254,Consumers Energy Co,MI,MISO,17432,115,132,0,17679,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
2017,4294,City of Cookeville - (TN),TN,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4327,Coosa Valley Electric Coop Inc,AL,AEC,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4430,"Covington Electric Coop, Inc",AL,AEC,.,7,.,.,7,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4432,Coweta-Fayette El Member Corp,GA,SOCO,34,3,.,.,37,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4437,City of Covington - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4471,Craig-Botetourt Electric Coop,VA,PJM,1,.,.,.,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4538,Crisp County Power Comm,GA,SOCO,15,.,2,.,17,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4577,Crow Wing Cooperative Power & Light Comp,MN,MISO,.,3,.,.,3,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4604,City of Crystal Falls,MI,MISO,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4607,City of Cuba City,WI,MISO,0,5,0,0,5,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4618,"Cullman Electric Coop, Inc",AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4622,"Cumberland Valley Electric, Inc.",KY,PJM,13,.,.,.,13,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4624,Cumberland Elec Member Corp,TN,TVA,0,0,10,0,10,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4675,Cuivre River Electric Coop Inc,MO,AECI,.,24,.,.,24,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
2017,4704,"DS&O Electric Cooperative, Inc.",KS,SWPP,7125,45,4,.,7174,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N
2017,4848,Daviess Martin County R E M C,IN,MISO,38,.,.,.,38,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4920,City of Dayton - (TN),TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4958,Decatur Utilities,AL,TVA,0,0,6,0,6,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,4960,Decatur County Rural E M C,IN,MISO,1,.,.,.,1,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5027,Delmarva Power,DE,PJM,255800,14200,.,.,270000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N
2017,5027,Delmarva Power,MD,PJM,173000,.,.,.,173000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N
2017,5063,City of Denton - (TX),TX,ERCO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5070,Delaware Electric Cooperative,DE,PJM,0,36,0,0,36,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5078,"Denton County Elec Coop, Inc",TX,ERCO,690,162,76,.,928,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5086,Delta Montrose Electric Assn,CO,WACM,1931,19,0,.,1950,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5109,DTE Electric Company,MI,MISO,2306,1,0,0,2307,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N
2017,5111,City of Detroit Lakes - (MN),MN,MISO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5148,City of Dickson,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5325,City of Douglas,GA,SOCO,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5327,Douglas Electric Coop - (OR),OR,BPAT,.,2,.,.,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5399,Duck River Elec Member Corp,TN,TVA,5,0,4,0,9,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5416,"Duke Energy Carolinas, LLC",NC,DUK,1946,16183,1124,0,19253,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5416,"Duke Energy Carolinas, LLC",SC,DUK,300,4997,527,0,5824,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5487,Duquesne Light Co,PA,PJM,0,62,18,.,80,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5509,City of Dyersburg,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5551,City of Eagle River - (WI),WI,MISO,.,8,.,.,8,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5578,East Mississippi Elec Pwr Assn,MS,TVA,0,84,0,0,84,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5605,Eastern Iowa Light & Power Coop,IA,MISO,21715,1931,16,.,23662,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5632,Eau Claire Electric Coop,WI,MISO,7,11,8,0,26,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2017,5701,El Paso Electric Co,NM,EPE,26,94,8,.,128,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5701,El Paso Electric Co,TX,EPE,17,515,40,.,572,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5860,Empire District Electric Co,MO,SWPP,.,.,3,.,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
2017,5953,"Entergy Solutions, Ltd",MA,ISNE,.,.,1,.,1,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5961,Town of Erwin - (TN),TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5964,"Escambia River Elec Coop, Inc",FL,AEC,.,13,.,.,13,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,5997,Town of Estes Park,CO,PSCO,312,24,.,.,336,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6008,City of Etowah,TN,TVA,0,0,2,0,2,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6043,City of Evansville,WI,MISO,3,14,1,0,18,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6112,"Farmers Electric Coop, Inc - (IA)",IA,MISO,.,.,1,.,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2017,6234,City of Fayetteville,TN,TVA,0,0,3,0,3,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6235,Fayetteville Public Works Commission,NC,CPLE,.,.,5,.,5,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6374,Fitchburg Gas and Electric Light Company,MA,ISNE,.,.,28,.,28,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6395,Flathead Electric Coop Inc,MT,BPAT,.,26,92,.,118,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6411,Flint Electric Membership Corp,GA,SOCO,0,159,0,0,159,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
2017,6422,City of Florence - (AL),AL,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6424,Florence Utility Comm,WI,MISO,0,2,0,0,2,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6431,"Flint Hills Rural E C A, Inc",KS,SWPP,421,28,15,.,464,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,N
2017,6455,"Duke Energy Florida, LLC",FL,FPC,28,14308,458,.,14794,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6457,Florida Public Utilities Co,FL,JEA,6,1,0,0,7,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6608,Fort Loudoun Electric Coop,TN,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6612,Fort Payne Improvement Authority,AL,TVA,0,1,0,0,1,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6638,City of Fountain,CO,PSCO,.,38,.,.,38,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6640,Four County Elec Member Corp,NC,CPLE,13,.,.,.,13,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6641,4-County Electric Power Assn,MS,TVA,0,933,5,0,938,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6717,Franklin Electric Coop - (AL),AL,TVA,0,1,3,0,4,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6718,City of Franklin - (KY),KY,TVA,0,0,4,0,4,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2017,6782,Freeborn-Mower Coop Services,MN,MISO,3,44,10,0,57,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
2017,6909,Gainesville Regional Utilities,FL,GVL,.,12,.,.,12,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
