|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Residential|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Commercial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Industrial|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Transportation|,|Reporting Year Incremental Annual Savings.Energy Savings (MWh).Total|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Residential|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Commercial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Industrial|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Transportation|,|Reporting Year Incremental Annual Savings.Peak Demand Savings (MW).Total|,|Incremental Life Cycle Savings.Energy Savings (MWh).Residential|,|Incremental Life Cycle Savings.Energy Savings (MWh).Commercial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Industrial|,|Incremental Life Cycle Savings.Energy Savings (MWh).Transportation|,|Incremental Life Cycle Savings.Energy Savings (MWh).Total|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Residential|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Commercial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Industrial|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Transportation|,|Incremental Life Cycle Savings.Peak Demand Savings (MW).Total|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.Customer Incentives (Thousand Dollars).Total|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Residential|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Commercial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Industrial|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Transportation|,|Reporting Year Incremental Cost.All Other Costs (Thousand Dollars).Total|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.Customer Incentives (Thousand Dollars).Total|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Residential|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Commercial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Industrial|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Transportation|,|Incremental Life Cycle Costs.All Other Costs (Thousand Dollars).Total|,|Weighted Average Life.(Years).Residential|,|Weighted Average Life.(Years).Commercial|,|Weighted Average Life.(Years).Industrial|,|Weighted Average Life.(Years).Transportation|,|..Website|
2022,803,Arizona Public Service Co,AZ,AZPS,"114,765","153,167",0,0,"267,932",76.3,27.4,0.0,0.0,103.7,"1,110,662","1,969,325",0,0,"3,079,987",76.3,27.4,0.0,0.0,103.7,"16,820","9,800",0,0,"26,620","11,220","10,570",0,0,"21,790","16,820","9,800",0,0,"26,620","11,220","10,570",0,0,"21,790",9.700,12.900,0.000,0.000,
2022,814,Entergy Arkansas LLC,AR,MISO,"125,758","77,391","86,892",.,"290,041",25.4,11.9,16.2,.,53.5,"2,031,657","497,076","817,843",.,"3,346,576",25.4,11.9,16.2,.,53.5,"19,632","8,024","7,268",.,"34,924","6,953","3,398","4,665",.,"15,016","19,632","8,024","7,268",.,"34,924","6,953","3,398","4,665",.,"15,016",18.000,14.700,12.500,.,
2022,924,"Associated Electric Coop, Inc",MO,SWPP,"3,293","1,490",307,.,"5,090",0.4,0.6,0.1,.,1.1,"83,629","44,676","9,204",.,"137,510",0.5,0.6,0.1,.,1.2,"1,657",311,37,.,"2,005",94,6,0,.,100,"1,657",311,37,.,"2,005",94,6,0,.,100,18.000,13.000,13.000,.,
2022,963,Atlantic City Electric Co,NJ,PJM,"37,737","11,194",.,.,"48,931",5.5,1.9,.,.,7.5,"351,904","172,882",.,.,"524,786",5.5,1.9,.,.,7.5,"2,680","2,484",.,.,"5,165","4,246","4,606",.,.,"8,852","2,680","2,484",.,.,"5,165","4,246","4,606",.,.,"8,852",9.300,15.400,.,.,
2022,1009,City of Austin - (MN),MN,MISO,186,"3,580",.,.,"3,766",0.1,0.8,.,.,0.8,"1,857","35,800",.,.,"37,657",0.1,0.8,.,.,0.8,53,139,.,.,192,83,79,21,.,183,53,139,.,.,192,83,79,21,.,183,10.000,10.000,10.000,.,
2022,1015,Austin Energy,TX,ERCO,"27,489","72,201","24,067",.,"123,758",13.0,25.2,8.4,.,46.7,"522,296","1,155,222","385,074",.,"2,062,591",13.0,25.2,8.4,.,46.7,"9,322","2,642",881,.,"12,844","4,784","1,846",615,.,"7,245","9,322","2,642",881,.,"12,844","4,784","1,846",615,.,"7,245",19.000,16.000,16.000,.,
2022,1050,City of Azusa,CA,CISO,181,"2,599",66,.,"2,846",0.1,1.2,0.0,.,1.3,"1,505","38,380","1,062",.,"40,947",0.1,1.3,0.0,.,1.4,59,401,30,.,490,6,160,4,.,170,59,401,30,.,490,6,160,4,.,170,11.418,14.039,15.000,.,
2022,1167,Baltimore Gas & Electric Co,MD,PJM,"232,117","144,022",0,0,"376,139",50.0,21.2,0.0,0.0,71.2,"738,406","1,724,399",0,0,"2,462,805",50.0,21.2,0.0,0.0,71.2,"34,722","35,269",0,0,"69,990","19,704","13,525",0,0,"33,229","34,722","35,269",0,0,"69,990","19,704","13,525",0,0,"33,229",3.181,11.973,0.000,0.000,https://www.psc.state.md.us/official-filings/
2022,1251,Barron Electric Coop,WI,MISO,354,5,0,0,359,0.0,0.0,0.0,0.0,0.0,"5,277",88,0,0,"5,365",0.0,0.0,0.0,0.0,0.0,57,1,0,0,58,72,1,0,0,73,57,1,0,0,58,72,1,0,0,73,14.906,17.667,0.000,0.000,
2022,1273,"Bartlett Electric Coop, Inc",TX,ERCO,25,0,0,0,25,0.0,0.0,0.0,0.0,0.0,361,0,0,0,361,0.0,0.0,0.0,0.0,0.0,5,0,0,0,5,1,0,0,0,1,20,0,0,0,20,1,0,0,0,1,16.040,0.000,0.000,0.000,https://www.bartlettec.coop
2022,1366,City of Bay City - (MI),MI,MISO,"1,090","2,690",0,0,"3,780",0.1,0.3,0.0,0.0,0.4,"4,779","17,024",0,0,"21,803",0.1,0.1,0.0,0.0,0.2,173,237,0,0,410,81,112,0,0,193,173,237,0,0,410,81,112,0,0,193,9.740,16.220,0.000,0.000,www.baycityenergysmart.org
2022,1529,"Beltrami Electric Coop, Inc",MN,MISO,"4,361",880,0,0,"5,241",0.6,0.2,.,.,0.8,"65,187","11,649",0,0,"76,836",0.6,0.2,.,.,0.8,258,47,.,.,305,159,2,.,.,161,258,47,.,.,305,159,2,.,.,161,14.570,12.770,.,.,
2022,1579,PUD No 1 of Benton County,WA,BPAT,"1,059",778,"1,199",.,"3,036",0.1,0.1,0.1,.,0.3,"18,024","9,328","6,901",.,"34,253",0.1,0.1,0.1,.,0.3,411,115,252,.,778,228,123,62,.,413,489,160,308,.,957,228,115,252,.,595,19.800,12.800,8.100,.,
2022,1613,Berkeley Electric Coop Inc,SC,SC,216,754,.,.,970,0.5,0.3,.,.,0.7,"1,944","7,540",.,.,"9,484",0.5,0.3,.,.,0.7,79,18,.,.,97,50,0,.,.,50,79,18,.,.,97,50,0,.,.,50,11.000,10.000,.,.,
2022,1723,"Big Bend Electric Coop, Inc",WA,BPAT,110,193,"1,375",0,"1,679",0.0,0.1,0.4,0.0,0.5,"1,971","2,317","12,598",0,"16,886",0.0,0.1,0.3,0.0,0.4,64,29,300,0,394,22,9,92,0,123,64,29,300,0,394,22,9,92,0,123,17.890,12.000,9.160,0.000,All savings are reported to Bonneville Power Administration.
2022,1889,Blue Ridge Elec Member Corp - (NC),NC,DUK,194,.,.,.,194,1.0,.,.,.,1.0,"1,185",.,.,.,"1,185",1.0,.,.,.,1.0,27,.,.,.,27,0,.,.,.,0,117,.,.,.,117,.,.,.,.,.,7.000,.,.,.,
2022,2008,City of Boulder City - (NV),NV,WALC,140,0,0,0,140,.,0.0,0.0,0.0,0.0,"1,589",0,0,0,"1,589",.,0.0,0.0,0.0,0.0,22,0,0,0,22,.,0,0,0,0,22,0,0,0,22,11,0,0,0,11,15.000,.,.,.,
2022,2089,Bozrah Light & Power Company,CT,ISNE,51,68,0,0,119,0.0,0.0,0.0,0.0,0.0,634,890,0,0,"1,524",0.0,0.0,0.0,0.0,0.0,185,18,0,0,203,17,22,0,0,39,185,18,0,0,203,17,22,0,0,39,12.500,13.000,0.000,0.000,
2022,2285,City of Brookings - (SD),SD,WACM,163,232,308,0,703,0.0,0.0,0.1,0.0,0.1,"2,903","2,840","3,764",0,"9,507",0.0,0.0,0.1,0.0,0.1,11,12,16,0,39,11,12,16,0,39,11,12,16,0,39,11,12,16,0,39,17.824,12.227,12.227,0.000,
2022,2442,City of Bryan - (TX),TX,ERCO,345,"1,613",.,.,"1,958",0.1,0.4,.,.,0.5,"3,451","16,131",.,.,"19,582",0.1,0.7,.,.,0.8,100,166,.,.,266,61,36,.,.,96,100,166,.,.,266,61,36,.,.,96,10.000,10.000,.,.,
2022,2507,City of Burbank Water and Power,CA,LDWP,680,"6,649",0,.,"7,329",0.2,1.5,0.0,.,1.7,"6,156","108,440",0,.,"114,596",0.3,1.5,0.0,.,1.7,792,498,0,.,"1,290",44,637,0,.,681,792,498,0,.,"1,290",44,637,0,.,681,13.209,16.419,0.000,.,https://www.burbankwaterandpower.com/conservation
2022,2548,City of Burlington Electric - (VT),VT,ISNE,881,"3,326",0,0,"4,207",0.1,0.5,0.0,0.0,0.5,"12,344","49,890",0,0,"62,234",0.1,0.5,0.0,0.0,0.5,253,960,0,0,"1,213",373,572,0,0,946,253,960,0,0,"1,213",373,572,0,0,946,14.000,15.000,0.000,0.000,www.burlingtonelectric.com
2022,3046,Duke Energy Progress - (NC),NC,CPLE,"277,561","78,774",.,.,"356,335",51.4,14.2,.,.,65.6,"2,195,721","1,064,588",.,.,"3,260,308",51.4,14.2,.,.,65.6,"24,450","10,193",.,.,"34,643","12,046","5,085",.,.,"17,132","24,450","10,193",.,.,"34,643","12,046","5,085",.,.,"17,132",7.900,13.500,.,.,
2022,3046,Duke Energy Progress - (NC),SC,CPLE,"44,342","12,585",.,.,"56,927",8.2,2.3,.,.,10.5,"350,783","170,076",.,.,"520,859",8.2,2.3,.,.,10.5,"3,906","1,628",.,.,"5,534","1,924",812,.,.,"2,737","3,906","1,628",.,.,"5,534","1,924",812,.,.,"2,737",7.911,13.515,.,.,
2022,3107,Carteret-Craven El Member Corp,NC,CPLE,"1,838",343,.,.,"2,181",0.2,0.0,.,.,0.2,"1,886","5,838",.,.,"7,725",0.2,0.0,.,.,0.2,1,0,.,.,1,15,165,.,.,180,1,0,.,.,1,15,165,.,.,180,1.030,17.000,.,.,
2022,3203,Cedar Falls Utilities,IA,MISO,548,618,405,.,"1,571",0.4,0.1,0.1,.,0.6,"9,392","7,518","4,250",.,"21,160",0.4,0.1,0.1,.,0.6,155,42,33,.,230,255,22,3,.,280,155,42,33,.,230,255,22,3,.,280,17.138,13.835,14.852,.,
2022,3205,Cedar-Knox Public Power Dist,NE,SWPP,68,528,76,.,673,0.0,0.1,0.0,.,0.1,953,"5,813",607,.,"7,373",0.0,0.1,0.0,.,0.1,22,19,7,.,48,2,31,4,.,37,22,19,7,.,48,2,31,4,.,37,13.844,11.000,7.936,.,
2022,3240,Central Electric Coop Inc - (OR),OR,BPAT,"1,835","1,234",291,.,"3,360",0.2,0.1,0.0,.,0.4,"31,857","14,584","2,820",.,"49,261",0.2,0.1,0.0,.,0.4,"1,199",169,84,.,"1,452",.,.,.,.,.,"1,199",169,84,.,"1,452",.,.,.,.,.,17.360,11.820,9.690,.,
2022,3245,"Central Florida Elec Coop, Inc",FL,SEC,111,59,0,.,170,0.0,0.0,0.0,.,0.0,"1,702",729,0,0,"2,431",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,44,.,.,99,0,0,0,0,0,55,44,0,0,99,14.939,12.367,0.000,0.000,
2022,3249,Central Hudson Gas & Elec Corp,NY,NYIS,"46,571","31,343",.,.,"77,914",2.5,5.1,.,.,7.6,"623,187","374,274",.,.,"997,461",2.5,5.1,.,.,7.6,"2,496","4,509",.,.,"7,006","1,243",405,.,.,"1,648","5,917","10,705",.,.,"16,622","2,940",959,.,.,"3,899",13.381,11.941,.,.,WWW.CENHUD.COM
2022,3258,Central Iowa Power Cooperative,IA,MISO,"2,122",952,112,.,"3,186",0.3,0.0,0.0,.,0.3,"32,684","16,809","1,746",.,"51,239",0.3,0.0,0.0,.,0.3,423,28,14,.,465,153,50,7,.,210,423,28,14,.,465,153,50,7,.,210,15.400,17.650,15.650,.,Ihttps://cipco.net/integrated-resource-plan
2022,3264,Central Lincoln People's Ut Dt,OR,BPAT,"2,614","1,291",971,.,"4,876",0.5,0.1,0.1,.,0.8,"45,916","17,785","9,189",.,"72,890",0.5,0.1,0.1,.,0.8,921,171,90,.,"1,182",60,30,22,.,112,921,171,90,.,"1,182",60,30,22,.,112,17.562,13.773,9.467,.,clpud.org
2022,3278,AEP Texas Central Company,TX,ERCO,"27,915","42,281",0,0,"70,196",7.9,40.1,.,.,48.0,"327,681","562,233",.,.,"889,914",7.9,40.1,.,.,48.0,"6,683","5,515",.,.,"12,198",944,778,.,.,"1,722","6,683","5,515",.,.,"12,198",944,778,.,.,"1,722",11.700,13.300,.,.,
2022,3287,"Central Valley Elec Coop, Inc",NM,SWPP,95,13,0,0,108,0.0,0.0,0.0,0.0,0.0,114,40,0,0,154,0.0,0.0,0.0,0.0,0.0,3,2,0,0,5,96,0,0,0,96,3,2,0,0,5,96,0,0,0,96,1.200,3.000,0.000,0.000,
2022,3295,City of Centralia - (WA),WA,BPAT,143,109,0,0,252,0.0,0.0,0.0,0.0,0.0,"2,150","1,391",0,0,"3,541",0.0,0.0,0.0,0.0,0.0,73,24,0,0,97,0,0,0,0,0,73,24,0,0,97,0,0,0,0,0,15.000,12.750,0.000,.,
2022,3400,City of Chaska - (MN),MN,MISO,517,653,"4,646",.,"5,816",0.3,0.1,0.6,.,1.0,"5,167","6,535","46,458",.,"58,159",0.3,0.1,0.6,.,1.0,91,240,207,.,539,10,13,92,.,116,91,240,207,.,539,10,13,92,.,116,10.000,10.000,10.000,.,
2022,3413,PUD No 1 of Chelan County,WA,CHPD,"1,790","7,142","6,904",.,"15,836",0.8,1.6,1.3,.,3.8,"33,544","85,441","83,808",.,"202,793",0.8,1.6,1.3,.,3.8,"1,131","2,184","2,232",.,"5,547",444,517,45,.,"1,006","1,131","2,184","2,232",.,"5,547",444,517,45,.,"1,006",18.738,11.964,12.139,.,
2022,3461,Cheyenne Light Fuel & Power,WY,WACM,297,"1,721",.,.,"2,018",0.0,0.4,.,.,0.5,"4,455","25,815",.,.,"30,270",0.0,0.4,.,.,0.5,31,261,.,.,291,110,297,.,.,408,31,261,.,.,291,110,297,.,.,408,15.000,15.000,.,.,WY PSC
2022,3477,City of Chicopee - (MA),MA,ISNE,151,590,396,.,"1,137",0.0,0.2,0.0,.,0.2,"1,512","8,848","5,940",.,"16,299",0.0,0.2,0.0,.,0.2,119,76,52,.,246,83,43,30,.,156,119,76,52,.,246,83,43,30,.,156,10.000,15.000,15.000,.,
2022,3502,"Choctawhatche Elec Coop, Inc",FL,SOCO,43,0,0,0,43,0.0,0.0,0.0,0.0,0.0,641,0,0,0,641,0.0,0.0,0.0,0.0,0.0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,14,0,0,0,0,0,15.000,0.000,0.000,0.000,
2022,3644,PUD No 1 of Clallam County,WA,BPAT,"2,466","2,242",214,0,"4,922",0.3,0.3,0.0,0.0,0.6,"38,678","28,055","2,571",0,"69,304",0.3,0.3,0.0,0.0,0.6,413,131,25,0,569,149,42,8,0,199,413,131,25,0,569,149,42,8,0,199,15.682,12.515,12.000,0.000,
2022,3660,PUD No 1 of Clark County - (WA),WA,BPAT,"23,148","11,205","8,726",.,"43,079",5.4,2.6,2.0,.,10.0,"92,592","123,255","95,986",.,"311,833",5.4,2.6,2.0,.,10.0,"2,845","1,706","1,775",.,"6,326","1,484",85,8,.,"1,577","2,845","1,706","1,775",.,"6,326","1,484",85,8,.,"1,577",4.000,11.000,11.000,.,
2022,3755,Cleveland Electric Illum Co,OH,PJM,"3,795",0,0,0,"3,795",0.5,0.0,0.0,0.0,0.5,"37,109",0,0,0,"37,109",0.5,0.0,0.0,0.0,0.5,"3,035",0,0,0,"3,035",169,0,0,0,169,"3,035",0,0,0,"3,035",169,0,0,0,169,9.778,0.000,0.000,0.000,https://dis.puc.state.oh.us/
2022,3828,Cloverland Electric Co-op,MI,MISO,695,598,0,0,"1,293",0.1,0.1,0.0,0.0,0.2,"7,424","6,296",0,0,"13,720",0.1,0.1,0.0,0.0,0.2,188,46,0,0,234,327,168,0,0,495,188,46,0,0,234,327,168,0,0,495,10.680,11.090,0.000,0.000,
2022,3841,Coast Electric Power Assn,MS,SOCO,"3,736",27,.,.,"3,762",0.8,0.0,.,.,0.8,"19,053",402,.,.,"19,455",0.8,0.0,.,.,0.8,270,6,.,.,276,3,0,.,.,3,270,11,.,.,281,3,0,.,.,3,5.100,15.000,.,.,
2022,3915,Coldwater Board of Public Util,MI,MISO,665,"1,340","2,401",.,"4,406",0.0,0.3,0.6,.,0.9,665,"13,240","24,010",.,"37,915",0.0,0.3,0.6,.,0.9,28,77,79,.,184,19,54,55,.,128,28,77,79,.,184,19,54,55,.,128,1.000,10.000,10.000,.,
2022,3940,City of College Station - (TX),TX,ERCO,687,259,.,.,946,0.4,0.1,.,.,0.5,"8,629","3,369",.,.,"11,998",0.4,0.1,.,.,0.5,216,7,.,.,223,96,22,.,.,118,216,7,.,.,223,96,22,.,.,118,13.000,13.000,.,.,
2022,3989,City of Colorado Springs - (CO),CO,WACM,554,"14,465",0,0,"15,019",0.1,2.4,0.0,0.0,2.5,"6,562","149,439",0,0,"156,001",0.1,2.4,0.0,0.0,2.5,22,"1,514",0,0,"1,536",339,529,0,0,868,22,"1,514",0,0,"1,536",339,529,0,0,868,11.853,10.331,0.000,0.000, 
2022,4003,City of Colton - (CA),CA,CISO,598,"1,422",608,.,"2,628",0.1,0.3,0.1,.,0.5,"7,618","3,205","6,135",.,"16,958",0.1,0.3,0.1,.,0.5,87,127,42,.,256,137,40,102,.,279,87,127,42,.,256,137,40,102,.,279,12.680,3.157,9.820,.,www.coltononline.com 
2022,4041,"Columbia Rural Elec Assn, Inc",WA,BPAT,681,37,56,.,774,0.1,0.0,0.0,.,0.1,"7,835",422,505,.,"8,762",0.1,0.0,0.0,.,0.1,133,3,13,.,149,.,.,.,.,.,133,3,13,.,149,.,.,.,.,.,11.510,11.510,9.010,.,
2022,4045,City of Columbia - (MO),MO,MISO,878,"2,188",.,.,"3,066",0.4,0.5,.,.,0.9,"18,438","32,820",.,.,"51,258",0.4,0.5,.,.,0.9,337,124,.,.,461,175,115,.,.,290,337,124,.,.,461,175,115,.,.,290,21.000,15.000,.,.,
2022,4110,Commonwealth Edison Co,IL,PJM,"1,034,441","928,040",.,.,"1,962,481",120.0,152.0,.,.,272.0,"10,684,219","10,035,064",.,.,"20,719,283",120.0,152.0,.,.,272.0,"92,991","160,228",.,.,"253,218","46,579","55,722",.,.,"102,301","92,991","160,228",.,.,"253,218","46,579","55,722",.,.,"102,301",10.280,10.790,.,.,
2022,4176,Connecticut Light & Power Co,CT,ISNE,"60,456","179,257","53,544",.,"293,257",9.8,28.7,8.6,.,47.1,"587,482","1,409,421","420,996",.,"2,417,898",9.8,28.7,8.6,.,47.1,"73,779","44,191","13,200",.,"131,170","18,038","2,676","4,227",.,"24,941","73,779","44,191","13,200",.,"131,170","18,038","2,676","4,227",.,"24,941",9.720,7.860,7.860,.,https://www.ctenergydashboard.com
2022,4226,Consolidated Edison Co-NY Inc,NY,NYIS,"417,554","160,452",.,.,"578,006",52.1,29.6,.,.,81.7,"3,386,889","1,751,285",.,.,"5,138,174",41.9,29.2,.,.,71.1,"19,656","46,629",.,.,"66,285","7,640","13,208",.,.,"20,848","27,233","59,832",.,.,"87,065","10,361","16,385",.,.,"26,746",8.110,10.910,.,.,
2022,4254,Consumers Energy Co,MI,MISO,"166,136","364,755","115,186",.,"646,077",15.8,55.9,17.7,.,89.4,"1,053,813","4,307,348","1,360,215",.,"6,721,377",15.8,55.9,17.7,.,89.4,"30,792","46,774","14,771",.,"92,336","23,554","26,539","8,381",.,"58,474","30,792","46,774","14,771",.,"92,336","23,554","26,539","8,381",.,"58,474",6.777,13.046,13.046,.,https://mi-psc.force.com/s/
2022,4317,"Coos-Curry Electric Coop, Inc",OR,BPAT,212,121,.,.,333,0.0,0.0,.,.,0.0,"4,046","1,507",.,.,"5,553",0.0,0.0,.,.,0.0,99,23,.,.,122,.,.,.,.,.,99,23,.,.,122,.,.,.,.,.,19.080,12.430,.,.,
